seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
10,1.0,10,0.25,0.5,1,-417.5315472686219,0.2,-417.3557478430964,0.164
10,1.0612244897959184,10,0.25,0.5,1,-416.75506811007915,0.18,-416.57930150692613,0.136
10,1.1224489795918366,10,0.25,0.5,1,-415.97858893294574,0.16,-415.8028551571481,0.12
10,1.183673469387755,10,0.25,0.5,1,-415.2021097071786,0.15,-415.02640877054364,0.108
10,1.2448979591836735,10,0.25,0.5,1,-414.4256305279819,0.14,-414.2499624105264,0.092
10,1.306122448979592,10,0.25,0.5,1,-413.64915132073196,0.13,-413.47351604084764,0.088
10,1.3673469387755102,10,0.25,0.5,1,-412.8726721794647,0.12,-412.6970697174193,0.064
10,1.4285714285714286,10,0.25,0.5,1,-412.09619299024763,0.12,-411.92062336915893,0.048
10,1.489795918367347,10,0.25,0.5,1,-411.31971385040333,0.1,-411.1441770377408,0.04
10,1.5510204081632653,10,0.25,0.5,1,-410.5432346873169,0.09,-410.3677306993317,0.036
10,1.6122448979591837,10,0.25,0.5,1,-409.7667554999121,0.07,-409.5912843224313,0.032
10,1.6734693877551021,10,0.25,0.5,1,-408.990276349513,0.05,-408.81483801033664,0.028
10,1.7346938775510203,10,0.25,0.5,1,-408.21379722157565,0.05,-408.03839172277253,0.024
10,1.7959183673469388,10,0.25,0.5,1,-407.437318031639,0.04,-407.2619453761439,0.024
10,1.8571428571428572,10,0.25,0.5,1,-406.66083876023214,0.03,-406.4854989365487,0.02
10,1.9183673469387754,10,0.25,0.5,1,-405.8843596548324,0.03,-405.7090526305085,0.016
10,1.9795918367346939,10,0.25,0.5,1,-405.1078804974139,0.03,-404.9326062897199,0.008
10,2.0408163265306123,10,0.25,0.5,1,-404.3314011964758,0.02,-404.1561598272801,0.008
10,2.1020408163265305,10,0.25,0.5,1,-403.5549221138553,0.02,-403.37971359402405,0.004
10,2.163265306122449,10,0.25,0.5,1,-402.7784429562357,0.02,-402.6032672374594,0.0
10,2.2244897959183674,10,0.25,0.5,1,-402.0019638978614,0.02,-401.8268210010722,0.0
10,2.2857142857142856,10,0.25,0.5,1,-401.22548467479925,0.01,-401.0503746051333,0.0
10,2.3469387755102042,10,0.25,0.5,1,-400.44900553696806,0.01,-400.2739283152811,0.0
10,2.4081632653061225,10,0.25,0.5,1,-399.6717513064328,0.01,-399.49686189462886,0.004
10,2.4693877551020407,10,0.25,0.5,1,-398.89231492151856,0.03,-398.71804980072335,0.008
10,2.5306122448979593,10,0.25,0.5,1,-398.11241722759434,0.03,-397.93860455393184,0.024
10,2.5918367346938775,10,0.25,0.5,1,-397.3290561485864,0.03,-397.15458470275127,0.02
10,2.6530612244897958,10,0.25,0.5,1,-396.54454489809984,0.04,-396.3693363853586,0.024
10,2.7142857142857144,10,0.25,0.5,1,-395.757000985471,0.05,-395.5814936121494,0.036
10,2.7755102040816326,10,0.25,0.5,1,-394.96449422118366,0.04,-394.7892329638464,0.032
10,2.836734693877551,10,0.25,0.5,1,-394.1670238083215,0.03,-393.9917877784734,0.024
10,2.8979591836734695,10,0.25,0.5,1,-393.3660138906424,0.03,-393.19080835991673,0.016
10,2.9591836734693877,10,0.25,0.5,1,-392.56482790439617,0.03,-392.38960744489145,0.016
10,3.020408163265306,10,0.25,0.5,1,-391.7636419145545,0.03,-391.5884065168319,0.016
10,3.0816326530612246,10,0.25,0.5,1,-390.96245586035434,0.03,-390.78720553665397,0.008
10,3.142857142857143,10,0.25,0.5,1,-390.16126986075835,0.02,-389.986004598637,0.008
10,3.204081632653061,10,0.25,0.5,1,-389.36008384925316,0.02,-389.18480365358647,0.008
10,3.2653061224489797,10,0.25,0.5,1,-388.55889790633887,0.02,-388.3836027736256,0.008
10,3.326530612244898,10,0.25,0.5,1,-387.75771178116,0.02,-387.582401699748,0.008
10,3.387755102040816,10,0.25,0.5,1,-386.95652565275776,0.02,-386.78120065983154,0.008
10,3.4489795918367347,10,0.25,0.5,1,-386.1553397057316,0.02,-385.9799997723763,0.008
10,3.510204081632653,10,0.25,0.5,1,-385.35415357717824,0.01,-385.17879870280944,0.008
10,3.571428571428571,10,0.25,0.5,1,-384.5529676616992,0.01,-384.3775978539934,0.008
10,3.63265306122449,10,0.25,0.5,1,-383.7517816306094,0.0,-383.5763968823576,0.008
10,3.693877551020408,10,0.25,0.5,1,-382.95059559403234,0.0,-382.77519593810007,0.0
10,3.7551020408163263,10,0.25,0.5,1,-382.14940951391634,0.0,-381.9739949304513,0.0
10,3.816326530612245,10,0.25,0.5,1,-381.34822350570613,0.0,-381.1727940095706,0.0
10,3.877551020408163,10,0.25,0.5,1,-380.54692310086915,0.0,-380.37150155175283,0.0
10,3.9387755102040813,10,0.25,0.5,1,-379.7447204232878,0.0,-379.5694872636154,0.0
10,4.0,10,0.25,0.5,1,-378.94127989419894,0.0,-378.76648269625184,0.0
