,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,1.0,-412.00258802169026,-414.7703846279207,-410.303692620587,[0.204],2.6111173619109853,0.004,0.204,"(0,)",-412.23427810036316,[0.23],4.442555076791764,0.23
1,1.0612244897959184,-410.85981306013804,-413.6232277743707,-409.1901683272882,[0.176],2.170307504606525,0.004,0.176,"(0,)",-411.0925040453377,[0.2],3.988728338365155,0.2
2,1.1224489795918366,-409.71703798606177,-412.47607057772996,-408.0766432064345,[0.156],1.7851340966864475,0.004,0.156,"(0,)",-409.95072988184677,[0.2],3.560603379090318,0.2
3,1.183673469387755,-408.57426296861064,-411.3289136109416,-406.963118018296,[0.124],1.469880711882517,0.004,0.124,"(0,)",-408.8089558197254,[0.19],3.1483840348936942,0.19
4,1.2448979591836735,-407.43148795352954,-410.18175689604993,-405.8495930162721,[0.108],1.196164316152793,0.012,0.108,"(0,)",-407.66718173043415,[0.18],2.7538457505534133,0.18
5,1.306122448979592,-406.28871297168536,-409.03460048081297,-404.73606813524486,[0.092],0.9642271084086113,0.016,0.092,"(0,)",-406.5254076897973,[0.16],2.3811130666742994,0.16
6,1.3673469387755102,-405.1459379939129,-407.88744409129293,-403.62254339041124,[0.072],0.7888111667934928,0.04,0.072,"(0,)",-405.3836336440174,[0.14],2.036509494559639,0.14
7,1.4285714285714286,-404.0031629293229,-406.7402871087596,-402.5090185355377,[0.056],0.6469525030150097,0.056,0.056,"(0,)",-404.2418594959895,[0.13],1.7513399079912995,0.13
8,1.489795918367347,-402.86038795090235,-405.5931300917305,-401.3954935837873,[0.052],0.5283483183962986,0.06,0.052,"(0,)",-403.10008546829545,[0.13],1.4708551023194405,0.13
9,1.5510204081632653,-401.7176129395992,-404.44597359967656,-400.28196834085844,[0.048],0.4201778991475778,0.068,0.048,"(0,)",-401.9583114022274,[0.11],1.1984558241883823,0.11
10,1.6122448979591837,-400.5748379219131,-403.29881707768146,-399.16844346715504,[0.044],0.3249348717380798,0.088,0.044,"(0,)",-400.8165372864038,[0.1],0.9863504692782735,0.1
11,1.6734693877551021,-399.43206287101174,-402.1516602803317,-398.05491802355857,[0.032],0.24028892882776787,0.116,0.032,"(0,)",-399.6747632132827,[0.1],0.7757376397165211,0.1
12,1.7346938775510203,-398.28928792501694,-401.0045035485545,-396.9413929676503,[0.02],0.18537392577568257,0.14,0.02,"(0,)",-398.5329892112592,[0.07],0.585259932220577,0.07
13,1.7959183673469388,-397.14651293925135,-399.8573467256212,-395.8278683982726,[0.02],0.14843552576267188,0.164,0.02,"(0,)",-397.3912151385986,[0.05],0.4567402959403187,0.05
14,1.8571428571428572,-396.0037379523862,-398.71018999522204,-394.714343771971,[0.016],0.11477540477282559,0.184,0.016,"(0,)",-396.2494410658637,[0.03],0.36639964325884566,0.03
15,1.9183673469387754,-394.86096286495155,-397.5630332157686,-393.60081842721394,[0.012],0.08843039434538014,0.204,0.012,"(0,)",-395.107666947036,[0.03],0.3045903049377566,0.03
16,1.9795918367346939,-393.71818795912094,-396.41587647858717,-392.4872937606553,[0.008],0.06936896431319384,0.228,0.008,"(0,)",-393.9658929531649,[0.03],0.24355301732188878,0.03
17,2.0408163265306123,-392.57541293004294,-395.2687195693737,-391.37376873771854,[0.004],0.053528275906655265,0.26,0.004,"(0,)",-392.82411885441354,[0.01],0.20892887502645524,0.01
18,2.1020408163265305,-391.43263787775123,-394.1215625645268,-390.18440708451203,[0.004],0.045022536822980894,0.276,0.004,"(0,)",-391.6823447262921,[0.01],0.18832466563527617,0.01
19,2.163265306122449,-390.2897493538688,-392.974405953273,-388.9285391873701,[0.028],0.18725426928446753,0.304,0.028,"(0,)",-390.54042876725515,[0.03],0.3665305538926278,0.03
20,2.2244897959183674,-389.14441414329195,-391.8272492799549,-387.67260604896035,[0.052],0.4654167097229089,0.332,0.052,"(0,)",-389.3957709065819,[0.03],0.5372985437556875,0.03
21,2.2857142857142856,-387.991183218067,-390.6710855164952,-386.4009861054855,[0.052],0.45129010358458393,0.36,0.052,"(0,)",-388.243852339013,[0.04],0.5912907988692081,0.04
22,2.3469387755102042,-386.8321310133684,-389.50420476250423,-385.1188384220617,[0.052],0.41255845538026176,0.372,0.052,"(0,)",-387.0859531802539,[0.05],0.7036204302951455,0.05
23,2.4081632653061225,-385.6661979233441,-388.3313970723934,-383.8359998531654,[0.048],0.3502845673499395,0.408,0.048,"(0,)",-385.9212488304709,[0.05],0.6372425741079871,0.05
24,2.4693877551020407,-384.49620728927255,-387.15649490863444,-382.55316134515294,[0.036],0.2992500550611212,0.436,0.036,"(0,)",-384.7522489097793,[0.05],0.5692540182689841,0.05
25,2.5306122448979593,-383.3250397583769,-385.9815940620209,-381.27032284853897,[0.032],0.2577722445443152,0.46,0.032,"(0,)",-383.5821444937653,[0.05],0.5032665568881087,0.05
26,2.5918367346938775,-382.15385343143225,-384.8066920949521,-379.98748438600114,[0.024],0.22150445312541422,0.48,0.024,"(0,)",-382.41202218259076,[0.05],0.43743435778256,0.05
27,2.6530612244897958,-380.98266736585623,-383.63179118258324,-378.70464590210736,[0.024],0.19204612014854516,0.516,0.024,"(0,)",-381.24190013574497,[0.04],0.3756931865804807,0.04
28,2.7142857142857144,-379.8114811789619,-382.45688986774957,-377.42180739434565,[0.02],0.16417191759886635,0.528,0.02,"(0,)",-380.07177798646694,[0.03],0.33067316123986057,0.03
29,2.7755102040816326,-378.6402949901507,-381.2819884907368,-376.1389689014667,[0.016],0.14076298095483236,0.552,0.016,"(0,)",-378.9016557713479,[0.03],0.2938747449357441,0.03
