,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,1.0,-417.3377635293851,-420.2664201139141,-414.6861047291163,[0.7],10.55089571242733,0.032,0.7,"(0,)",-417.32614792342406,[0.68],11.960914378859037,0.68
1,1.0612244897959184,-416.7048698546754,-419.6293888110716,-414.055317696242,[0.66],9.819049664534235,0.036,0.66,"(0,)",-416.69284536375744,[0.63],11.262874127173461,0.63
2,1.1224489795918366,-416.0719761747414,-418.9923575085073,-413.4245306752107,[0.624],9.123228783325214,0.04,0.624,"(0,)",-416.0595427649784,[0.6],10.613488880074325,0.6
3,1.183673469387755,-415.4390825045309,-418.35532620727565,-412.79374365592747,[0.588],8.476048224796164,0.064,0.588,"(0,)",-415.42624021414434,[0.59],9.982720687239617,0.59
4,1.2448979591836735,-414.80618883240965,-417.7182949056488,-412.1629566318771,[0.576],7.854839393640225,0.072,0.576,"(0,)",-414.7929376598316,[0.54],9.382016485894164,0.54
5,1.306122448979592,-414.17329515938536,-417.0812636029696,-411.5321695988266,[0.548],7.248399337215113,0.072,0.548,"(0,)",-414.15963510320466,[0.52],8.822175997791,0.52
6,1.3673469387755102,-413.54040141830734,-416.44423230076774,-410.9013825698696,[0.504],6.680425021648651,0.076,0.504,"(0,)",-413.5263324210575,[0.5],8.275063973440206,0.5
7,1.4285714285714286,-412.90750772262425,-415.8072009972665,-410.2705954999506,[0.472],6.1531027522178166,0.088,0.472,"(0,)",-412.8930298370236,[0.5],7.741165406130888,0.5
8,1.489795918367347,-412.27461403060505,-415.17016969352164,-409.6398084188535,[0.44],5.663862318244785,0.104,0.44,"(0,)",-412.2597272722957,[0.47],7.224052966823533,0.47
9,1.5510204081632653,-411.6417204093651,-414.53313839011287,-409.0090213489792,[0.424],5.201969763885736,0.116,0.424,"(0,)",-411.6264247803123,[0.46],6.7294760775260745,0.46
10,1.6122448979591837,-411.00882674208714,-413.8961070876351,-408.3782346811365,[0.392],4.7661829685184145,0.128,0.392,"(0,)",-410.993122235195,[0.43],6.254728337328306,0.43
11,1.6734693877551021,-410.3759330710845,-413.25907578683297,-407.74744762927384,[0.368],4.362201273165763,0.144,0.368,"(0,)",-410.3598196844071,[0.36],5.845768248013441,0.36
12,1.7346938775510203,-409.7430393336618,-412.62204448362047,-407.1166605750581,[0.352],3.9770688243097547,0.156,0.352,"(0,)",-409.72651708427117,[0.35],5.469946299354255,0.35
13,1.7959183673469388,-409.1101456975577,-411.9850131786174,-406.4858735216948,[0.316],3.621567706112349,0.168,0.316,"(0,)",-409.09321455908236,[0.34],5.109850179852317,0.34
14,1.8571428571428572,-408.47725203849035,-411.3479818733985,-405.85508646943583,[0.284],3.3009628505214237,0.192,0.284,"(0,)",-408.45991204467396,[0.31],4.766615240140998,0.31
15,1.9183673469387754,-407.84435838531004,-410.7109505687211,-405.22429941071886,[0.264],3.012216657082312,0.208,0.264,"(0,)",-407.8266094829308,[0.3],4.455861765164862,0.3
16,1.9795918367346939,-407.21146469138165,-410.0739192607228,-404.59351232608293,[0.244],2.7439635191794136,0.216,0.244,"(0,)",-407.19330690903735,[0.28],4.161005686705465,0.28
17,2.0408163265306123,-406.5785710036321,-409.43688794937555,-403.9627252611991,[0.228],2.49211836321598,0.236,0.228,"(0,)",-406.56000433766997,[0.27],3.874982583920223,0.27
