,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,1.0,-409.55143552806135,-412.45848117407627,-407.1456608886305,[0.752],15.971029910450216,0.008,0.752,"(0,)",-409.5463721182938,[0.73],13.840286866087848,0.73
1,1.0612244897959184,-408.3854488676169,-411.2860474911904,-405.9849968194389,[0.716],14.580239858537448,0.008,0.716,"(0,)",-408.3803573685502,[0.69],12.493205965831965,0.69
2,1.1224489795918366,-407.2194622815842,-410.1136145635444,-404.8243329701254,[0.696],13.236865504422337,0.008,0.696,"(0,)",-407.2143427064151,[0.59],11.291495614263011,0.59
3,1.183673469387755,-406.0534757639445,-408.94118146085725,-403.66366912537393,[0.664],11.938371020723208,0.012,0.664,"(0,)",-406.048328086085,[0.54],10.204648576151568,0.54
4,1.2448979591836735,-404.88748916772846,-407.76874872252495,-402.5030053650982,[0.624],10.707180348841478,0.02,0.624,"(0,)",-404.8823133536022,[0.51],9.197920240141102,0.51
5,1.306122448979592,-403.7215026929521,-406.596315944848,-401.3423414751634,[0.548],9.604453481234696,0.024,0.548,"(0,)",-403.7162988010769,[0.46],8.248934130224374,0.46
6,1.3673469387755102,-402.5555160758992,-405.4238823559829,-400.18167757647603,[0.504],8.607725035079666,0.028,0.504,"(0,)",-402.5502840913916,[0.41],7.393159760383434,0.41
7,1.4285714285714286,-401.3895294772055,-404.2514497799802,-399.02101360835434,[0.452],7.710728508624417,0.032,0.452,"(0,)",-401.384269379892,[0.37],6.620968490659646,0.37
8,1.489795918367347,-400.22354292378964,-403.07901659405354,-397.86034964058325,[0.416],6.8962061228685885,0.036,0.416,"(0,)",-400.21825474956563,[0.33],5.941608713081427,0.33
9,1.5510204081632653,-399.0575563523277,-401.90658346428967,-396.6996856855273,[0.396],6.1328438366992435,0.04,0.396,"(0,)",-399.05224006217776,[0.29],5.353224580456372,0.29
10,1.6122448979591837,-397.8915697127185,-400.73415047610797,-395.53902179691215,[0.344],5.450026271620434,0.044,0.344,"(0,)",-397.88622529287795,[0.26],4.832643672907633,0.26
11,1.6734693877551021,-396.72558320575104,-399.56171762680634,-394.3783579819807,[0.32],4.831577674753028,0.056,0.32,"(0,)",-396.7202106977711,[0.25],4.344048772337506,0.25
12,1.7346938775510203,-395.55959663635247,-398.3892848194753,-393.2176941859434,[0.3],4.256318327781647,0.064,0.3,"(0,)",-395.55419601516957,[0.23],3.875882085827306,0.23
13,1.7959183673469388,-394.3936100471603,-397.2168515805037,-392.0570303689681,[0.264],3.721502257064711,0.072,0.264,"(0,)",-394.3881813510247,[0.23],3.4437607979718963,0.23
14,1.8571428571428572,-393.22762347622023,-396.0444186113645,-390.896366521535,[0.22],3.258924379743328,0.076,0.22,"(0,)",-393.2221666790628,[0.2],3.054496242361903,0.2
15,1.9183673469387754,-392.06163691425616,-394.87198558251515,-389.7357026454128,[0.196],2.857016649344066,0.1,0.196,"(0,)",-392.05615201197077,[0.19],2.706291843194678,0.19
16,1.9795918367346939,-390.8956503221953,-393.69955244517104,-388.57503874576145,[0.168],2.4992010509464326,0.12,0.168,"(0,)",-390.8901373173527,[0.17],2.3795669569258298,0.17
17,2.0408163265306123,-389.7296637343757,-392.5271194060165,-387.4143748547613,[0.152],2.198710899655827,0.14,0.152,"(0,)",-389.72412262253187,[0.15],2.0864240609298914,0.15
18,2.1020408163265305,-388.5636771880998,-391.3546864720813,-386.2537109665597,[0.14],1.9164251879970808,0.148,0.14,"(0,)",-388.5581079764718,[0.12],1.8396360108025704,0.12
19,2.163265306122449,-387.3976906257257,-390.1822534755185,-385.09304708167485,[0.124],1.6670008835049792,0.168,0.124,"(0,)",-387.39209330525404,[0.11],1.60948713974394,0.11
20,2.2244897959183674,-386.2317040666894,-389.0098204701896,-383.93238319653693,[0.124],1.4328194282306175,0.188,0.124,"(0,)",-386.22607864143464,[0.1],1.4092873946491293,0.1
21,2.2857142857142856,-385.0657174836465,-387.8373874621419,-382.7717193111729,[0.12],1.2056796086570964,0.212,0.12,"(0,)",-385.0600639674318,[0.1],1.2186120150992055,0.1
22,2.3469387755102042,-383.89973098098847,-386.6649544720291,-381.6110554351892,[0.096],1.0024253832316623,0.24,0.096,"(0,)",-383.89404936960767,[0.09],1.030594123921593,0.09
23,2.4081632653061225,-382.7337443969003,-385.4925213677788,-380.4503914977195,[0.088],0.8288293052102051,0.256,0.088,"(0,)",-382.7280346829691,[0.08],0.8801595918673951,0.08
24,2.4693877551020407,-381.5677577938736,-384.3200880643642,-379.289727515726,[0.072],0.6759448869369197,0.26,0.072,"(0,)",-381.5620199881147,[0.07],0.7503197597862739,0.07
