,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,1.0,-415.65125945828123,-419.0220029742711,-413.3444335496321,[0.698],12.292176720964559,0.002,0.698,"(0,)",-416.2112509943,[0.72],11.963493560733863,0.72
1,1.0898876404494382,-414.47390550508806,-417.8437490790661,-412.1732982573051,[0.642],11.02968478615369,0.006,0.642,"(0,)",-415.0324890443424,[0.645],10.69093687831576,0.645
2,1.1797752808988764,-413.2965515093838,-416.6654951817441,-411.0021629467045,[0.58],9.881937757049625,0.016,0.58,"(0,)",-413.8537270660851,[0.545],9.590534921856346,0.545
3,1.2696629213483146,-412.11919747868217,-415.48724128158034,-409.8310276446593,[0.528],8.833885554487926,0.032,0.528,"(0,)",-412.6749650493878,[0.515],8.618114696960443,0.515
4,1.3595505617977528,-410.9418435312447,-414.30898738361645,-408.65989233280555,[0.482],7.890258060476567,0.04,0.482,"(0,)",-411.4962031228773,[0.44],7.74240440141629,0.44
5,1.449438202247191,-409.76448948721446,-413.1307334412409,-407.48875700728667,[0.45],7.0128603250195285,0.054,0.45,"(0,)",-410.31744109444344,[0.425],6.948063988817855,0.425
6,1.5393258426966292,-408.58713539903783,-411.95247915704175,-406.3176217083947,[0.412],6.206239398075438,0.062,0.412,"(0,)",-409.1386790056723,[0.375],6.2067411302166065,0.375
7,1.6292134831460674,-407.40978146480654,-410.7742255911338,-405.1464863832014,[0.38],5.462520314201603,0.074,0.38,"(0,)",-407.959917105732,[0.35],5.549271163031118,0.35
8,1.7191011235955056,-406.2324274967347,-409.59597166829127,-403.9753510683986,[0.336],4.7883084196454,0.094,0.336,"(0,)",-406.7811551601281,[0.33],4.945124796884823,0.33
9,1.8089887640449438,-405.05507350734223,-408.41771778200837,-402.80421576431957,[0.3],4.186485447847789,0.118,0.3,"(0,)",-405.60239318664725,[0.295],4.388004334509047,0.295
10,1.898876404494382,-403.87771949418584,-407.23946388233287,-401.6312797285091,[0.276],3.643474093278179,0.134,0.276,"(0,)",-404.42363119095967,[0.26],3.8866271953109575,0.26
11,1.9887640449438202,-402.7003655085311,-406.0612099293075,-400.4521544944551,[0.24],3.1624190011941544,0.164,0.24,"(0,)",-403.2448692279907,[0.23],3.4461358191464844,0.23
12,2.0786516853932584,-401.52301151531026,-404.8829561104813,-399.2730293290119,[0.218],2.733319823060312,0.202,0.218,"(0,)",-402.0661072506877,[0.19],3.0861494326247754,0.19
13,2.168539325842697,-400.34565749667786,-403.70470204914517,-398.0939040325166,[0.194],2.3411132279340454,0.22,0.194,"(0,)",-400.8873452469334,[0.17],2.7726783121880225,0.17
14,2.258426966292135,-399.16830350706493,-402.52644810624605,-396.91477879599785,[0.164],2.004892603732161,0.244,0.164,"(0,)",-399.70858327301653,[0.15],2.4857683868751783,0.15
15,2.3483146067415728,-397.99094944195315,-401.3481940145855,-395.7356535310487,[0.142],1.720216672905075,0.288,0.142,"(0,)",-398.5298212291844,[0.145],2.2243809145803763,0.145
16,2.438202247191011,-396.81359548943817,-400.1699401143732,-394.55652856775544,[0.118],1.4883193798834409,0.328,0.118,"(0,)",-397.35105929592055,[0.14],1.9691887287379783,0.14
17,2.5280898876404496,-395.6362415397057,-398.99168618282613,-393.37740313906755,[0.098],1.2942361635944237,0.376,0.098,"(0,)",-396.17229737556596,[0.135],1.722472601368586,0.135
18,2.6179775280898876,-394.4588874339379,-397.81343272916706,-392.1982780228129,[0.092],1.1229655775511858,0.4,0.092,"(0,)",-394.9935352606833,[0.125],1.4883231154792946,0.125
19,2.7078651685393256,-393.2815335292936,-396.63517880385797,-391.01915275645433,[0.084],0.9665575922518086,0.434,0.084,"(0,)",-393.8147733915878,[0.12],1.2671475771352452,0.12
20,2.797752808988764,-392.104179551865,-395.4569248960388,-389.840027766422,[0.066],0.8344383151817591,0.472,0.066,"(0,)",-392.6360114330799,[0.105],1.0667968884980108,0.105
21,2.8876404494382024,-390.9268255200535,-394.2786709994677,-388.66090256399923,[0.058],0.7245440837613537,0.512,0.058,"(0,)",-391.45724942109536,[0.09],0.8893183684763909,0.09
22,2.9775280898876404,-389.7494715279033,-393.10041710896115,-387.4817773640049,[0.056],0.622648035430353,0.54,0.056,"(0,)",-390.278487430478,[0.065],0.7500993080647368,0.065
