,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,1.0,-414.8751433439298,-419.1598412410707,-411.6762302180931,[0.766],10.794110904753726,0.0,0.766,"(0,)",-415.0410563203825,[0.8],10.519545955997712,0.8
1,1.0612244897959184,-414.064214559125,-418.4809256703635,-410.5558122280643,[0.74],9.875334662369223,0.0,0.74,"(0,)",-414.19992265813636,[0.75],9.60000623902159,0.75
2,1.1224489795918366,-413.2532858178459,-417.8020101442851,-409.58545851419143,[0.71],9.001438015196571,0.0,0.71,"(0,)",-413.3587890576926,[0.72],8.746734752914561,0.72
3,1.183673469387755,-412.4423569698915,-417.12309404548347,-408.77760610052854,[0.678],8.182517667296944,0.0,0.678,"(0,)",-412.5176553576379,[0.69],7.936243410489219,0.69
4,1.2448979591836735,-411.6314282115701,-416.4441789387362,-407.9697537810471,[0.642],7.41080539824513,0.0,0.642,"(0,)",-411.6765217034268,[0.66],7.188066586542129,0.66
5,1.306122448979592,-410.82049929299995,-415.7652637349736,-407.1619014283314,[0.602],6.68708914691547,0.0,0.602,"(0,)",-410.83538792748624,[0.62],6.482887297638828,0.62
6,1.3673469387755102,-410.0095706311501,-414.87152114360117,-406.35404905556874,[0.56],6.014603848542169,0.0,0.56,"(0,)",-409.9942543838889,[0.58],5.834609905824775,0.58
7,1.4285714285714286,-409.19864184379276,-413.608276053958,-405.5461966693924,[0.534],5.390146092677556,0.002,0.534,"(0,)",-409.1531206979434,[0.515],5.260502854145929,0.515
8,1.489795918367347,-408.3877131152737,-412.81918268055097,-404.7383442716577,[0.486],4.818597986127481,0.002,0.486,"(0,)",-408.3119871078176,[0.485],4.738978257974332,0.485
9,1.5510204081632653,-407.57678430465523,-412.3273379442563,-403.93049186437696,[0.436],4.311159645065622,0.002,0.436,"(0,)",-407.47085341784987,[0.445],4.251087288933337,0.445
10,1.6122448979591837,-406.7658554531827,-411.83549308662776,-403.122639454542,[0.42],3.8502018713698964,0.002,0.42,"(0,)",-406.6297196843438,[0.4],3.814065911521112,0.4
11,1.6734693877551021,-405.95492665470056,-411.34364846150737,-402.3147870445311,[0.38],3.422060445538491,0.002,0.38,"(0,)",-405.78858600847974,[0.37],3.409383161583025,0.37
12,1.7346938775510203,-405.1439977773272,-410.85180352523423,-401.5069346334261,[0.336],3.049671187473108,0.002,0.336,"(0,)",-404.9474522714733,[0.34],3.0442875806561744,0.34
