,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,1.0,-414.84186555709107,-418.1918832766211,-412.50762647166033,[0.67],10.187558575689044,0.016,0.67,"(0,)",-415.4011738854283,[0.645],10.584317851852578,0.645
1,1.0612244897959184,-414.0253711013283,-417.37426299803093,-411.69512917307,[0.618],9.385292616790988,0.018,0.618,"(0,)",-414.5836567528761,[0.615],9.778889025848143,0.615
2,1.1224489795918366,-413.20887662458676,-416.5566427237853,-410.88263192031394,[0.586],8.630753281242136,0.024,0.586,"(0,)",-413.7661396371757,[0.58],9.007760288419036,0.58
3,1.183673469387755,-412.39238225276307,-415.7390224510028,-410.07013438973024,[0.548],7.920305237545322,0.036,0.548,"(0,)",-412.9486225939601,[0.56],8.291267157797108,0.56
4,1.2448979591836735,-411.57588780750115,-414.9214021798384,-409.2576371588175,[0.51],7.263735146486156,0.046,0.51,"(0,)",-412.13110549390404,[0.535],7.6069238651825435,0.535
5,1.306122448979592,-410.759393326991,-414.1037819104027,-408.44513992779326,[0.48],6.6393579062973,0.054,0.48,"(0,)",-411.31358834602594,[0.49],6.966722714767248,0.49
6,1.3673469387755102,-409.9428988469633,-413.2861616426164,-407.632642695234,[0.446],6.056239130731862,0.074,0.446,"(0,)",-410.4960711987016,[0.47],6.3620438015389,0.47
7,1.4285714285714286,-409.12640436736723,-412.46854137847095,-406.8201454623031,[0.422],5.520331901960551,0.086,0.422,"(0,)",-409.6785540519169,[0.45],5.785810791906277,0.45
8,1.489795918367347,-408.309909884911,-411.65092112572813,-406.00764825351695,[0.4],5.0067202250188,0.092,0.4,"(0,)",-408.8610369039918,[0.4],5.245781334250098,0.4
9,1.5510204081632653,-407.4934153944719,-410.8333007914837,-405.195150991134,[0.37],4.527128043278049,0.104,0.37,"(0,)",-408.04351973982773,[0.36],4.774523603859313,0.36
10,1.6122448979591837,-406.67692083158715,-410.01568044731135,-404.3826537355351,[0.344],4.0868311866076334,0.126,0.344,"(0,)",-407.2260025092019,[0.34],4.3367520090916125,0.34
11,1.6734693877551021,-405.8604263905237,-409.19806024480704,-403.57015649931,[0.306],3.6840059275673784,0.144,0.306,"(0,)",-406.4084854012025,[0.305],3.9322209961088004,0.305
12,1.7346938775510203,-405.04393192254554,-408.38044001861084,-402.75765926723955,[0.288],3.312801066518995,0.158,0.288,"(0,)",-405.5909682688297,[0.27],3.5641521275929264,0.27
