seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
50,1.0,50,0.2,0.5,1,-401.1386035912009,0.185,-400.7371396540784,0.164
50,1.0898876404494382,50,0.2,0.5,1,-399.7084927447613,0.135,-399.29923304054194,0.122
50,1.1797752808988764,50,0.2,0.5,1,-398.2783820123581,0.08,-397.8613265631411,0.094
50,1.2696629213483146,50,0.2,0.5,1,-396.84827119657507,0.06,-396.4234199880122,0.074
50,1.3595505617977528,50,0.2,0.5,1,-395.418160312305,0.035,-394.9855133585136,0.06
50,1.449438202247191,50,0.2,0.5,1,-393.98804953343335,0.03,-393.54760682822905,0.048
50,1.5393258426966292,50,0.2,0.5,1,-392.5579387688897,0.025,-392.1097002915412,0.024
50,1.6292134831460674,50,0.2,0.5,1,-391.1278279591714,0.025,-390.67179371557404,0.022
50,1.7191011235955056,50,0.2,0.5,1,-389.6977171188539,0.025,-389.23388712137216,0.022
50,1.8089887640449438,50,0.2,0.5,1,-388.26627430412276,0.015,-387.7944943215933,0.018
50,1.898876404494382,50,0.2,0.5,1,-386.8293076630439,0.015,-386.349019783004,0.012
50,1.9887640449438202,50,0.2,0.5,1,-385.3883820310377,0.01,-384.89933844111493,0.01
50,2.0786516853932584,50,0.2,0.5,1,-383.93623993596435,0.01,-383.43934119729454,0.008
50,2.168539325842697,50,0.2,0.5,1,-382.47333819531724,0.01,-381.9698330092074,0.006
50,2.258426966292135,50,0.2,0.5,1,-381.00688078084147,0.01,-380.49593739964234,0.006
50,2.3483146067415728,50,0.2,0.5,1,-379.53588885235854,0.005,-379.0184332061048,0.006
50,2.438202247191011,50,0.2,0.5,1,-378.06474198873497,0.005,-377.5408117165781,0.004
50,2.5280898876404496,50,0.2,0.5,1,-376.59359501009203,0.0,-376.06319005190755,0.004
50,2.6179775280898876,50,0.2,0.5,1,-375.1222222270128,0.0,-374.5853024539598,0.002
50,2.7078651685393256,50,0.2,0.5,1,-373.6448010560282,0.0,-373.10056078460406,0.002
50,2.797752808988764,50,0.2,0.5,1,-372.16558956529684,0.0,-371.6137686876625,0.0
50,2.8876404494382024,50,0.2,0.5,1,-370.6738301972346,0.0,-370.11297578992156,0.0
50,2.9775280898876404,50,0.2,0.5,1,-369.12950290025276,0.0,-368.5540621355647,0.0
50,3.0674157303370784,50,0.2,0.5,1,-367.5135164864644,0.0,-366.9172234046061,0.0
50,3.157303370786517,50,0.2,0.5,1,-365.81617406541875,0.005,-365.2006672992195,0.0
50,3.247191011235955,50,0.2,0.5,1,-363.9803978602597,0.005,-363.35702456787806,0.0
50,3.337078651685393,50,0.2,0.5,1,-362.00275585199614,0.0,-361.3815735907202,0.0
50,3.426966292134831,50,0.2,0.5,1,-359.90112790022613,0.0,-359.2861309840218,0.0
50,3.5168539325842696,50,0.2,0.5,1,-357.690477940017,0.0,-357.0848437086326,0.0
50,3.606741573033708,50,0.2,0.5,1,-355.40125507911586,0.0,-354.8062748029328,0.0
50,3.696629213483146,50,0.2,0.5,1,-353.04832555888015,0.0,-352.4653070788436,0.0
50,3.786516853932584,50,0.2,0.5,1,-350.6399604746404,0.0,-350.07060248747763,0.0
50,3.8764044943820224,50,0.2,0.5,1,-348.17269305489435,0.0,-347.61721021455367,0.0
50,3.966292134831461,50,0.2,0.5,1,-345.6448815872146,0.0,-345.1023446313924,0.0
50,4.056179775280899,50,0.2,0.5,1,-343.07333895114795,0.0,-342.544182852137,0.0
50,4.146067415730337,50,0.2,0.5,1,-340.465746938808,0.0,-339.9504030015552,0.0
50,4.235955056179775,50,0.2,0.5,1,-337.82365809538646,0.0,-337.3219665878428,0.0
50,4.325842696629214,50,0.2,0.5,1,-335.1489749415668,0.0,-334.6604135733943,0.0
50,4.415730337078651,50,0.2,0.5,1,-332.44437126395684,0.0,-331.9682528634232,0.0
50,4.50561797752809,50,0.2,0.5,1,-329.7127812685838,0.0,-329.2483881991424,0.0
50,4.595505617977528,50,0.2,0.5,1,-326.9571090871167,0.0,-326.5037679149602,0.0
50,4.685393258426966,50,0.2,0.5,1,-324.1800092732638,0.0,-323.73709897891337,0.0
50,4.775280898876405,50,0.2,0.5,1,-321.3838931840452,0.0,-320.9508316823952,0.0
50,4.865168539325842,50,0.2,0.5,1,-318.5707871470166,0.0,-318.14705584017105,0.0
50,4.955056179775281,50,0.2,0.5,1,-315.7424561571888,0.0,-315.32759094636646,0.0
50,5.044943820224719,50,0.2,0.5,1,-312.90045133068156,0.0,-312.49402898472204,0.0
50,5.134831460674157,50,0.2,0.5,1,-310.0438690571407,0.0,-309.64541403289655,0.0
50,5.224719101123595,50,0.2,0.5,1,-307.17162845527463,0.0,-306.7806074546098,0.0
50,5.314606741573034,50,0.2,0.5,1,-304.28289405314405,0.0,-303.89955372670397,0.0
50,5.404494382022472,50,0.2,0.5,1,-301.3724511546818,0.0,-300.9990360136343,0.0
50,5.49438202247191,50,0.2,0.5,1,-298.43848347063835,0.0,-298.07780413627785,0.0
50,5.584269662921348,50,0.2,0.5,1,-295.4790520342111,0.0,-295.132603954614,0.0
50,5.674157303370786,50,0.2,0.5,1,-292.4928724681879,0.0,-292.16114657380393,0.0
50,5.764044943820225,50,0.2,0.5,1,-289.4791553792368,0.0,-289.161612850727,0.0
50,5.853932584269662,50,0.2,0.5,1,-286.4409915044917,0.0,-286.13710526995635,0.0
50,5.943820224719101,50,0.2,0.5,1,-283.3798197793179,0.0,-283.0890948557055,0.0
50,6.033707865168539,50,0.2,0.5,1,-280.2928161679124,0.0,-280.01500652047326,0.0
50,6.123595505617978,50,0.2,0.5,1,-277.1817771629404,0.0,-276.9167314011264,0.0
50,6.213483146067416,50,0.2,0.5,1,-274.04826416262387,0.0,-273.79580908657255,0.0
50,6.303370786516854,50,0.2,0.5,1,-270.89500122000277,0.0,-270.65504903413193,0.0
50,6.393258426966292,50,0.2,0.5,1,-267.72430465400157,0.0,-267.496842031043,0.0
50,6.48314606741573,50,0.2,0.5,1,-264.5385061652349,0.0,-264.3234529825341,0.0
50,6.573033707865168,50,0.2,0.5,1,-261.3395258267072,0.0,-261.136692477983,0.0
50,6.662921348314606,50,0.2,0.5,1,-258.1286191392036,0.0,-257.93782496627347,0.0
