seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
10,0.0001,10,0.35,1,1,-426.0814205234627,1.0,-425.2581581354742,1.0,0.008160029
10,0.00021544346900318845,10,0.35,1,1,-426.0801696714359,1.0,-425.25644845961943,1.0,0.008160029
10,0.00046415888336127773,10,0.35,1,1,-426.0777020830451,1.0,-425.2539322471487,1.0,0.008160029
10,0.001,10,0.35,1,1,-426.0728706880069,1.0,-425.24921762575286,1.0,0.008160029
10,0.002154434690031882,10,0.35,1,1,-426.0627995663729,1.0,-425.23922019600377,1.0,0.008160029
10,0.004641588833612777,10,0.35,1,1,-426.0411446277141,1.0,-425.21778467062,1.0,0.008160029
10,0.01,10,0.35,1,1,-425.9945152207128,1.0,-425.1716361486502,1.0,0.008160029
10,0.021544346900318822,10,0.35,1,1,-425.89407121812036,1.0,-425.0722141489319,1.0,0.008160029
10,0.046415888336127774,10,0.35,1,1,-425.6776734587371,1.0,-424.85801848867663,1.0,0.008160029
10,0.1,10,0.35,1,1,-425.21145991747767,1.0,-424.3965491379852,0.998,0.008160029
10,0.11,10,0.35,1,1,-425.1244541277348,1.0,-424.3104286777051,0.998,0.008160029
10,0.17357142857142857,10,0.35,1,1,-424.57134475064436,0.985,-423.7629480866338,0.99,0.008160029
10,0.23714285714285716,10,0.35,1,1,-424.0182359195723,0.97,-423.2154676905331,0.978,0.008160029
10,0.3007142857142857,10,0.35,1,1,-423.46512688651217,0.955,-422.6679872654296,0.948,0.008160029
10,0.36428571428571427,10,0.35,1,1,-422.91201779544264,0.94,-422.12050669411826,0.926,0.008160029
10,0.4278571428571428,10,0.35,1,1,-422.35890894629165,0.9,-421.5730264137045,0.908,0.008160029
10,0.49142857142857144,10,0.35,1,1,-421.805799949889,0.88,-421.025545993141,0.88,0.008160029
10,0.555,10,0.35,1,1,-421.2526910926583,0.815,-420.47806570303504,0.818,0.008160029
10,0.6185714285714285,10,0.35,1,1,-420.69958216031796,0.775,-419.93058535917385,0.758,0.008160029
10,0.6821428571428572,10,0.35,1,1,-420.14647316877335,0.725,-419.38310493354527,0.714,0.008160029
10,0.7457142857142857,10,0.35,1,1,-419.59336411127975,0.63,-418.835624480998,0.666,0.008160029
10,0.8092857142857143,10,0.35,1,1,-419.0402552588636,0.57,-418.2881441846026,0.612,0.008160029
10,0.8728571428571429,10,0.35,1,1,-418.4871462608184,0.525,-417.7406637949608,0.564,0.008160029
10,0.9364285714285714,10,0.35,1,1,-417.9340372696913,0.495,-417.19318333748157,0.506,0.008160029
10,1.0,10,0.35,1,1,-417.3809283847082,0.46,-416.64570302943736,0.46,0.008160029
10,1.1,10,0.35,1,1,-416.51086939363415,0.395,-415.78449795610857,0.39,0.008160029
10,1.2625000000000002,10,0.35,1,1,-415.0970234929354,0.295,-414.3850397361226,0.296,0.008160029
10,1.425,10,0.35,1,1,-413.68317759897445,0.195,-412.98558147191,0.226,0.008160029
10,1.5875000000000001,10,0.35,1,1,-412.26933170682344,0.15,-411.58612321861233,0.172,0.008160029
10,1.75,10,0.35,1,1,-410.8554857848973,0.115,-410.1866649458071,0.13,0.008160029
10,1.9125,10,0.35,1,1,-409.44163981139457,0.095,-408.78720662021976,0.098,0.008160029
10,2.075,10,0.35,1,1,-408.02779396231546,0.08,-407.38774838578087,0.092,0.008160029
10,2.2375,10,0.35,1,1,-406.6137045322568,0.075,-405.9880184277723,0.08,0.008160029
10,2.4000000000000004,10,0.35,1,1,-405.18258400927925,0.065,-404.5728581464468,0.072,0.008160029
10,2.5625,10,0.35,1,1,-403.74795831772616,0.06,-403.15370327457657,0.066,0.008160029
10,2.725,10,0.35,1,1,-402.2926795155134,0.055,-401.711978239806,0.06,0.008160029
10,2.8875,10,0.35,1,1,-400.8244017153686,0.05,-400.2575845148429,0.052,0.008160029
10,3.0500000000000003,10,0.35,1,1,-399.34593017383617,0.045,-398.79383467632636,0.04,0.008160029
10,3.2125000000000004,10,0.35,1,1,-397.8664224566676,0.045,-397.32929954187756,0.032,0.008160029
10,3.375,10,0.35,1,1,-396.38388479626434,0.03,-395.86143149794736,0.026,0.008160029
10,3.5375,10,0.35,1,1,-394.8245657593977,0.025,-394.3200212325702,0.02,0.008160029
10,3.7,10,0.35,1,1,-392.99842860908365,0.025,-392.53773265937645,0.018,0.008160029
10,3.8625000000000003,10,0.35,1,1,-391.01340142750195,0.025,-390.60634872785397,0.018,0.008160029
10,4.025,10,0.35,1,1,-388.8345509393288,0.025,-388.45752487727026,0.018,0.008160029
10,4.1875,10,0.35,1,1,-386.40419106625893,0.02,-386.04962329478377,0.016,0.008160029
10,4.35,10,0.35,1,1,-383.74404013839813,0.015,-383.40289549972886,0.014,0.008160029
10,4.5125,10,0.35,1,1,-380.8903798303199,0.015,-380.5641522841179,0.008,0.008160029
10,4.675000000000001,10,0.35,1,1,-377.87514962165386,0.015,-377.56292893179415,0.008,0.008160029
10,4.8375,10,0.35,1,1,-374.7210937853054,0.015,-374.4198624167225,0.006,0.008160029
10,5.0,10,0.35,1,1,-371.44769950341566,0.015,-371.1548318139849,0.018,0.008160029
