,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.1,-420.987169808374,-423.9629960106097,-418.58567688159536,[0.404],2.4405103008643225,0.0,0.404,"(0,)",-421.5490044192234,[0.4],2.358622642858658,0.4
1,0.17959183673469387,-418.44965286222765,-421.4033059154742,-416.06636537796766,[0.326],1.9829269596423234,0.0,0.326,"(0,)",-419.00968274463395,[0.325],1.947199335738936,0.325
2,0.25918367346938775,-415.9386659919608,-418.8748073230054,-413.5607562146598,[0.27],1.595439021088609,0.0,0.27,"(0,)",-416.4962727812832,[0.265],1.551078078410182,0.265
3,0.3387755102040816,-413.45227750073974,-416.3671271357012,-411.09077616085284,[0.22],1.284843344025587,0.0,0.22,"(0,)",-414.0079045647992,[0.22],1.2758953164912017,0.22
4,0.41836734693877553,-410.99081001107476,-413.90572185395115,-408.6425550896465,[0.192],1.065060848085069,0.0,0.192,"(0,)",-411.54389779296355,[0.17],1.0762845588865748,0.17
5,0.49795918367346936,-408.61371227859337,-411.5141688363546,-406.27794810236617,[0.184],1.0620619955739599,0.0,0.184,"(0,)",-409.1637540318749,[0.175],1.1504338502306442,0.175
6,0.5775510204081632,-406.34598190633255,-409.21811342086943,-404.02554080183626,[0.192],1.1912981715863056,0.0,0.192,"(0,)",-406.8960081342065,[0.18],1.3188598857400886,0.18
7,0.6571428571428571,-404.2032926927602,-407.05918227988,-401.8853586405558,[0.222],1.425298061069369,0.0,0.222,"(0,)",-404.75654868204526,[0.205],1.613740043883471,0.205
8,0.736734693877551,-402.2748961592211,-405.1833901847063,-399.98722476008385,[0.272],1.9941777260835032,0.0,0.272,"(0,)",-402.8411369370819,[0.27],2.2653174238002065,0.27
9,0.8163265306122448,-400.56694499596483,-403.39340587876535,-398.27887207698666,[0.276],2.186800567338802,0.0,0.276,"(0,)",-401.12603004720745,[0.305],2.5013321896287297,0.305
10,0.8959183673469387,-398.95462780756634,-401.7765420083335,-396.67807309061993,[0.282],2.1115784249374085,0.0,0.282,"(0,)",-399.51365939309557,[0.285],2.415176985861003,0.285
11,0.9755102040816326,-397.3894989533121,-400.10438244093694,-395.09659510635,[0.256],1.8971576761437694,0.0,0.256,"(0,)",-397.94368830724403,[0.255],2.1964663034648604,0.255
12,1.0551020408163265,-395.8385874734627,-398.53404034739134,-393.5738866290847,[0.24],1.6821536723107586,0.0,0.24,"(0,)",-396.3926235146168,[0.23],1.9834668832585807,0.23
13,1.1346938775510205,-394.29996685521957,-396.98301694361174,-392.0450384816186,[0.206],1.472009698110803,0.0,0.206,"(0,)",-394.85230632351374,[0.205],1.7876264609068175,0.205
14,1.2142857142857144,-392.7694167944538,-395.4386316049275,-390.52753301338254,[0.18],1.2932509341817644,0.0,0.18,"(0,)",-393.32211457145183,[0.19],1.6136047683318229,0.19
15,1.2938775510204081,-391.2560647868034,-393.90746681058107,-389.05036685414717,[0.158],1.1318062323966416,0.0,0.158,"(0,)",-391.80705732397035,[0.155],1.4581548054447508,0.155
16,1.373469387755102,-389.75097370436805,-392.38732707792303,-387.57150575314586,[0.132],0.994051025360573,0.0,0.132,"(0,)",-390.29567280646467,[0.145],1.3125684028697435,0.145
17,1.453061224489796,-388.25074766067934,-390.87380708750226,-386.07926383107946,[0.11],0.8796953941594061,0.0,0.11,"(0,)",-388.7914708304989,[0.125],1.1759546252038817,0.125
18,1.5326530612244897,-386.75481981806814,-389.36880351352517,-384.5881561396684,[0.1],0.7786200465693909,0.0,0.1,"(0,)",-387.29480573509284,[0.12],1.052176203183211,0.12
19,1.6122448979591837,-385.2694745648267,-387.8704107388614,-383.0547662076946,[0.09],0.6896449144684611,0.0,0.09,"(0,)",-385.8094842174146,[0.11],0.926020308381772,0.11
20,1.6918367346938776,-383.7929272771587,-386.351930804612,-381.5346613418012,[0.08],0.635247230232202,0.0,0.08,"(0,)",-384.33277602527977,[0.09],0.8337854085434795,0.09
21,1.7714285714285714,-382.3184005590903,-384.84780528808335,-380.0581788576625,[0.072],0.5742775854318558,0.0,0.072,"(0,)",-382.8574496445744,[0.08],0.753377362655883,0.08
22,1.8510204081632653,-380.8464009983385,-383.3609831749407,-378.59080240753997,[0.06],0.5152248322365716,0.0,0.06,"(0,)",-381.3839071113359,[0.07],0.6725992042076385,0.07
23,1.9306122448979592,-379.378330870942,-381.87931899594236,-377.13330860386617,[0.052],0.4620651376174922,0.0,0.052,"(0,)",-379.91317779980164,[0.065],0.6063953091127109,0.065
24,2.010204081632653,-377.9143097688033,-380.4019656221265,-375.6885940015075,[0.052],0.412294175522325,0.0,0.052,"(0,)",-378.4463163693955,[0.055],0.5490866031246279,0.055
25,2.0897959183673467,-376.453280459027,-378.9281749839964,-374.2397157407015,[0.044],0.36719835378637244,0.0,0.044,"(0,)",-376.98367772124254,[0.055],0.49809319561278503,0.055
26,2.169387755102041,-374.99500720349397,-377.4581556677488,-372.785144083701,[0.034],0.33098392574673957,0.0,0.034,"(0,)",-375.52410123096604,[0.05],0.45278608427301875,0.05
27,2.2489795918367346,-373.5396665276352,-376.005657674687,-371.33868944416304,[0.032],0.29813324024074916,0.0,0.032,"(0,)",-374.0671271985091,[0.05],0.4076443680368038,0.05
28,2.3285714285714287,-372.0876014842634,-374.5615614847157,-369.8941657456418,[0.028],0.2697877378643452,0.0,0.028,"(0,)",-372.6138043027617,[0.05],0.364461591318059,0.05
29,2.4081632653061225,-370.6382311494978,-373.1123382261772,-368.45701415369837,[0.026],0.24364755075848332,0.0,0.026,"(0,)",-371.1632107926388,[0.05],0.3211443126860274,0.05
30,2.487755102040816,-369.1914561137243,-371.6636878446872,-367.0234154223331,[0.022],0.22172739312028977,0.0,0.022,"(0,)",-369.7149079181145,[0.045],0.2795522031574297,0.045
31,2.5673469387755103,-367.7467396407806,-370.21280111145376,-365.59408202826637,[0.02],0.2021904140697487,0.0,0.02,"(0,)",-368.26868325095353,[0.045],0.23973887564352941,0.045
32,2.646938775510204,-366.30371738664036,-368.7576244185169,-364.16480878311955,[0.02],0.1834999820206603,0.0,0.02,"(0,)",-366.82421667198304,[0.04],0.20331081360708064,0.04
33,2.726530612244898,-364.8624341209447,-367.2963387538998,-362.7380715597126,[0.02],0.165527317765378,0.0,0.02,"(0,)",-365.3814351099577,[0.04],0.1691336139548713,0.04
34,2.806122448979592,-363.42287167882307,-365.8412428252887,-361.31335943560435,[0.016],0.1497812545660943,0.0,0.016,"(0,)",-363.94019523627617,[0.025],0.14254369681023688,0.025
35,2.8857142857142857,-361.98499922090457,-364.3880812523425,-359.88669270453613,[0.016],0.135599854596346,0.0,0.016,"(0,)",-362.5006596276803,[0.025],0.12222690584182182,0.025
36,2.9653061224489794,-360.5487507835513,-362.9364429812075,-358.4611693816162,[0.012],0.12313064501178125,0.0,0.012,"(0,)",-361.0628206590485,[0.025],0.10200135427143926,0.025
37,3.0448979591836736,-359.1141982240862,-361.48760835335065,-357.0320007741373,[0.012],0.11297111642348355,0.0,0.012,"(0,)",-359.6266244622346,[0.015],0.08560298545356307,0.015
38,3.1244897959183673,-357.68114802575377,-360.041053473372,-355.60454842312294,[0.01],0.10384212047466057,0.0,0.01,"(0,)",-358.1918477494291,[0.015],0.07263780520450955,0.015
39,3.204081632653061,-356.24953036723855,-358.59667836323393,-354.17874601441423,[0.006],0.09572838483318741,0.0,0.006,"(0,)",-356.7584994283982,[0.015],0.05963580366992392,0.015
40,3.283673469387755,-354.81934395061774,-357.15440150731916,-352.75643667703355,[0.006],0.09006747961302927,0.0,0.006,"(0,)",-355.32664993747267,[0.01],0.048766439892686864,0.01
41,3.363265306122449,-353.39057890463005,-355.7135329914604,-351.3350962144739,[0.006],0.08459279601254636,0.0,0.006,"(0,)",-353.89613044979546,[0.005],0.04240647706613171,0.005
42,3.4428571428571426,-351.96304756223185,-354.2743130445841,-349.91567437982883,[0.004],0.08070991927997007,0.0,0.004,"(0,)",-352.46685870044837,[0.005],0.038177740262393345,0.005
43,3.522448979591837,-350.5366784885895,-352.837112963935,-348.49961340276997,[0.004],0.07693399923824906,0.0,0.004,"(0,)",-351.03877619779007,[0.005],0.03394867994451292,0.005
44,3.6020408163265305,-349.1114725144225,-351.4012792821055,-347.08840919725435,[0.004],0.07304497189618445,0.0,0.004,"(0,)",-349.6120211956984,[0.005],0.02971983154073033,0.005
45,3.6816326530612242,-347.6874314316949,-349.9667045835343,-345.67521419867285,[0.004],0.06914510638162355,0.0,0.004,"(0,)",-348.1864914426879,[0.005],0.025495076775079503,0.005
46,3.7612244897959184,-346.26454583467404,-348.5333545376042,-344.2597944029628,[0.004],0.06527690281529452,0.0,0.004,"(0,)",-346.762071418275,[0.005],0.02126350555001487,0.005
47,3.840816326530612,-344.84275880253324,-347.1012485323588,-342.8439567239748,[0.004],0.061439184303640745,0.0,0.004,"(0,)",-345.338733670644,[0.005],0.017030105857730824,0.005
48,3.920408163265306,-343.4219867926222,-345.6705866503345,-341.42822257586016,[0.004],0.05763397578389742,0.0,0.004,"(0,)",-343.91641428525986,[0.],0.015,0.0
