,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,1.0,-399.6557804802386,-411.84176565428913,-394.2952819277165,[1.],239.27640771427193,0.0,1.0,"(0,)",-399.65161072793376,[1.],239.00282415543165,1.0
1,1.0612244897959184,-403.771500107812,-412.5291904960415,-399.4481793648407,[1.],241.76281323956886,0.0,1.0,"(0,)",-404.02450278670847,[1.],241.64298441760633,1.0
2,1.1224489795918366,-407.054453113168,-412.2272525407561,-406.87603510957933,[1.],243.76761259930308,0.0,1.0,"(0,)",-405.858916049187,[1.],242.79675179056704,1.0
3,1.183673469387755,-404.6589166594034,-411.6112768609469,-391.4986266442123,[1.],242.3675702397109,0.0,1.0,"(0,)",-405.0896775605426,[1.],242.3292737743679,1.0
4,1.2448979591836735,-400.43106806080885,-406.49078179769157,-398.1149289068867,[1.],239.74618142299758,0.0,1.0,"(0,)",-401.19659894405174,[1.],239.9419265078584,1.0
5,1.306122448979592,-398.85260524725123,-410.52350515175345,-383.13860008398785,[1.],238.8863133720746,0.0,1.0,"(0,)",-398.83534828694764,[1.],238.61317671873653,1.0
6,1.3673469387755102,-405.57528539984827,-410.35290179758783,-405.05601539431257,[1.],242.85757317430867,0.0,1.0,"(0,)",-405.2776834982521,[1.],242.40853255051832,1.0
7,1.4285714285714286,-402.2785791102419,-406.071813238174,-394.81838241701917,[1.],240.88280708976322,0.0,1.0,"(0,)",-401.87717905335785,[1.],240.37332950020252,1.0
8,1.489795918367347,-391.59193330693967,-407.6261813756089,-387.3777451114602,[1.],234.50885365553356,0.0,1.0,"(0,)",-390.5817783785528,[1.],233.6393573634023,1.0
9,1.5510204081632653,-398.93175438882497,-408.6937349379243,-401.6481178236612,[1.],238.89487673244267,0.0,1.0,"(0,)",-396.0873673320313,[1.],236.93277664905835,1.0
10,1.6122448979591837,-403.7066724929607,-406.9400111395318,-399.99310660106823,[1.],241.7325088925773,0.0,1.0,"(0,)",-403.8911142850358,[1.],241.5745543162878,1.0
11,1.6734693877551021,-405.7832044965479,-408.53096221996935,-402.38018054588974,[1.],242.97189645559328,0.0,1.0,"(0,)",-405.47275582121694,[1.],242.51472743839952,1.0
12,1.7346938775510203,-407.32148056017127,-411.379902987307,-401.3749284135842,[1.],243.93030557810178,0.0,1.0,"(0,)",-406.8155526965215,[1.],243.35371387532328,1.0
13,1.7959183673469388,-397.1729200921096,-403.30079001112983,-391.870662467959,[1.],237.78850237870674,0.0,1.0,"(0,)",-397.222916998699,[1.],237.550694410871,1.0
14,1.8571428571428572,-402.03780231535006,-404.7265909221689,-400.2765040513334,[1.],240.73346602412545,0.0,1.0,"(0,)",-401.21474267614803,[1.],239.97164280677944,1.0
15,1.9183673469387754,-403.88594115496045,-408.6425733182073,-401.5415576194063,[1.],241.82638652964187,0.0,1.0,"(0,)",-403.31027201140273,[1.],241.21854143972246,1.0
16,1.9795918367346939,-401.028366386231,-404.7818983715453,-394.7264814376536,[1.],240.09222333760442,0.0,1.0,"(0,)",-400.51139946869574,[1.],239.5181821051268,1.0
17,2.0408163265306123,-398.6327849043627,-404.56341007010434,-389.1709527874777,[1.],238.68814363369054,0.0,1.0,"(0,)",-398.76992925361645,[1.],238.51529173201996,1.0
18,2.1020408163265305,-402.1264451391592,-406.0349389800677,-401.3953528260329,[1.],240.76679019765646,0.0,1.0,"(0,)",-401.8283398078367,[1.],240.3229346271527,1.0
19,2.163265306122449,-395.0058891285104,-397.784308442209,-387.9918876696085,[1.],236.4497561872994,0.0,1.0,"(0,)",-395.2189256545885,[1.],236.31578913018413,1.0
20,2.2244897959183674,-397.4408783371502,-401.2305966294103,-397.86112266552146,[1.],237.9202558615226,0.0,1.0,"(0,)",-396.78344018893114,[1.],237.26299943680328,1.0
21,2.2857142857142856,-399.83125321869085,-402.0387872646652,-396.72480559822736,[1.],239.36771432792176,0.0,1.0,"(0,)",-399.44901746664,[1.],238.87926576975488,1.0
22,2.3469387755102042,-402.9042917468734,-404.8018856868548,-402.2826045453067,[1.],241.30819438766684,0.0,1.0,"(0,)",-402.28007156543214,[1.],240.76251520720945,1.0
23,2.4081632653061225,-396.23048943022656,-400.31572870802523,-394.5454143879033,[1.],237.191978736591,0.0,1.0,"(0,)",-395.66337458459157,[1.],236.59270927206038,1.0
24,2.4693877551020407,-397.4878648080028,-399.43344497971344,-395.99095844931566,[1.],237.94483722035545,0.0,1.0,"(0,)",-397.17107517789105,[1.],237.49551042549712,1.0
25,2.5306122448979593,-394.87965022415324,-399.2759813725318,-387.9623952254868,[1.],236.3993823300636,0.0,1.0,"(0,)",-394.58306606574564,[1.],235.96112791601126,1.0
26,2.5918367346938775,-394.55590684233937,-400.5522646136996,-394.439338593927,[1.],236.21701587326194,0.0,1.0,"(0,)",-392.9533145328371,[1.],235.0001641902569,1.0
27,2.6530612244897958,-389.08160285436287,-397.7166945965825,-384.87621370411,[1.],232.89919052692548,0.0,1.0,"(0,)",-388.2929239041636,[1.],232.17323399582543,1.0
28,2.7142857142857144,-394.80585375358726,-400.1766393515963,-396.60021092158775,[1.],236.33992102045667,0.0,1.0,"(0,)",-394.8244093258593,[1.],236.088808404874,1.0
29,2.7755102040816326,-393.78634656342047,-396.672024903002,-391.6741404590952,[1.],235.72285694745153,0.0,1.0,"(0,)",-393.6995028599729,[1.],235.4116151741627,1.0
30,2.836734693877551,-396.7296243620384,-398.4851046908436,-394.774310393744,[1.],237.49577003157265,0.0,1.0,"(0,)",-396.73245049114433,[1.],237.23938310885157,1.0
31,2.8979591836734695,-389.4774556548646,-393.92600892219417,-387.43694422878383,[1.],233.1352918704194,0.0,1.0,"(0,)",-389.76560960516343,[1.],233.04911012041444,1.0
32,2.9591836734693877,-391.65811139871704,-395.30435115741903,-387.85624361596086,[1.],234.44520067891233,0.0,1.0,"(0,)",-391.11944730366946,[1.],233.86073635327173,1.0
33,3.020408163265306,-392.60481949244877,-396.29474644931355,-390.5957947404132,[1.],235.04116037225845,0.0,1.0,"(0,)",-391.8162344595462,[1.],234.31107761318418,1.0
34,3.0816326530612246,-393.0515952153791,-396.5122551347322,-390.5803210338847,[1.],235.29462220726307,0.0,1.0,"(0,)",-393.06881078360254,[1.],235.0523145323556,1.0
35,3.142857142857143,-387.14151859445536,-392.65346711456766,-383.9431378647373,[1.],231.7202235456125,0.0,1.0,"(0,)",-387.08568671501985,[1.],231.43032933158682,1.0
36,3.204081632653061,-391.0782239476219,-397.51399799753625,-388.2287443479313,[1.],234.10118611799385,0.0,1.0,"(0,)",-390.7023595935882,[1.],233.61285102304782,1.0
37,3.2653061224489797,-385.9393065033596,-393.1631344275514,-379.1321610354357,[1.],231.01423613953204,0.0,1.0,"(0,)",-386.09133681641526,[1.],230.84815609869244,1.0
38,3.326530612244898,-386.6198197408755,-392.7198313244715,-380.6979201864556,[1.],231.41807196886285,0.0,1.0,"(0,)",-386.027726876475,[1.],230.80698470367233,1.0
39,3.387755102040816,-388.46317666700475,-397.5849228232103,-379.3207818950905,[1.],232.55098873058986,0.0,1.0,"(0,)",-388.52213072532606,[1.],232.33516678952753,1.0
40,3.4489795918367347,-392.2227599278637,-398.3563408957528,-391.9165939034303,[1.],234.80878467715962,0.0,1.0,"(0,)",-392.18827754372137,[1.],234.52391999428536,1.0
41,3.510204081632653,-392.7839555667359,-393.8070710382585,-390.95068068829613,[1.],235.16357347498874,0.0,1.0,"(0,)",-392.19242455299013,[1.],234.53799038143893,1.0
42,3.571428571428571,-386.413973652825,-391.4963815056917,-377.42599042787197,[1.],231.29402309882062,0.0,1.0,"(0,)",-386.9840719017359,[1.],231.3765338905457,1.0
43,3.63265306122449,-388.311561393125,-393.4264086782924,-385.6646243785881,[1.],232.43003359385486,0.0,1.0,"(0,)",-387.87198341813087,[1.],231.91036908704493,1.0
