seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
40,0.0001,40,0.3,1,1,-417.64643181839347,1.0,-417.2628878124177,1.0
40,0.00021544346900318845,40,0.3,1,1,-417.62826385540643,1.0,-417.2426729597512,1.0
40,0.00046415888336127773,40,0.3,1,1,-417.6238029403289,1.0,-417.23860069556963,1.0
40,0.001,40,0.3,1,1,-417.61823245557343,1.0,-417.2330222318453,1.0
40,0.002154434690031882,40,0.3,1,1,-417.60710167333434,1.0,-417.22215124988384,1.0
40,0.004641588833612777,40,0.3,1,1,-417.5844226641306,1.0,-417.20001119112214,1.0
40,0.01,40,0.3,1,1,-417.5356070845669,1.0,-417.1523400070916,1.0
40,0.021544346900318822,40,0.3,1,1,-417.4304674350055,1.0,-417.04966933996326,1.0
40,0.046415888336127774,40,0.3,1,1,-417.20396286815964,1.0,-416.82848764846716,1.0
40,0.1,40,0.3,1,1,-416.7159868408417,1.0,-416.3519769511189,0.998
40,0.11,40,0.3,1,1,-416.62492004823713,1.0,-416.2630496813813,0.998
40,0.17357142857142857,40,0.3,1,1,-416.0459930899256,1.0,-415.6977249540856,0.996
40,0.23714285714285716,40,0.3,1,1,-415.4670661775073,0.985,-415.1323999141222,0.986
40,0.3007142857142857,40,0.3,1,1,-414.8881394420246,0.945,-414.56707508460477,0.952
40,0.36428571428571427,40,0.3,1,1,-414.3092128770432,0.905,-414.00175044384343,0.898
40,0.4278571428571428,40,0.3,1,1,-413.73028625917584,0.84,-413.43642588494686,0.838
40,0.49142857142857144,40,0.3,1,1,-413.1513597534917,0.77,-412.8711013627675,0.772
40,0.555,40,0.3,1,1,-412.5724332075356,0.72,-412.3057767667184,0.712
40,0.6185714285714285,40,0.3,1,1,-411.9935066979051,0.665,-411.74045224090156,0.664
40,0.6821428571428572,40,0.3,1,1,-411.4145801347786,0.61,-411.1751276520392,0.596
40,0.7457142857142857,40,0.3,1,1,-410.83565371429546,0.52,-410.60980324333406,0.528
40,0.8092857142857143,40,0.3,1,1,-410.2567271398235,0.48,-410.04447867198394,0.464
40,0.8728571428571429,40,0.3,1,1,-409.6778006808665,0.44,-409.4791541696753,0.442
40,0.9364285714285714,40,0.3,1,1,-409.09887411525267,0.385,-408.9138295798302,0.376
40,1.0,40,0.3,1,1,-408.5199475749771,0.33,-408.3485050138733,0.33
40,1.1,40,0.3,1,1,-407.60927667993053,0.23,-407.4592305055936,0.264
40,1.2625000000000002,40,0.3,1,1,-406.12943658121344,0.16,-406.0141595286976,0.184
40,1.425,40,0.3,1,1,-404.64959632336485,0.095,-404.5690883695435,0.126
40,1.5875000000000001,40,0.3,1,1,-403.1697561116163,0.055,-403.12401729602715,0.07
40,1.75,40,0.3,1,1,-401.6845825799471,0.045,-401.67325732823315,0.05
40,1.9125,40,0.3,1,1,-400.1789539705855,0.02,-400.19887652220416,0.03
40,2.075,40,0.3,1,1,-398.6286881920572,0.02,-398.68538918303295,0.022
40,2.2375,40,0.3,1,1,-397.0598922037822,0.015,-397.1531954927053,0.018
40,2.4000000000000004,40,0.3,1,1,-395.48819502967694,0.01,-395.61781052637855,0.016
40,2.5625,40,0.3,1,1,-393.91115966875157,0.01,-394.07613833299024,0.012
40,2.725,40,0.3,1,1,-392.2846386888485,0.005,-392.4814530829949,0.01
40,2.8875,40,0.3,1,1,-390.26480725426416,0.01,-390.44588729343434,0.012
40,3.0500000000000003,40,0.3,1,1,-387.6802538010911,0.005,-387.8113332101932,0.01
40,3.2125000000000004,40,0.3,1,1,-384.3591970438714,0.0,-384.4559581545418,0.008
40,3.375,40,0.3,1,1,-380.4960015367924,0.0,-380.6077992608948,0.004
40,3.5375,40,0.3,1,1,-376.34694300691814,0.0,-376.497263906155,0.0
40,3.7,40,0.3,1,1,-371.9812460378403,0.0,-372.1738580667677,0.002
40,3.8625000000000003,40,0.3,1,1,-367.45810845871534,0.0,-367.69043457048474,0.002
40,4.025,40,0.3,1,1,-362.8282777246622,0.0,-363.0977459917573,0.0
40,4.1875,40,0.3,1,1,-358.11933696830573,0.0,-358.4236837252738,0.0
40,4.35,40,0.3,1,1,-353.35188521236023,0.0,-353.68964321400625,0.0
40,4.5125,40,0.3,1,1,-348.5398647828255,0.0,-348.9098451967486,0.0
40,4.675000000000001,40,0.3,1,1,-343.6921727942987,0.0,-344.0934148420647,0.0
40,4.8375,40,0.3,1,1,-338.81498040673165,0.0,-339.24671309498126,0.0
40,5.0,40,0.3,1,1,-333.91260473273275,0.0,-334.3741331946645,0.002
