seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
80,1.0,80,0.35,1,1,-409.9998339315444,0.29,-409.59339939098237,0.254
80,1.0612244897959184,80,0.35,1,1,-409.2382104908864,0.25,-408.8298010976815,0.224
80,1.1224489795918366,80,0.35,1,1,-408.4765871181569,0.215,-408.0662029197215,0.194
80,1.183673469387755,80,0.35,1,1,-407.7149636204043,0.175,-407.30260457281906,0.166
80,1.2448979591836735,80,0.35,1,1,-406.9533402036567,0.15,-406.53900631444634,0.14
80,1.306122448979592,80,0.35,1,1,-406.19171682530725,0.13,-405.7754080717052,0.112
80,1.3673469387755102,80,0.35,1,1,-405.4300933042705,0.095,-405.0118097280736,0.098
80,1.4285714285714286,80,0.35,1,1,-404.66846993366113,0.065,-404.2482115185712,0.09
80,1.489795918367347,80,0.35,1,1,-403.9068463201373,0.05,-403.4846130431164,0.088
80,1.5510204081632653,80,0.35,1,1,-403.14522304999656,0.045,-402.72101490647543,0.082
80,1.6122448979591837,80,0.35,1,1,-402.38359962139015,0.045,-401.95741667344214,0.074
80,1.6734693877551021,80,0.35,1,1,-401.62197614160056,0.04,-401.19381835301766,0.062
80,1.7346938775510203,80,0.35,1,1,-400.8603527055517,0.03,-400.4302200492822,0.046
80,1.7959183673469388,80,0.35,1,1,-400.09872928527807,0.025,-399.66662176548374,0.04
80,1.8571428571428572,80,0.35,1,1,-399.33540130075414,0.02,-398.90163170737486,0.038
80,1.9183673469387754,80,0.35,1,1,-398.56343094024095,0.02,-398.1284133259601,0.038
80,1.9795918367346939,80,0.35,1,1,-397.78859203212727,0.02,-397.3518225047211,0.028
80,2.0408163265306123,80,0.35,1,1,-397.01003450862095,0.02,-396.57042056455356,0.026
80,2.1020408163265305,80,0.35,1,1,-396.22793063822473,0.02,-395.7851343695645,0.018
80,2.163265306122449,80,0.35,1,1,-395.44538239128497,0.02,-394.9993841094203,0.018
80,2.2244897959183674,80,0.35,1,1,-394.6622457928123,0.02,-394.2132384446697,0.014
80,2.2857142857142856,80,0.35,1,1,-393.87594811247794,0.02,-393.4249685084823,0.014
80,2.3469387755102042,80,0.35,1,1,-393.0892603284854,0.015,-392.6364363927853,0.014
80,2.4081632653061225,80,0.35,1,1,-392.30047753987907,0.015,-391.84631653087786,0.012
80,2.4693877551020407,80,0.35,1,1,-391.5110151594339,0.01,-391.0556816246065,0.012
80,2.5306122448979593,80,0.35,1,1,-390.7215528316068,0.01,-390.26504670505017,0.008
80,2.5918367346938775,80,0.35,1,1,-389.9320905055468,0.01,-389.4744118204424,0.006
80,2.6530612244897958,80,0.35,1,1,-389.14262801723874,0.01,-388.6837767329625,0.006
80,2.7142857142857144,80,0.35,1,1,-388.35263636081595,0.01,-387.8925596061895,0.004
80,2.7755102040816326,80,0.35,1,1,-387.56084071323204,0.005,-387.09935806865093,0.004
80,2.836734693877551,80,0.35,1,1,-386.7683330624586,0.005,-386.3053515472115,0.004
80,2.8979591836734695,80,0.35,1,1,-385.97093136675306,0.005,-385.5060051179706,0.004
80,2.9591836734693877,80,0.35,1,1,-385.1541446603265,0.005,-384.68739780777787,0.004
80,3.020408163265306,80,0.35,1,1,-384.3067548186901,0.005,-383.8376502961069,0.004
80,3.0816326530612246,80,0.35,1,1,-383.4122854762099,0.01,-382.94174619821246,0.004
80,3.142857142857143,80,0.35,1,1,-382.457339740536,0.01,-381.9876172338031,0.004
80,3.204081632653061,80,0.35,1,1,-381.43883640189205,0.01,-380.9709970916009,0.004
80,3.2653061224489797,80,0.35,1,1,-380.3635089914709,0.01,-379.8971717160183,0.004
80,3.326530612244898,80,0.35,1,1,-379.2343603138832,0.01,-378.7665388367121,0.004
80,3.387755102040816,80,0.35,1,1,-378.0530003324649,0.01,-377.5794907681663,0.004
80,3.4489795918367347,80,0.35,1,1,-376.81981995143514,0.005,-376.33951308322884,0.004
80,3.510204081632653,80,0.35,1,1,-375.54039929398647,0.005,-375.0528666289305,0.004
80,3.571428571428571,80,0.35,1,1,-374.2144943330472,0.005,-373.72098570167145,0.004
80,3.63265306122449,80,0.35,1,1,-372.84563712992315,0.0,-372.3480613986051,0.002
80,3.693877551020408,80,0.35,1,1,-371.441824256212,0.0,-370.94168959711715,0.0
80,3.7551020408163263,80,0.35,1,1,-370.007106172874,0.0,-369.5061516378848,0.0
80,3.816326530612245,80,0.35,1,1,-368.5442922126739,0.0,-368.04450072953,0.0
80,3.877551020408163,80,0.35,1,1,-367.0558999065855,0.0,-366.5593659723202,0.0
80,3.9387755102040813,80,0.35,1,1,-365.54324488801615,0.0,-365.05191749404696,0.0
80,4.0,80,0.35,1,1,-364.00498970390174,0.0,-363.5202129050379,0.0
