seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
50,0.0001,50,0.4,2,1,-426.34316879742573,1.0,-426.31084816725365,1.0
50,0.00021544346900318845,50,0.4,2,1,-426.34037647650825,1.0,-426.30790465435825,1.0
50,0.00046415888336127773,50,0.4,2,1,-426.33560437079103,1.0,-426.30291750683784,1.0
50,0.001,50,0.4,2,1,-426.32691034574424,1.0,-426.29423731178025,1.0
50,0.002154434690031882,50,0.4,2,1,-426.3084425736795,1.0,-426.2757380965472,1.0
50,0.004641588833612777,50,0.4,2,1,-426.2686199541432,1.0,-426.23587295869345,1.0
50,0.01,50,0.4,2,1,-426.18284063550243,1.0,-426.149995905164,1.0
50,0.021544346900318822,50,0.4,2,1,-425.99803587508313,1.0,-425.96498542702756,1.0
50,0.046415888336127774,50,0.4,2,1,-425.59988420816444,1.0,-425.56639117659853,1.0
50,0.1,50,0.4,2,1,-424.74209431869417,1.0,-424.70764591774713,1.0
50,0.11,50,0.4,2,1,-424.5820111193118,1.0,-424.5473846247128,1.0
50,0.17357142857142857,50,0.4,2,1,-423.5643408099754,1.0,-423.5285810717097,1.0
50,0.23714285714285716,50,0.4,2,1,-422.54667057754375,1.0,-422.5097776398511,1.0
50,0.3007142857142857,50,0.4,2,1,-421.529000444912,1.0,-421.49097431551024,1.0
50,0.36428571428571427,50,0.4,2,1,-420.5113301263629,0.99,-420.4721708258584,0.988
50,0.4278571428571428,50,0.4,2,1,-419.49366002930606,0.975,-419.45336756183036,0.978
50,0.49142857142857144,50,0.4,2,1,-418.47598989142085,0.915,-418.43456424271886,0.93
50,0.555,50,0.4,2,1,-417.4583196459204,0.86,-417.41576081082843,0.882
50,0.6185714285714285,50,0.4,2,1,-416.44064964752647,0.8,-416.3969576310688,0.822
50,0.6821428571428572,50,0.4,2,1,-415.4229793515686,0.695,-415.3781541872496,0.738
50,0.7457142857142857,50,0.4,2,1,-414.40530924314277,0.64,-414.3593509005961,0.656
50,0.8092857142857143,50,0.4,2,1,-413.387639056898,0.58,-413.34054752543614,0.578
50,0.8728571428571429,50,0.4,2,1,-412.3699688140667,0.51,-412.3217441012762,0.518
50,0.9364285714285714,50,0.4,2,1,-411.35229865059983,0.445,-411.3029407358341,0.45
50,1.0,50,0.4,2,1,-410.33462843130843,0.4,-410.28413734365944,0.38
50,1.1,50,0.4,2,1,-408.73379900561923,0.35,-408.68152539216015,0.314
50,1.2625000000000002,50,0.4,2,1,-406.13245118336033,0.255,-406.0772809677245,0.244
50,1.425,50,0.4,2,1,-403.53110313934485,0.2,-403.4730363194719,0.18
50,1.5875000000000001,50,0.4,2,1,-400.92975511399663,0.15,-400.8687916638648,0.144
50,1.75,50,0.4,2,1,-398.3284072319127,0.135,-398.2645471692472,0.114
50,1.9125,50,0.4,2,1,-395.7270592752227,0.11,-395.6603026214083,0.102
50,2.075,50,0.4,2,1,-393.1257114312352,0.085,-393.05605819085827,0.084
50,2.2375,50,0.4,2,1,-390.5148082969083,0.07,-390.4424181398003,0.07
50,2.4000000000000004,50,0.4,2,1,-387.88104482689516,0.065,-387.80546268563575,0.068
50,2.5625,50,0.4,2,1,-385.2241453153253,0.045,-385.146282195978,0.056
50,2.725,50,0.4,2,1,-382.5610394367052,0.045,-382.48239794724793,0.048
50,2.8875,50,0.4,2,1,-379.8924261174101,0.04,-379.81252058765654,0.042
50,3.0500000000000003,50,0.4,2,1,-377.21582500602045,0.04,-377.133523625523,0.04
50,3.2125000000000004,50,0.4,2,1,-374.53922394668206,0.03,-374.4545267088501,0.036
50,3.375,50,0.4,2,1,-371.86215844289364,0.03,-371.7750114981936,0.03
50,3.5375,50,0.4,2,1,-369.1273280833001,0.015,-369.0394311657883,0.024
50,3.7,50,0.4,2,1,-366.1793918076697,0.005,-366.09592893554475,0.016
50,3.8625000000000003,50,0.4,2,1,-362.89856430174603,0.005,-362.8310805522191,0.016
50,4.025,50,0.4,2,1,-359.2969566965333,0.005,-359.25605100543885,0.014
50,4.1875,50,0.4,2,1,-355.441910207962,0.005,-355.4340844399738,0.012
50,4.35,50,0.4,2,1,-351.37168218136753,0.005,-351.39591905144755,0.01
50,4.5125,50,0.4,2,1,-347.1259535438428,0.005,-347.1797197378269,0.008
50,4.675000000000001,50,0.4,2,1,-342.74839012118167,0.005,-342.82979076063134,0.008
50,4.8375,50,0.4,2,1,-338.2707183988059,0.005,-338.378493596081,0.006
50,5.0,50,0.4,2,1,-333.71320678476354,0.005,-333.8460705079746,0.006
