,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.1,-422.0503246694135,-424.85024940033674,-419.7269161378586,[0.418],3.311792899764114,0.0,0.418,"(0,)",-422.659694116113,[0.33],2.32646768105147,0.33
1,0.2,-418.81593223685013,-421.59574668779885,-416.5059207554742,[0.318],2.6449654454309055,0.0,0.318,"(0,)",-419.42210554727797,[0.24],1.7833758040957057,0.24
2,0.30000000000000004,-415.6116375702634,-418.3658379628601,-413.3114848142913,[0.246],2.1375086560905276,0.0,0.246,"(0,)",-416.2146048702601,[0.19],1.3959751100979942,0.19
3,0.4,-412.4389767272214,-415.1697245517832,-410.1494361050102,[0.19],1.7315956384351792,0.0,0.19,"(0,)",-413.03872176955525,[0.165],1.0622057677104266,0.165
4,0.5,-409.28307198052653,-411.99292520997574,-407.0114626267447,[0.15],1.4269959552786036,0.0,0.15,"(0,)",-409.87884672594987,[0.12],0.8169020128261559,0.12
5,0.6,-406.1574601600143,-408.8366594442207,-403.89419194080267,[0.122],1.197318755338256,0.0,0.122,"(0,)",-406.74898802016855,[0.09],0.6454309532225616,0.09
6,0.7000000000000001,-403.06872445893094,-405.7214541188257,-400.8156497781493,[0.102],1.0423313557838993,0.0,0.102,"(0,)",-403.65607848087535,[0.08],0.5504440241227266,0.08
7,0.8,-400.0971171216832,-402.7362510688327,-397.85605286764843,[0.09],0.9723715330687064,0.0,0.09,"(0,)",-400.67810467834306,[0.08],0.5358068153680823,0.08
8,0.9,-397.26543535833014,-399.87199151557144,-395.04740274446124,[0.096],0.9514924387441227,0.0,0.096,"(0,)",-397.8394147150814,[0.08],0.5528109468796609,0.08
9,1.0,-394.5773236685914,-397.14962083239266,-392.3477401919063,[0.092],0.8850780081389032,0.0,0.092,"(0,)",-395.14340387831794,[0.085],0.5463052207716559,0.085
10,1.1,-392.07887769712147,-394.6554017333835,-389.85247056624604,[0.11],0.9436829909794097,0.0,0.11,"(0,)",-392.644385593328,[0.095],0.6272215944771689,0.095
11,1.2000000000000002,-389.86261217683665,-392.41126930012734,-387.66672125843564,[0.138],1.0876933622980318,0.0,0.138,"(0,)",-390.4323724639308,[0.105],0.7292951070213474,0.105
12,1.3000000000000003,-387.848916266768,-390.3050830178626,-385.63982451278116,[0.142],1.0745458181945755,0.0,0.142,"(0,)",-388.4168600005147,[0.095],0.6946955023824068,0.095
13,1.4000000000000001,-385.902632822315,-388.32919221461066,-383.6955710971854,[0.13],0.996512256381656,0.0,0.13,"(0,)",-386.4658441177172,[0.09],0.623102490127539,0.09
14,1.5000000000000002,-383.99391052349137,-386.4036548538092,-381.7827808034408,[0.114],0.9041311383832767,0.0,0.114,"(0,)",-384.55360689868326,[0.075],0.5421254511125515,0.075
15,1.6,-382.10094434284014,-384.5579379487313,-379.9170804232625,[0.102],0.7869772272336184,0.0,0.102,"(0,)",-382.6625157471125,[0.075],0.4641330398900091,0.075
16,1.7000000000000002,-380.2218777973802,-382.7422457062943,-378.0548847004236,[0.096],0.6821441107248388,0.0,0.096,"(0,)",-380.7848182074714,[0.065],0.3928048392199402,0.065
17,1.8000000000000003,-378.3606581134066,-380.91441873165945,-376.1983867896954,[0.084],0.5940711192939009,0.0,0.084,"(0,)",-378.92154617055945,[0.055],0.3375891792019748,0.055
18,1.9000000000000001,-376.51054895976995,-379.0582662306843,-374.3466067992349,[0.078],0.503811951991516,0.0,0.078,"(0,)",-377.06682431591173,[0.05],0.2797373894880505,0.05
19,2.0,-374.66861960581394,-377.1510982509713,-372.5070534874958,[0.062],0.4280882785656053,0.0,0.062,"(0,)",-375.22152329437233,[0.04],0.2314683825208858,0.04
20,2.1,-372.8335142062522,-375.26925529867833,-370.6731553108074,[0.056],0.3670725924564515,0.0,0.056,"(0,)",-373.38495608570724,[0.03],0.19814962944498277,0.03
21,2.2,-371.0047859203675,-373.3946873865047,-368.8607667972226,[0.044],0.31949870948787457,0.0,0.044,"(0,)",-371.5548749319966,[0.03],0.17042601417317804,0.03
22,2.3000000000000003,-369.18153466746764,-371.520448375374,-367.0508193262485,[0.042],0.2779379173004283,0.0,0.042,"(0,)",-369.7304345052887,[0.03],0.14135764701719328,0.03
23,2.4000000000000004,-367.3632079204384,-369.67454420375185,-365.24498513642646,[0.034],0.23998388696052947,0.0,0.034,"(0,)",-367.91125777903585,[0.03],0.11137675161943227,0.03
24,2.5000000000000004,-365.5500874530508,-367.8321804619405,-363.4498840889137,[0.03],0.2054307920421406,0.0,0.03,"(0,)",-366.0972094560365,[0.03],0.07891561667455789,0.03
25,2.6,-363.7413426114505,-366.0040198796046,-361.66402236045457,[0.024],0.17724263539596474,0.0,0.024,"(0,)",-364.287118834013,[0.02],0.05141033714110122,0.02
26,2.7,-361.9353950833099,-364.17774324216794,-359.868272208536,[0.018],0.15702973475056803,0.0,0.018,"(0,)",-362.4797731915039,[0.01],0.03437193575987521,0.01
27,2.8000000000000003,-360.13217500706253,-362.3633258981845,-358.07951366965875,[0.018],0.137022112035554,0.0,0.018,"(0,)",-360.6748511568069,[0.01],0.024031134243035587,0.01
28,2.9000000000000004,-358.33118348800343,-360.54925632929735,-356.2939491553817,[0.014],0.11682624379055923,0.0,0.014,"(0,)",-358.87214797355597,[0.],0.015,0.0
29,3.0000000000000004,-356.5318107745299,-358.73083056163057,-354.507463817877,[0.014],0.10131779314346531,0.0,0.014,"(0,)",-357.0712822237193,[0.],0.015,0.0
30,3.1,-354.73472810542387,-356.9149058987211,-352.7219981451343,[0.012],0.08650859895433229,0.0,0.012,"(0,)",-355.2726938118714,[0.],0.015,0.0
31,3.2,-352.9400037844264,-355.1023891025698,-350.9379000718761,[0.01],0.07378896446113252,0.0,0.01,"(0,)",-353.47638706374585,[0.],0.015,0.0
32,3.3000000000000003,-351.1475907992306,-353.2939353961839,-349.1568108290307,[0.008],0.06282592625577288,0.0,0.008,"(0,)",-351.68240117950774,[0.],0.015,0.0
33,3.4000000000000004,-349.3572918380202,-351.4925070974042,-347.3807904733,[0.008],0.054029979982134935,0.0,0.008,"(0,)",-349.8904270628793,[0.],0.015,0.0
34,3.5000000000000004,-347.56896026472816,-349.69800488765173,-345.6085531907617,[0.008],0.04520520985486016,0.0,0.008,"(0,)",-348.1003873716828,[0.],0.015,0.0
35,3.6,-345.7828159734317,-347.9059019221064,-343.83352640057075,[0.008],0.036014909705352594,0.0,0.008,"(0,)",-346.31265400557504,[0.],0.015,0.0
36,3.7,-343.99844070331676,-346.1172046142213,-342.054296782329,[0.006],0.027203287880741698,0.0,0.006,"(0,)",-344.5266010094849,[0.],0.015,0.0
37,3.8000000000000003,-342.21621193450176,-344.3416545938965,-340.2816266743787,[0.006],0.020030739640655854,0.0,0.006,"(0,)",-342.7426201688904,[0.],0.015,0.0
38,3.9000000000000004,-340.4359505611309,-342.56246579898334,-338.51408983737946,[0.002],0.016339617314125972,0.0,0.002,"(0,)",-340.96131879105496,[0.],0.015,0.0
39,4.0,-338.65737020625403,-340.7830414465461,-336.7493433883414,[0.],0.015,0.0,0.0,"(0,)",-339.18169616292676,[0.],0.015,0.0
40,4.1,-336.88038804696083,-339.0038295643122,-334.98502049402094,[0.],0.015,0.0,0.0,"(0,)",-337.4035678505359,[0.],0.015,0.0
41,4.2,-335.10454906951423,-337.2204010339471,-333.2174761144906,[0.],0.015,0.0,0.0,"(0,)",-335.6264724745149,[0.],0.015,0.0
42,4.3,-333.3299245095454,-335.4373858625093,-331.4560401578209,[0.],0.015,0.0,0.0,"(0,)",-333.85046981776657,[0.],0.015,0.0
43,4.3999999999999995,-331.55636446794995,-333.65534804815707,-329.68857535233553,[0.],0.015,0.0,0.0,"(0,)",-332.0753803551099,[0.],0.015,0.0
44,4.5,-329.78377762851056,-331.87414801946346,-327.9227089520304,[0.],0.015,0.0,0.0,"(0,)",-330.3012352521029,[0.],0.015,0.0
45,4.6,-328.0121173527071,-330.0937299129148,-326.15821763661694,[0.],0.015,0.0,0.0,"(0,)",-328.5280056370535,[0.],0.015,0.0
46,4.7,-326.24129098044546,-328.31406511383943,-324.39442000165775,[0.],0.015,0.0,0.0,"(0,)",-326.7555564894235,[0.],0.015,0.0
47,4.8,-324.471279836677,-326.53288884847206,-322.63378086742625,[0.],0.015,0.0,0.0,"(0,)",-324.98387576969856,[0.],0.015,0.0
48,4.9,-322.70204703912543,-324.75035761882657,-320.8766093589469,[0.],0.015,0.0,0.0,"(0,)",-323.2129625123271,[0.],0.015,0.0
49,5.0,-320.9335027566799,-322.96872670157745,-319.12189818677837,[0.],0.015,0.0,0.0,"(0,)",-321.4427196182023,[0.],0.015,0.0
50,5.1,-319.16559124797755,-321.1879105474593,-317.3655052154593,[0.],0.015,0.0,0.0,"(0,)",-319.67307739597067,[0.],0.015,0.0
51,5.2,-317.3982512044566,-319.4078358810838,-315.61071349007483,[0.],0.015,0.0,0.0,"(0,)",-317.9039699345793,[0.],0.015,0.0
52,5.3,-315.63137611158146,-317.62840921510826,-313.8569860246017,[0.],0.015,0.0,0.0,"(0,)",-316.1352693180618,[0.],0.015,0.0
53,5.4,-313.8649707863888,-315.8495767564163,-312.09746049960336,[0.],0.015,0.0,0.0,"(0,)",-314.3670801242632,[0.],0.015,0.0
54,5.5,-312.0989937755119,-314.07128992063565,-310.3418955269845,[0.],0.015,0.0,0.0,"(0,)",-312.599323187191,[0.],0.015,0.0
55,5.6,-310.33347359295055,-312.29329132947134,-308.58875273943084,[0.],0.015,0.0,0.0,"(0,)",-310.83202832843494,[0.],0.015,0.0
56,5.7,-308.56841906100505,-310.51524125732425,-306.8366914936905,[0.],0.015,0.0,0.0,"(0,)",-309.0652280849523,[0.],0.015,0.0
57,5.8,-306.8037878362737,-308.74191480706764,-305.08206049784826,[0.],0.015,0.0,0.0,"(0,)",-307.29884742485115,[0.],0.015,0.0
58,5.9,-305.03957730555067,-306.96836714918436,-303.32674545843804,[0.],0.015,0.0,0.0,"(0,)",-305.53289981750765,[0.],0.015,0.0
59,6.0,-303.27581735641036,-305.19273192642504,-301.5726134915215,[0.],0.015,0.0,0.0,"(0,)",-303.7674540399275,[0.],0.015,0.0
