,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,1.0,-415.1981924048643,-418.51149878683293,-412.8729166609763,[0.724],12.736638885104696,0.016,0.724,"(0,)",-415.75780002088965,[0.685],10.747156689604497,0.685
1,1.0612244897959184,-414.3225154520161,-417.6336008865625,-412.0012507013185,[0.692],11.758428210953923,0.018,0.692,"(0,)",-414.88104752831964,[0.65],9.834231162689154,0.65
2,1.1224489795918366,-413.44683850361935,-416.75570305873356,-411.12958473934344,[0.666],10.824031928692271,0.022,0.666,"(0,)",-414.00429503837694,[0.6],8.974931904063059,0.6
3,1.183673469387755,-412.57116150909513,-415.8778046215906,-410.25791876357493,[0.616],9.932582514462768,0.026,0.616,"(0,)",-413.1275425116149,[0.545],8.194721273768282,0.545
4,1.2448979591836735,-411.6954845674242,-414.9999070852814,-409.3862527810596,[0.582],9.109915241077372,0.03,0.582,"(0,)",-412.25079001650585,[0.5],7.4778033490987,0.5
5,1.306122448979592,-410.8198076010918,-414.12200925777444,-408.51458680990856,[0.546],8.341546197132661,0.032,0.546,"(0,)",-411.37403751726924,[0.465],6.814759572371571,0.465
6,1.3673469387755102,-409.94413059958185,-413.24411138028046,-407.6429208409004,[0.51],7.6193851162965975,0.038,0.51,"(0,)",-410.49728497087324,[0.435],6.186418140630676,0.435
7,1.4285714285714286,-409.06845366269107,-412.3662135425253,-406.77125487348474,[0.484],6.942700999791201,0.058,0.484,"(0,)",-409.6205324929509,[0.395],5.619124423049306,0.395
8,1.489795918367347,-408.1927767184926,-411.48831568782197,-405.8995889105555,[0.436],6.313658114699649,0.068,0.436,"(0,)",-408.7437800086968,[0.365],5.101592948165654,0.365
9,1.5510204081632653,-407.3170997863204,-410.6104178382202,-405.0279229564998,[0.416],5.733385654319173,0.076,0.416,"(0,)",-407.86702753544233,[0.345],4.61999876565089,0.345
10,1.6122448979591837,-406.4414228560859,-409.73251999862316,-404.15625700669216,[0.392],5.18353840282384,0.088,0.392,"(0,)",-406.990275064124,[0.315],4.170612247627006,0.315
11,1.6734693877551021,-405.56574581466106,-408.8546221639727,-403.28459105669924,[0.352],4.6871739940886865,0.102,0.352,"(0,)",-406.1135224978604,[0.275],3.770470467360571,0.275
12,1.7346938775510203,-404.69006896185135,-407.9767243407794,-402.41292504146594,[0.318],4.233349308397478,0.124,0.318,"(0,)",-405.2367700865141,[0.245],3.4215566836766245,0.245
13,1.7959183673469388,-403.8143918858068,-407.0988262645885,-401.54125881670603,[0.292],3.824017626085221,0.136,0.292,"(0,)",-404.3600174681098,[0.235],3.0973920317918004,0.235
14,1.8571428571428572,-402.9387149097166,-406.2209286191441,-400.66959296486846,[0.272],3.4489449148847617,0.158,0.272,"(0,)",-403.4832649488185,[0.21],2.803585832495585,0.21
15,1.9183673469387754,-402.0630380532357,-405.34303082297976,-399.797926967365,[0.254],3.0964350977325896,0.178,0.254,"(0,)",-402.6065125634003,[0.205],2.528102863332209,0.205
16,1.9795918367346939,-401.18736102934906,-404.4651329270535,-398.9262612935603,[0.234],2.76930599623082,0.19,0.234,"(0,)",-401.72976000754505,[0.19],2.26376401597553,0.19
17,2.0408163265306123,-400.3116842119033,-403.5872350176844,-398.0545953290035,[0.2],2.4850618946944945,0.208,0.2,"(0,)",-400.85300764212406,[0.18],2.014920108144382,0.18
18,2.1020408163265305,-399.4360072532427,-402.7093370967483,-397.1829293620427,[0.188],2.2290567912295165,0.222,0.188,"(0,)",-399.97625513880325,[0.175],1.7776113365955966,0.175
19,2.163265306122449,-398.56033028540156,-401.83143896854,-396.31126335312763,[0.176],1.9880967728867562,0.236,0.176,"(0,)",-399.0995026175109,[0.16],1.5511184922020427,0.16
20,2.2244897959183674,-397.6846532569295,-400.95354094334186,-395.4395973405837,[0.158],1.7683974604934567,0.252,0.158,"(0,)",-398.2227500541818,[0.15],1.3424190347671283,0.15
21,2.2857142857142856,-396.80897627253154,-400.0756431950403,-394.56793134781213,[0.142],1.570434471789428,0.272,0.142,"(0,)",-397.3459975577098,[0.12],1.1625812511637599,0.12
22,2.3469387755102042,-395.93329935978517,-399.19774580977503,-393.6962653902749,[0.124],1.4002965687721154,0.304,0.124,"(0,)",-396.4692450588675,[0.105],1.0112123331814655,0.105
23,2.4081632653061225,-395.057622468329,-398.3198479422723,-392.8217361074101,[0.118],1.2433441334089825,0.322,0.118,"(0,)",-395.5924926347211,[0.095],0.8823404904671981,0.095
24,2.4693877551020407,-394.181945479676,-397.44194962407875,-391.9452650613141,[0.104],1.1000421809693495,0.344,0.104,"(0,)",-394.71574011394716,[0.075],0.7626444468347126,0.075
25,2.5306122448979593,-393.3062685112746,-396.5640519169534,-391.06879401736603,[0.09],0.9732723301651427,0.352,0.09,"(0,)",-393.83898760319704,[0.07],0.6646843785325025,0.07
26,2.5918367346938775,-392.43059153642093,-395.68615410389685,-390.1923228041156,[0.074],0.8645560978638018,0.378,0.074,"(0,)",-392.96223510524607,[0.06],0.5779240836008508,0.06
27,2.6530612244897958,-391.55491457227225,-394.80825626287333,-389.3158517814376,[0.07],0.7715793180889452,0.404,0.07,"(0,)",-392.08548259092294,[0.055],0.5023506945696252,0.055
28,2.7142857142857144,-390.67923764424097,-393.93035837479766,-388.4393807345466,[0.06],0.6836847361842346,0.436,0.06,"(0,)",-391.20873012804134,[0.05],0.4310708529919204,0.05
