,Rho,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.00015000000000000001,-428.9097416899092,-428.9096342768548,-418.2512675374597,-433.40524060038297,-426.7949361854513,[1.],156.55980428552118,0.0,1.0,"(0,)",-429.68611817472186,-418.25195536595635,-429.6859957610515,[1.],165.19227269776658,1.0
1,0.004743416490252569,-428.8524086886566,-428.85240697031037,-418.1927140807798,-433.36042756912207,-426.728796546655,[1.],155.81433568240465,0.0,1.0,"(0,)",-429.6272596125797,-418.1927246499771,-429.62726034984445,[1.],165.05375378392156,1.0
2,0.15000000000000002,-427.0393609110722,-427.0393610534939,-416.34299233641923,-431.9191487059286,-424.8195631356687,[1.],138.6717928909211,0.0,1.0,"(0,)",-427.7659720868588,-416.3429927459206,-427.7659722587269,[1.],147.4656518716103,1.0
3,0.165,-426.8521353220424,-426.8521356625481,-416.1519797534366,-431.77031419365665,-424.69506025263945,[1.],136.91233776502747,0.0,1.0,"(0,)",-427.57376499581846,-416.1519806300737,-427.5737653881115,[1.],145.6692014619448,1.0
4,0.3142105263157895,-424.9897355079255,-424.9897356614865,-414.2519090689774,-430.2897963270832,-422.33872056832456,[0.99],119.75159282279506,0.0,0.99,"(0,)",-425.661812384721,-414.251909185579,-425.6618125790218,[0.99],128.07865280112767,0.99
5,0.46342105263157896,-423.12733553109064,-423.12733577206774,-412.35183785836335,-428.57537710078134,-419.52030880404703,[0.97],103.28216703011047,0.004,0.97,"(0,)",-423.7498596029111,-412.35183835960396,-423.7498598960026,[0.965],110.97641973082567,0.965
6,0.6126315789473684,-421.26493586080585,-421.26493614298244,-410.45176712550204,-426.6108689048693,-416.701897113316,[0.936],87.83242647521116,0.006,0.936,"(0,)",-421.837907050169,-410.45176740988626,-421.83790735205986,[0.935],94.69474053227064,0.935
7,0.7618421052631579,-419.4025362193482,-419.4025363714615,-408.55169647411515,-424.64636064437104,-413.88348525392666,[0.87],73.5066429412812,0.022,0.87,"(0,)",-419.9259546163478,-408.551696490487,-419.9259547822687,[0.9],79.3932313467901,0.9
8,0.9110526315789473,-417.54013635519914,-417.5401365067224,-406.65162560009355,-422.9231791416181,-411.30141896135723,[0.766],60.81660611305757,0.032,0.766,"(0,)",-418.0140019332703,-406.651625612259,-418.01400211832237,[0.82],65.4429650345668,0.82
9,1.0602631578947368,-415.6777363018242,-415.6777366321495,-404.7515547169147,-421.6961031189237,-408.761525243428,[0.656],50.106924097795904,0.052,0.656,"(0,)",-416.1020490419485,-404.75155472807626,-416.1020494080847,[0.705],53.420759972339,0.705
