,Rho,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.00015000000000000001,-428.30155769277803,-428.30160528824166,-419.5086308516894,-431.65464854790997,-425.89366863203355,[1.],154.73887963095754,0.0,1.0,"(0,)",-428.8772521955528,-419.5086109832559,-428.8773784447777,[1.],149.74959705824767,1.0
1,0.004743416490252569,-428.23834806065645,-428.2383510090497,-419.4462727336026,-431.5915394372348,-425.8308822811408,[1.],154.2307413347835,0.0,1.0,"(0,)",-428.8139616684075,-419.44626754084874,-428.81396586237315,[1.],149.21207813172788,1.0
2,0.15000000000000002,-426.23948649909306,-426.239486915396,-417.4731762335024,-429.596280989193,-423.8437134785698,[1.],137.77679588606503,0.0,1.0,"(0,)",-426.8125402831133,-417.4731760717153,-426.8125408916896,[1.],132.89073978132663,1.0
3,0.165,-426.0330730521865,-426.0330734962048,-417.26942251654674,-429.39023992915395,-423.6385062947069,[1.],136.08603707173594,0.0,1.0,"(0,)",-426.6058624906618,-417.2694224558324,-426.6058631222688,[1.],131.2153830772944,1.0
4,0.3142105263157895,-423.97980207364037,-423.97980244594766,-415.24260432313844,-427.34067260945,-421.5972218794569,[0.99],119.32124800645853,0.0,0.99,"(0,)",-424.5499621191347,-415.2426042632076,-424.54996263515727,[0.985],114.68154280451265,0.985
5,0.46342105263157896,-421.926531083111,-421.92653134024323,-413.2157864249044,-425.2911054312699,-419.5559377502379,[0.954],103.08921914812008,0.0,0.954,"(0,)",-422.4940616704343,-413.215786415633,-422.49406199788865,[0.94],98.83377846893949,0.94
6,0.6126315789473684,-419.8732602483561,-419.8732603128231,-411.1889683044982,-423.2415382282245,-417.5146534624125,[0.91],87.62991334130813,0.002,0.91,"(0,)",-420.43816140822616,-411.1889683024793,-420.4381614835745,[0.88],83.92719710257222,0.88
7,0.7618421052631579,-417.8199891496949,-417.81998919578155,-409.16215012781663,-421.19197095689094,-415.4733691366089,[0.81],73.43949947525947,0.002,0.81,"(0,)",-418.3822608610589,-409.1621501257292,-418.3822609158438,[0.805],70.13461781985039,0.805
8,0.9110526315789473,-415.76671800332906,-415.7667180619668,-407.1353319540657,-419.1424037076432,-413.4320848116306,[0.746],60.579028339578656,0.01,0.746,"(0,)",-416.3263602661954,-407.1353319521478,-416.326360336588,[0.71],57.94662780582862,0.71
9,1.0602631578947368,-413.7134467887027,-413.71344690689176,-405.108513769008,-417.0928364891423,-411.3908004701211,[0.638],49.26231043956049,0.028,0.638,"(0,)",-414.2704596213675,-405.10851376659144,-414.2704597435783,[0.65],46.909945482120136,0.65
10,1.2094736842105263,-411.66017565073713,-411.66017577629555,-403.08169557306906,-415.043269255437,-409.349516129382,[0.564],39.39084120528278,0.04,0.564,"(0,)",-412.2145590448201,-403.08169556965055,-412.2145591713355,[0.565],37.18065747202107,0.565
11,1.3586842105263157,-409.6069046409602,-409.6069046901425,-401.0548773965924,-412.9937020257223,-407.30823179504307,[0.458],31.078606839707316,0.072,0.458,"(0,)",-410.15865858661545,-401.05487739376673,-410.1586586381971,[0.435],29.009137905629615,0.435
12,1.5078947368421054,-407.5536333015626,-407.55363346261987,-399.02805919395416,-410.94413475186957,-405.26694736934815,[0.38],24.164600955344724,0.09,0.38,"(0,)",-408.102757799579,-399.0280591911092,-408.1027579738609,[0.36],22.821174717078716,0.36
13,1.6571052631578949,-405.50036224139234,-405.5003623601899,-397.0012409698063,-408.89456748125434,-403.22566305879053,[0.282],18.715228046240618,0.122,0.282,"(0,)",-406.0468573067384,-397.00124096589394,-406.0468574312592,[0.265],17.938680175441142,0.265
14,1.8063157894736843,-403.4470910869048,-403.4470912169685,-394.97442281318513,-406.8450002454167,-401.18437875843296,[0.222],14.523276585643464,0.162,0.222,"(0,)",-403.99095671305577,-394.97442281020056,-403.9909568468462,[0.215],14.273144162028196,0.215
