,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.00015000000000000001,-416.46983446314607,-427.65889964595357,-427.65918036558276,-416.4649678042809,-430.3222783062613,-424.8672432165901,[1.],152.08870124079792,0.0,1.0,"(0,)",-416.46983446314607,-428.18813913892126,-416.46470323491553,-428.18797906761375,[1.],153.55121470558322,1.0
1,0.004743416490252569,-416.40482815336696,-427.6020345816129,-427.60203924264897,-416.4047878981144,-430.2277657864963,-424.80989879694016,[1.],151.58909828794333,0.0,1.0,"(0,)",-416.40482815336696,-428.1315818039162,-416.4047857428838,-428.1315789720052,[1.],153.11980850223136,1.0
2,0.15000000000000002,-414.5323909483571,-425.80378016257225,-425.8037804895737,-414.5323897273993,-427.24696158130087,-423.0266464640708,[1.],134.73207074774774,0.0,1.0,"(0,)",-414.5323909483571,-426.3430589406078,-414.53238965891995,-426.34305911702717,[0.995],135.88903109999205,0.995
3,0.165,-414.33903728554685,-425.6180824272783,-425.6180827438967,-414.3390362918347,-426.93914848140673,-422.84249875383034,[1.],133.01469492496147,0.0,1.0,"(0,)",-414.33903728554685,-426.15836617270696,-414.33903623702116,-426.1583664242044,[0.995],134.1320433916311,0.995
4,0.3142105263157895,-412.4156803997309,-423.7708789627742,-423.7708794497071,-412.41567875524436,-425.59244285732836,-421.066186696433,[0.992],116.13702666489996,0.0,0.992,"(0,)",-412.4156803997309,-424.3211591760239,-412.41567866530613,-424.32115958746857,[0.985],116.85370323234773,0.985
5,0.46342105263157896,-410.4923227960945,-421.92367553024354,-421.9236758154746,-410.4923210841718,-424.794620252805,-419.450826586408,[0.972],99.86602908800117,0.004,0.972,"(0,)",-410.4923227960945,-422.48395230706075,-410.49232099037215,-422.4839525086551,[0.94],100.41547801387328,0.94
6,0.6126315789473684,-408.56896371296784,-420.0764721268569,-420.0764723064577,-408.56896358616694,-423.86934296973874,-417.75335784027726,[0.928],84.42600335581895,0.01,0.928,"(0,)",-408.56896371296784,-420.64674536684964,-408.56896357924904,-420.64674552706725,[0.905],85.06457483338818,0.905
7,0.7618421052631579,-406.6456068366317,-418.22926827319225,-418.2292686191244,-406.64560577464476,-421.7654592655747,-415.51536100225695,[0.86],70.14162729561767,0.018,0.86,"(0,)",-406.6456068366317,-418.8095380458524,-406.6456057164825,-418.80953834148926,[0.85],70.84162231104628,0.85
8,0.9110526315789473,-404.7222494183536,-416.38206509246174,-416.38206530644817,-404.7222484311383,-419.66157661336564,-413.68357648824497,[0.77],57.382268392704944,0.034,0.77,"(0,)",-404.7222494183536,-416.97233135334596,-404.72224837669984,-416.972331534654,[0.77],57.95508560006492,0.77
9,1.0602631578947368,-402.798891634716,-414.53486151790014,-414.5348618025888,-402.79889093792707,-417.55769327213204,-411.8517919420913,[0.668],46.406464131652584,0.064,0.668,"(0,)",-402.798891634716,-415.1351242705212,-402.7988908995085,-415.1351245223676,[0.695],46.38375728784898,0.695
10,1.2094736842105263,-400.87553377231825,-412.6876580427629,-412.68765827780715,-400.87553343461985,-415.45381007861624,-409.83637453971295,[0.594],36.990708972638565,0.1,0.594,"(0,)",-400.87553377231825,-413.29791726096744,-400.87553341599926,-413.29791750509133,[0.605],36.31551778147267,0.605
