,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.00015000000000000001,-420.1778668401255,-428.9396214962056,-428.93933522350073,-420.1711909698985,-432.2401942348256,-426.51551883674324,[1.],160.06633749845597,0.0,1.0,"(0,)",-420.1778668401255,-429.5174320874752,-420.17136916841196,-429.5174844004269,[1.],152.9921750721367,1.0
1,0.004743416490252569,-420.1148894405689,-428.881069415693,-428.8810623539294,-420.11484056361877,-432.1812836668156,-426.4565909003711,[1.],159.79859948975854,0.0,1.0,"(0,)",-420.1148894405689,-429.45880729829497,-420.11484197024464,-429.458807996288,[1.],152.65428494590628,1.0
2,0.15000000000000002,-418.2897321499932,-427.02947682121095,-427.02947690577804,-418.28973111695575,-430.3264660007667,-424.6177861977041,[0.998],144.36568915991504,0.0,0.998,"(0,)",-418.2897321499932,-427.6049169567309,-418.2897311463719,-427.6049171258512,[0.995],136.90542275977688,0.995
3,0.165,-418.1012621792611,-426.83827073197637,-426.83827087077515,-418.1012583221102,-430.13492741439575,-424.4279018851711,[0.998],142.77813899453744,0.0,0.998,"(0,)",-418.1012621792611,-427.41347358032226,-418.101258429673,-427.41347402665,[0.995],135.2988554657471,0.995
4,0.3142105263157895,-416.2264601713076,-424.93627704284205,-424.9362772519387,-416.2264594573031,-428.22962518394553,-422.5390505934052,[0.984],127.10377634787103,0.0,0.984,"(0,)",-416.2264601713076,-425.50911959339356,-416.2264594767124,-425.5091198710886,[0.985],119.4367686830464,0.985
5,0.46342105263157896,-414.35166107683074,-423.03428310860653,-423.0342833192769,-414.3516590805411,-426.32432279572083,-420.650199431554,[0.962],111.82285676835778,0.002,0.962,"(0,)",-414.35166107683074,-423.6047653964807,-414.3516591339149,-423.60476559741664,[0.95],103.95800274660314,0.95
6,0.6126315789473684,-412.4768603817755,-421.1322890675418,-421.13228930528646,-412.47685977648734,-424.4190201246719,-418.76134834619563,[0.912],97.30301580518204,0.004,0.912,"(0,)",-412.4768603817755,-421.70041102200804,-412.4768597927461,-421.70041135178536,[0.905],89.07905642180748,0.905
7,0.7618421052631579,-410.6020605743025,-419.2302950159575,-419.23029532365734,-410.60205983911516,-422.51371791095187,-416.87249720199327,[0.844],83.70294010684127,0.01,0.844,"(0,)",-410.6020605743025,-419.7960566737913,-410.602059858797,-419.7960570561053,[0.82],75.56232763748781,0.82
8,0.9110526315789473,-408.7272604791784,-417.32830124048644,-417.3283014568342,-408.7272604350466,-420.6084154499247,-414.9836460145512,[0.764],71.2787086074672,0.016,0.764,"(0,)",-408.7272604791784,-417.8917025875035,-408.7272604362279,-417.8917028353686,[0.74],63.44103801747223,0.74
9,1.0602631578947368,-406.8524606734891,-415.42630758272276,-415.4263076281805,-406.8524606039108,-418.7031129851915,-413.0947952043682,[0.692],60.06745666207707,0.028,0.692,"(0,)",-406.8524606734891,-415.9873486645874,-406.8524606057884,-415.98734871781767,[0.675],52.400146182504166,0.675
