seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
30,0.0001,30,0.15,0.5,1.5,-421.40977456708595,1.0,-420.93424168898594,1.0,0.009780565,0.0,0.0,-427.68445201359975,-427.2873525240948,-427.2874674331833,-420.9502386638633,-420.9244229646872
30,0.0031622776601683794,30,0.15,0.5,1.5,-421.345923939695,1.0,-420.8262171597801,1.0,0.009780565,0.0,0.0,-427.61736222866284,-427.2211367179867,-427.22113431747175,-420.85356511409174,-420.82621168417324
30,0.1,30,0.15,0.5,1.5,-419.25689565602727,0.985,-417.74071931274034,0.992,0.009780565,0.0,0.0,-425.4957704545597,-425.12718209229433,-425.12718238986963,-417.82051741161393,-417.74071859775114
30,0.11,30,0.15,0.5,1.5,-419.0411699240272,0.97,-417.422094701388,0.992,0.009780565,0.0,0.0,-425.27668307529063,-424.91094860356844,-424.910948819265,-417.50730814071323,-417.4220935616181
30,0.2094736842105263,30,0.15,0.5,1.5,-416.89523947841695,0.95,-414.2526136337438,0.946,0.009780565,0.0,0.0,-423.0973415172775,-422.7599964764563,-422.7599965915594,-414.39169801640827,-414.25261233969894
30,0.30894736842105264,30,0.15,0.5,1.5,-414.7493088907538,0.84,-411.08313145102414,0.858,0.009780565,0.0,0.0,-420.9179991841504,-420.60904356257487,-420.6090437864741,-411.2760880378586,-411.0831313197162
30,0.4084210526315789,30,0.15,0.5,1.5,-412.60337820753995,0.715,-407.91365107013456,0.732,0.009780565,0.0,0.002,-418.7386572452582,-418.45809100646306,-418.4580911467177,-408.16047790705835,-407.9136500815329
30,0.5078947368421053,30,0.15,0.5,1.5,-410.45744752180144,0.605,-404.74416997206004,0.618,0.009780565,0.0,0.002,-416.55931495598367,-416.30713816321827,-416.3071384127686,-405.0448677933502,-404.7441688852988
30,0.6073684210526316,30,0.15,0.5,1.5,-408.31151686260284,0.495,-401.57468858728333,0.472,0.009780565,0.005,0.004,-414.3799729785913,-414.1561855273871,-414.1561857280677,-401.9292577742009,-401.5746878000514
30,0.7068421052631578,30,0.15,0.5,1.5,-406.1655861592858,0.375,-398.4052069556044,0.358,0.009780565,0.01,0.014,-412.20063076748323,-412.0052327882545,-412.00523301600384,-398.81364794240835,-398.40520692953623
30,0.8063157894736842,30,0.15,0.5,1.5,-404.0196554892483,0.31,-395.2357262291225,0.278,0.009780565,0.01,0.018,-410.02128865542994,-409.8542800335954,-409.8542803107924,-395.6980377692109,-395.2357256549159
30,0.9057894736842105,30,0.15,0.5,1.5,-401.87372470293224,0.22,-392.0662450479141,0.212,0.009780565,0.025,0.03,-407.8419465743609,-407.7033273527329,-407.703327618691,-392.5824277215082,-392.0662445380823
30,1.0052631578947369,30,0.15,0.5,1.5,-399.7277937637578,0.16,-388.89676384472483,0.156,0.009780565,0.04,0.048,-405.6626044170774,-405.5523745958126,-405.5523749113106,-389.46681760927856,-388.89676336105435
30,1.1047368421052632,30,0.15,0.5,1.5,-397.5818628352137,0.105,-385.7272826142596,0.116,0.009780565,0.055,0.062,-403.48326234327675,-403.40142196831664,-403.4014222414858,-386.3512077360616,-385.72728244671663
30,1.2042105263157896,30,0.15,0.5,1.5,-395.43593241227416,0.065,-382.5578015347079,0.082,0.009780565,0.055,0.074,-401.3039200853576,-401.2504690648875,-401.2504694488611,-383.23559760507334,-382.5578012143975
30,1.3036842105263158,30,0.15,0.5,1.5,-393.2900018871317,0.045,-379.38832036915164,0.054,0.009780565,0.075,0.094,-399.1245781120738,-399.09951653631623,-399.0995168366155,-380.1199877784277,-379.38832032631467
30,1.4031578947368422,30,0.15,0.5,1.5,-391.14407145139813,0.045,-376.2188392703262,0.034,0.009780565,0.115,0.13,-396.94523624658353,-396.9485640814511,-396.9485642173696,-377.0043776953059,-376.2188391487614
30,1.5026315789473685,30,0.15,0.5,1.5,-388.9981404321047,0.025,-373.04935812180224,0.024,0.009780565,0.145,0.15,-394.76589387257906,-394.79761114787243,-394.79761141289316,-373.88876749801983,-373.0493578820754
30,1.6021052631578947,30,0.15,0.5,1.5,-386.8522101021758,0.025,-369.87987711554246,0.014,0.009780565,0.155,0.182,-392.5865517210666,-392.6466583690571,-392.6466586781601,-370.7731575712056,-369.8798768650172
30,1.701578947368421,30,0.15,0.5,1.5,-384.70627881050353,0.02,-366.71039595881416,0.01,0.009780565,0.23,0.208,-390.407209542441,-390.49570563180765,-390.4957059554355,-367.65754760905713,-366.71039587202665
30,1.8010526315789475,30,0.15,0.5,1.5,-382.5603483619771,0.015,-363.54091484171823,0.006,0.009780565,0.27,0.25,-388.2270204639273,-388.34380785429886,-388.3438080514941,-364.54193754853594,-363.5409147203541
30,1.9005263157894736,30,0.15,0.5,1.5,-380.4144180513001,0.015,-360.3714337526046,0.004,0.009780565,0.3,0.274,-386.0382369755718,-386.18180679985187,-386.1818070066708,-361.42632755969635,-360.3714336386156
30,2.0,30,0.15,0.5,1.5,-378.2684873746565,0.015,-357.2019526294629,0.002,0.009780565,0.32,0.306,-383.8403598463253,-384.01038820170544,-384.0103883733523,-358.3107175457573,-357.2019525520758
30,2.05,30,0.15,0.5,1.5,-377.1779180299637,0.015,-355.60882721042645,0.0,0.009780565,0.335,0.324,-382.72916951051985,-382.91300229250373,-382.91300246332634,-356.7440424609478,-355.6088271490405
30,2.1857142857142855,30,0.15,0.5,1.5,-373.25633573126635,0.01,-351.2846295827052,0.0,0.009780565,0.375,0.374,-379.70160208325296,-379.92384843597404,-379.9238486034002,-352.44103507938894,-351.28462948265656
30,2.321428571428571,30,0.15,0.5,1.5,-369.25536939630354,0.0,-346.96043214371014,0.0,0.009780565,0.405,0.422,-376.6669149168377,-376.9269753122317,-376.9269754648345,-348.13384988828807,-346.96043213760635
30,2.457142857142857,30,0.15,0.5,1.5,-365.22473150098807,0.0,-342.63623448212707,0.0,0.009780565,0.435,0.47,-373.6273069107431,-373.9259940047042,-373.925994176074,-343.8251026983594,-342.63623442970203
30,2.5928571428571425,30,0.15,0.5,1.5,-361.1706686857142,0.0,-338.31203700880286,0.0,0.009780565,0.46,0.504,-370.58477086370635,-370.92304502676507,-370.92304522140614,-339.5151228785118,-338.31203700004255
30,2.7285714285714286,30,0.15,0.5,1.5,-357.1163115151636,0.0,-333.9878394161491,0.0,0.009780565,0.505,0.534,-367.5421982050577,-367.92007152563673,-367.9200716346327,-335.20512737580134,-333.98783936647754
30,2.8642857142857143,30,0.15,0.5,1.5,-353.06195391538074,0.0,-329.6631298637268,0.0,0.009780565,0.54,0.576,-364.49396356719734,-364.9105387424205,-364.9105389031664,-330.8946467282494,-329.6631296558076
30,3.0,30,0.15,0.5,1.5,-349.00759616022947,0.0,-325.313317406788,0.0,0.009780565,0.58,0.61,-361.4042104581074,-361.8523796725039,-361.85237989919676,-326.5603845872813,-325.313317273493
30,3.1,30,0.15,0.5,1.5,-346.0201748864117,0.0,-322.0989987524714,0.0,0.009780565,0.6,0.624,-359.08456998645283,-359.5525705963281,-359.5525707187695,-323.3580079371181,-322.0989986592561
30,3.7,30,0.15,0.5,1.5,-327.98797472984376,0.0,-302.74605162813543,0.0,0.009780565,0.735,0.734,-343.5751746533403,-344.04670745460896,-344.0467075498719,-304.0745738625582,-302.74605159097086
30,4.3,30,0.15,0.5,1.5,-309.25593532186656,0.0,-283.3873104918496,0.0,0.009780565,0.81,0.814,-325.3162468519815,-325.80712788502115,-325.8071279262955,-284.74881705377464,-283.38731048304885
30,4.9,30,0.15,0.5,1.5,-289.70123001531476,0.0,-263.6302342911641,0.0,0.009780565,0.865,0.868,-305.39291049512207,-305.9209805534001,-305.9209805862993,-265.0023919595744,-263.6302342897578
