,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.0001,-416.47107498970917,-427.65951842039135,-427.6607473231609,-416.46570860893803,-430.3238642214924,-424.8680110865828,[1.],151.59092519129456,0.0,1.0,"(0,)",-416.47107498970917,-428.1887544936406,-416.46541681674165,-428.18889750940843,[1.],152.83590659546576,1.0
1,0.0031622776601683794,-416.4253062968143,-427.6216086636178,-427.6216249848379,-416.4251852537274,-430.26022422297365,-424.82936482554476,[1.],151.7941850091854,0.0,1.0,"(0,)",-416.4253062968143,-428.15104989796106,-416.42517874903194,-428.15104068575937,[1.],153.3364545385207,1.0
2,0.1,-415.1769036667104,-426.4227724005495,-426.4227729952762,-415.1769012794857,-428.27300533150407,-423.64047238667456,[1.],140.48347970169695,0.0,1.0,"(0,)",-415.1769036667104,-426.95870136104276,-415.1769011471519,-426.958701315274,[1.],141.79690572516563,1.0
3,0.11,-415.0480003761064,-426.298974028828,-426.2989746758755,-415.04799887096283,-428.0677966592289,-423.51770727372684,[1.],139.329898147859,0.0,1.0,"(0,)",-415.0480003761064,-426.83557299552086,-415.04799878914747,-426.835573231672,[1.],140.6136419378603,1.0
4,0.2094736842105263,-413.76576305386345,-425.06750501500096,-425.0675056556106,-413.76576055222085,-426.15246636982994,-422.2965176296193,[1.],127.93610042208812,0.0,1.0,"(0,)",-413.76576305386345,-425.61076829224737,-413.76576041577465,-425.610768870832,[0.995],128.93373601280686,0.995
5,0.30894736842105264,-412.4835232564101,-423.83603611067485,-423.8360365527451,-412.4835220403712,-425.62058454897544,-421.12316587890103,[0.994],116.7235987068109,0.0,0.994,"(0,)",-412.4835232564101,-424.38596372320137,-412.483521973895,-424.38596408859763,[0.985],117.45060666212146,0.985
6,0.4084210526315789,-411.2012853985103,-422.60456695146974,-422.6045673962175,-411.2012835855308,-425.0887026266938,-420.0462593205381,[0.978],105.78484530958958,0.002,0.978,"(0,)",-411.2012853985103,-423.16115892772143,-411.20128348629163,-423.1611592069805,[0.96],106.33467433378793,0.96
7,0.5078947368421053,-409.91904547545306,-421.3730979202618,-421.3730982934179,-409.9190452515414,-424.55682084051796,-418.9693523619883,[0.954],95.1689405703321,0.006,0.954,"(0,)",-409.91904547545306,-421.93635419087065,-409.91904523928287,-421.93635441696637,[0.935],95.73693043467556,0.935
8,0.6073684210526316,-408.63680705257786,-420.1416292125437,-420.1416293951899,-408.6368068753972,-423.9435540076266,-417.8613624329381,[0.928],84.95390960820554,0.01,0.928,"(0,)",-408.63680705257786,-420.7115498457536,-408.636806865719,-420.71155000604614,[0.905],85.58569462146191,0.905
9,0.7068421052631578,-407.3545688410743,-418.91016008105106,-418.91016029471376,-407.35456843866535,-422.540964885686,-416.1905690153205,[0.892],75.26032830882872,0.016,0.892,"(0,)",-407.3545688410743,-419.4867450944481,-407.3545684167017,-419.4867452551751,[0.865],75.95471076857814,0.865
