seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
90,0.0001,90,0.3,0.5,1,-415.69945198050993,1.0,-414.5318728059518,1.0,0.013284096,0.0,0.0,-427.3636522617081,-426.86831074023536,-426.8685878675512,-414.5874176481327,-414.5249905697056
90,0.0031622776601683794,90,0.3,0.5,1,-415.6243704716646,1.0,-414.4252381878732,1.0,0.013284096,0.0,0.0,-427.2932903992552,-426.7985137322679,-426.7985256773655,-414.48816408776116,-414.4250210687215
90,0.1,90,0.3,0.5,1,-413.06513638586244,1.0,-411.3329633599212,0.99,0.013284096,0.0,0.0,-425.06824500636026,-424.59133193865387,-424.5913328470652,-411.42412399104336,-411.33295593321935
90,0.11,90,0.3,0.5,1,-412.8008433666308,1.0,-411.0136631149895,0.986,0.013284096,0.0,0.0,-424.8384746130652,-424.3634062613346,-424.36340682914226,-411.10772123678464,-411.013658457079
90,0.2094736842105263,90,0.3,0.5,1,-410.1718170464886,0.96,-407.83749755399845,0.948,0.013284096,0.0,0.0,-422.55286312908515,-422.09614467376707,-422.0961450058174,-407.9603550950526,-407.8374959462972
90,0.30894736842105264,90,0.3,0.5,1,-407.5427912679985,0.885,-404.66133431685154,0.886,0.013284096,0.0,0.0,-420.2672511447009,-419.8288825735621,-419.8288830322811,-404.81298967444167,-404.6613340005568
90,0.4084210526315789,90,0.3,0.5,1,-404.9137648983667,0.795,-401.48517271296953,0.798,0.013284096,0.0,0.0,-417.9816394750661,-417.56162080717286,-417.56162124047046,-401.66562464340916,-401.4851723752019
90,0.5078947368421053,90,0.3,0.5,1,-402.2847427457509,0.645,-398.3090109095832,0.684,0.013284096,0.0,0.0,-415.6960278261307,-415.29435900759745,-415.294359354973,-398.5182597986002,-398.3090107289647
90,0.6073684210526316,90,0.3,0.5,1,-399.6557173184982,0.54,-395.13284918936296,0.574,0.013284096,0.0,0.0,-413.41041621157797,-413.02709730094307,-413.0270975141477,-395.37089480255764,-395.1328490986889
90,0.7068421052631578,90,0.3,0.5,1,-397.0266919030379,0.43,-391.956687735022,0.442,0.013284096,0.0,0.0,-411.1248043542645,-410.7598352884792,-410.759835624116,-392.2235298471164,-391.9566874873402
90,0.8063157894736842,90,0.3,0.5,1,-394.3976663846798,0.35,-388.7805258780731,0.36,0.013284096,0.0,0.002,-408.83919255133566,-408.49257338497074,-408.49257371833386,-389.0761648383109,-388.7805258619982
90,0.9057894736842105,90,0.3,0.5,1,-391.7686410056792,0.275,-385.60436427715206,0.3,0.013284096,0.0,0.008,-406.5535811376186,-406.2253118626687,-406.22531198253904,-385.9287998682728,-385.60436424665465
90,1.0052631578947369,90,0.3,0.5,1,-389.1396153151336,0.235,-382.4282028327538,0.232,0.013284096,0.0,0.012,-404.26796936858926,-403.958049966862,-403.95805013506333,-382.78143489164205,-382.4282026264548
90,1.1047368421052632,90,0.3,0.5,1,-386.5105895586945,0.185,-379.25204122517107,0.186,0.013284096,0.0,0.014,-401.9823574803528,-401.6907879628668,-401.69078824948525,-379.63406989649485,-379.2520410056919
