,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.0001,-420.1329065356624,-426.3829997563307,-426.3834847180455,-420.13141214010193,-429.42157371513605,-422.2659560374407,[1.],150.87467150986456,0.0,1.0,"(0,)",-420.1329065356624,-426.83492719285744,-420.131492435066,-426.8350770586748,[1.],148.38660213627998,1.0
1,0.0031622776601683794,-420.0884468190175,-426.34383106240733,-426.3438481520054,-420.0881424156664,-429.38986702985414,-422.1988020337128,[1.],150.9190296237123,0.0,1.0,"(0,)",-420.0884468190175,-426.7948344050336,-420.0881599298478,-426.7948418990546,[1.],148.6549224001679,1.0
2,0.1,-418.7171816624462,-425.1052024232382,-425.1052029468828,-418.717180994279,-428.4171503866991,-421.2424501043133,[1.],139.5645742295781,0.0,1.0,"(0,)",-418.7171816624462,-425.52698407221527,-418.71718103212316,-425.5269844174772,[1.],137.65797714274515,1.0
3,0.105,-418.6463960326131,-425.04124851297223,-425.0412488556124,-418.6463929902072,-428.3669284564318,-421.2025628528522,[1.],138.98225781843797,0.0,1.0,"(0,)",-418.6463960326131,-425.46152143529235,-418.6463931589846,-425.4615219621576,[1.],137.09680928174762,1.0
4,0.20473684210526316,-417.234368625854,-423.76553770157733,-423.7655381826877,-417.2343652540181,-427.3651295776141,-420.2903056863056,[0.998],127.53690507002455,0.0,0.998,"(0,)",-417.234368625854,-424.1557140979413,-417.2343654478298,-424.1557146336973,[1.],126.00246968395791,1.0
5,0.30447368421052634,-415.5835267905718,-422.48982670584195,-422.48982702616286,-415.58352443863095,-426.36332948906966,-419.15239736453725,[0.992],116.40828898443013,0.0,0.992,"(0,)",-415.5835267905718,-422.8499067063782,-415.5960935750347,-422.84990704508664,[1.],115.04903143738706,1.0
6,0.40421052631578946,-413.3938033943154,-421.21411596090996,-421.2141162488039,-413.39380260685726,-425.36153027057253,-418.0144888231451,[0.974],105.66634416660413,0.002,0.974,"(0,)",-413.3938033943154,-421.54409941741693,-413.4473030256707,-421.5440997199088,[0.99],104.36426372897003,0.99
7,0.5039473684210527,-411.2040817055638,-419.93840500671837,-419.93840535729066,-411.2040806609841,-424.3597310636873,-416.8765804878757,[0.952],95.28943917245196,0.006,0.952,"(0,)",-411.2040817055638,-420.238291985035,-411.2985123604531,-420.23829235740754,[0.96],94.02610069326224,0.96
8,0.6036842105263158,-409.01435890680125,-418.6626943441278,-418.6626945429058,-409.01435881651963,-423.35793188437157,-415.73867205204806,[0.908],85.35879154768543,0.008,0.908,"(0,)",-409.01435890680125,-418.93248486500977,-409.1497217620839,-418.9324850652206,[0.935],84.19958310183338,0.935
9,0.703421052631579,-406.8246371829143,-417.3869834709476,-417.3869836961461,-406.8246368334043,-422.17632164104407,-414.6007632895527,[0.862],76.01693802332285,0.016,0.862,"(0,)",-406.8246371829143,-417.6266774844925,-407.000931099845,-417.62667773671876,[0.895],74.76008460994986,0.895
10,0.8031578947368422,-404.6349150170796,-416.11127255818553,-416.11127282817836,-404.6349149148875,-420.99138020645324,-413.46285521589493,[0.802],67.43776906405434,0.028,0.802,"(0,)",-404.6349150170796,-416.32087013562113,-404.8521404695867,-416.32087033312064,[0.845],65.92388277924563,0.845
11,0.9028947368421053,-402.4451930017462,-414.8355617516107,-414.83556195351946,-402.4451929643272,-419.8064387377031,-412.32494678545146,[0.732],59.61967407256441,0.036,0.732,"(0,)",-402.4451930017462,-415.01506285975466,-402.7033498380514,-415.01506300019156,[0.79],57.82384658062181,0.79
12,1.0026315789473685,-400.2554710377142,-413.5598509275717,-413.55985109069627,-400.2554710077559,-418.09409960423693,-411.187038269082,[0.678],52.472566845062936,0.052,0.678,"(0,)",-400.2554710377142,-413.7092555168401,-400.5545591824319,-413.70925568517595,[0.73],50.33999498464059,0.73
