,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.0001,-418.9518357617044,-427.7121931185704,-427.7122115351484,-418.9504705963746,-431.06477141942867,-425.3303888556817,[1.],151.4102127585793,0.0,1.0,"(0,)",-418.9518357617044,-428.2874459902925,-418.9505000553185,-428.2874747357533,[1.],153.3921266004413,1.0
1,0.0031622776601683794,-418.90961911173963,-427.6706688245269,-427.6706704791103,-418.9095392746584,-431.0232806737026,-425.28958000967145,[1.],151.07257839701217,0.0,1.0,"(0,)",-418.90961911173963,-428.24586878069,-418.9095408460397,-428.24586355774574,[1.],153.0431925539096,1.0
2,0.1,-417.6119285734281,-426.35756474709825,-426.35756483481873,-417.61192797357467,-429.71466561138095,-423.98417265752414,[1.],140.42158330397888,0.0,1.0,"(0,)",-417.6119285734281,-426.93109102404645,-417.61192798750847,-426.9310912748822,[0.995],142.38298474978794,0.995
3,0.105,-417.54492902591403,-426.28976556402273,-426.28976564129914,-417.5449283589442,-429.6470998349075,-423.91676940316506,[1.],139.87389324065435,0.0,1.0,"(0,)",-417.54492902591403,-426.8632054223174,-417.5449283744298,-426.86320564528535,[0.995],141.8361249221089,0.995
4,0.20473684210526316,-416.2084647781584,-424.93734942895463,-424.9373497477529,-416.20846213791583,-428.2993406211448,-422.57224717223926,[1.],129.00097164177566,0.0,1.0,"(0,)",-416.2084647781584,-425.50906553439046,-416.208462192476,-425.50906579455994,[0.995],130.9337000710498,0.995
5,0.30447368421052634,-414.8719983439214,-423.5849335735403,-423.5849339237308,-414.87199667911193,-426.95158142039236,-421.2277249657106,[0.988],118.23747603504492,0.0,0.988,"(0,)",-414.8719983439214,-424.1549258901206,-414.8719967165594,-424.1549261424597,[0.98],120.19253550659694,0.98
6,0.40421052631578946,-413.53553183856445,-422.23251748920944,-422.2325179228708,-413.53553112401374,-425.60382198009586,-419.8832014714667,[0.968],107.65924655253993,0.0,0.968,"(0,)",-413.53553183856445,-422.80078599797594,-413.5355311400662,-422.8007863852466,[0.955],109.71419655465643,0.955
7,0.5039473684210527,-412.1990657953387,-420.8801016697938,-420.8801020162748,-412.1990655341549,-424.2560627412473,-418.53867824682925,[0.946],97.41692737341997,0.0,0.946,"(0,)",-412.1990657953387,-421.446646413599,-412.1990655400782,-421.4466467159507,[0.925],99.58051037180361,0.925
8,0.6036842105263158,-410.8625999319429,-419.527685896005,-419.5276861554848,-410.86259989215023,-422.90830354538025,-417.19415492638825,[0.9],87.56003914911166,0.0,0.9,"(0,)",-410.8625999319429,-420.09250682871277,-410.8625998930686,-420.092507093181,[0.89],89.87118037740161,0.89
9,0.703421052631579,-409.52613481423725,-418.17526994708345,-418.1752702100179,-409.52613377112647,-421.5605443007025,-415.84963120714036,[0.86],78.1969931032115,0.004,0.86,"(0,)",-409.52613481423725,-418.73836714564146,-409.5261337951029,-418.738367392867,[0.85],80.6218527845556,0.85
10,0.8031578947368422,-408.1896687918079,-416.8228538004614,-416.82285422418215,-408.18966810881653,-420.21278487480026,-414.5051077258317,[0.794],69.39836254189181,0.008,0.794,"(0,)",-408.1896687918079,-417.38422720090637,-408.1896681242267,-417.3842276121426,[0.81],71.78615518570406,0.81
11,0.9028947368421053,-406.8532027751868,-415.470438001359,-415.4704383218922,-406.8532027458169,-418.8650255667544,-413.16058433782433,[0.73],61.30211528334902,0.016,0.73,"(0,)",-406.8532027751868,-416.0300876613983,-406.85320274646756,-416.0300879338663,[0.74],63.55821469680943,0.74
12,1.0026315789473685,-405.5167370660814,-414.11802244065024,-414.1180225469909,-405.5167370166652,-417.51726655489864,-411.8160615276008,[0.672],53.89835280122575,0.024,0.672,"(0,)",-405.5167370660814,-414.6759482530966,-405.5167370177537,-414.67594839454557,[0.685],56.134216240915606,0.685
13,1.1023684210526317,-404.18027134751253,-412.7656065825628,-412.76560663815314,-404.1802712980532,-416.1695072960447,-410.4715381713439,[0.618],47.09946973543397,0.036,0.618,"(0,)",-404.18027134751253,-413.32180865719323,-404.180271299137,-413.3218087107635,[0.615],49.3526294501331,0.615
14,1.2021052631578948,-402.84380562814556,-411.41319065416644,-411.41319071692715,-402.8438055798305,-414.8217480450543,-409.12701481273484,[0.552],40.982152293433714,0.044,0.552,"(0,)",-402.84380562814556,-411.96766894811736,-402.8438055808842,-411.9676690109682,[0.565],43.26056994536712,0.565
15,1.301842105263158,-401.5073399089883,-410.0607747190433,-410.06077479316633,-401.5073398569259,-413.4739887842799,-407.78249145533425,[0.494],35.544914586777125,0.06,0.494,"(0,)",-401.5073399089883,-410.6135292329204,-401.5073398580533,-410.61352930784597,[0.52],37.6206133876268,0.52
16,1.401578947368421,-400.1708741881148,-408.7083588004539,-408.70835887370185,-400.1708741387868,-412.12622954610435,-406.43796810595427,[0.436],30.72975796035719,0.078,0.436,"(0,)",-400.1708741881148,-409.25938953498417,-400.1708741398408,-409.25938960981557,[0.43],32.69240912304112,0.43
17,1.5013157894736844,-398.8344084533368,-407.355942769316,-407.3559429033083,-398.83440839559375,-410.7784703061798,-405.09344464059507,[0.37],26.533886552362137,0.1,0.37,"(0,)",-398.8344084533368,-407.90524968328174,-398.8344083968045,-407.9052498490718,[0.4],28.36655487988496,0.4
