seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
20,0.0001,20,0.12,1,1,-417.1653896335132,1.0,-417.1656843138564,1.0,0.009076817,0.0,0.0,-426.2200818408221,-425.69783331603196,-425.69833286207466,-417.16315347889497,-417.16328073015296
20,0.0031622776601683794,20,0.12,1,1,-417.104602153935,1.0,-417.1046276186644,1.0,0.009076817,0.0,0.0,-426.13794781000354,-425.6154483865119,-425.61546652118335,-417.1044291306887,-417.1044390004021
20,0.1,20,0.12,1,1,-415.25526932153923,0.99,-415.2552695168183,0.994,0.009076817,0.0,0.0,-423.5406366370282,-423.0102044881794,-423.01020552000324,-415.2552680101452,-415.25526808571203
20,0.105,20,0.12,1,1,-415.15979320623546,0.99,-415.1597934255749,0.994,0.009076817,0.0,0.0,-423.40653032312576,-422.8756885864033,-422.8756895243763,-415.1597917313358,-415.15979181621424
20,0.20473684210526316,20,0.12,1,1,-413.255291827799,0.94,-413.2552918992008,0.952,0.009076817,0.0,0.0,-420.73146129339307,-420.19244934176373,-420.19244986528537,-413.2552913443675,-413.25529137219655
20,0.30447368421052634,20,0.12,1,1,-411.3507923828953,0.835,-411.35079257738903,0.89,0.009076817,0.0,0.0,-418.05639218871323,-417.5092100066459,-417.5092105222003,-411.3507910645448,-411.35079114039524
20,0.40421052631578946,20,0.12,1,1,-409.446292422031,0.765,-409.44629269815414,0.77,0.009076817,0.0,0.0,-415.38132302466283,-414.8259706317153,-414.82597118528497,-409.44629055796435,-409.44629066522
20,0.5039473684210527,20,0.12,1,1,-407.5417903698922,0.635,-407.54179038397785,0.644,0.009076817,0.0,0.0,-412.70625390117755,-412.1427312734487,-412.1427318726817,-407.5417902743058,-407.54179027980393
20,0.6036842105263158,20,0.12,1,1,-405.63728998190896,0.525,-405.63728999093644,0.546,0.009076817,0.0,0.0,-410.031184968411,-409.4594921490274,-409.45949252598035,-405.63728992018673,-405.6372899237334
20,0.703421052631579,20,0.12,1,1,-403.64657377074724,0.445,-403.7327892729221,0.428,0.009076817,0.0,0.0,-407.3561158742121,-406.7762528155479,-406.776253212008,-403.6465736744905,-403.66944715970357
20,0.8031578947368422,20,0.12,1,1,-400.8082591947521,0.345,-401.58558264259875,0.336,0.009076817,0.0,0.0,-404.68104678068414,-404.09301351329185,-404.09301388833666,-400.8082591115602,-401.01448780049105
20,0.9028947368421053,20,0.12,1,1,-397.9699446400258,0.235,-398.75804199594876,0.268,0.009076817,0.0,0.002,-402.00597797319176,-401.4097744743533,-401.409774615176,-397.96994454649956,-398.179031620319
20,1.0026315789473685,20,0.12,1,1,-395.13163005739176,0.165,-395.8716853778241,0.208,0.009076817,0.0,0.004,-399.33090861990934,-398.7265348663962,-398.72653528663585,-395.1316299915999,-395.3279712032735
20,1.1023684210526317,20,0.12,1,1,-392.29331570596287,0.125,-392.7306420657922,0.16,0.009076817,0.01,0.006,-396.6558394156174,-396.0432954321383,-396.0432959362852,-392.2933154149831,-392.4093408332379
20,1.2021052631578948,20,0.12,1,1,-389.4550010955909,0.095,-389.58959886388266,0.12,0.009076817,0.015,0.008,-393.9807705154069,-393.3600563301737,-393.3600566568408,-389.4550008434864,-389.4907105107021
20,1.301842105263158,20,0.12,1,1,-386.6166862350673,0.07,-386.4485558462207,0.078,0.009076817,0.02,0.014,-391.305701604809,-390.6768172233575,-390.67681737886346,-386.4574046480752,-386.44855570723934
20,1.401578947368421,20,0.12,1,1,-383.77837173774424,0.055,-383.3075126727275,0.044,0.009076817,0.025,0.022,-388.63063240828956,-387.9935777871284,-387.9935780543473,-383.33229445228835,-383.30751244113486
20,1.5013157894736844,20,0.12,1,1,-380.94005715507086,0.03,-380.1664693857365,0.03,0.009076817,0.04,0.04,-385.9555632978812,-385.3103384601511,-385.3103387381538,-380.20718430013386,-380.16646919200014
20,1.6010526315789475,20,0.12,1,1,-377.97985491437584,0.03,-377.0254261486582,0.02,0.009076817,0.045,0.044,-383.28049409511107,-382.6270990544838,-382.62709941653475,-377.0756589870474,-377.02542593551146
20,1.7007894736842106,20,0.12,1,1,-374.8606384091844,0.025,-373.88438285752045,0.008,0.009076817,0.045,0.05,-380.60542502628346,-379.9438597374759,-379.9438601089874,-373.93576451317426,-373.8843826770921
20,1.8005263157894738,20,0.12,1,1,-371.7414227022325,0.025,-370.7433396249429,0.006,0.009076817,0.05,0.058,-377.93035610612236,-377.26062061112174,-377.2606208274197,-370.7958700717997,-370.7433394228319
20,1.9002631578947369,20,0.12,1,1,-368.62220636960217,0.01,-367.60229636095715,0.004,0.009076817,0.065,0.072,-375.2552868430986,-374.5773811012332,-374.5773814863819,-367.65597562308307,-367.6022961834496
20,2.0,20,0.12,1,1,-365.5029899261748,0.005,-364.4612530838252,0.002,0.009076817,0.065,0.076,-372.58021777059207,-371.8941418155831,-371.8941421857893,-364.5160811679254,-364.46125294081844
20,2.05,20,0.12,1,1,-363.93926677765023,0.0,-362.88658760024856,0.002,0.009076817,0.065,0.082,-371.2391540952104,-370.5489822577756,-370.5489826185921,-362.94199160120206,-362.88658746097985
20,2.1555555555555554,20,0.12,1,1,-360.6380737533014,0.0,-359.5622937828178,0.0,0.009076817,0.08,0.1,-368.4080198019924,-367.70920114178176,-367.7092013973642,-359.61891363790755,-359.5622936627939
20,2.261111111111111,20,0.12,1,1,-357.33688041753874,0.0,-356.23800003333656,0.0,0.009076817,0.09,0.11,-365.5768853465764,-364.86941980165,-364.869420121554,-356.2958355247899,-356.23799976696705
20,2.3666666666666667,20,0.12,1,1,-354.03568704462964,0.0,-352.91370610593594,0.0,0.009076817,0.105,0.124,-362.74575115093097,-362.02963870573234,-362.0296388834714,-352.97275771894016,-352.9137060930843
20,2.4722222222222223,20,0.12,1,1,-350.7344937764601,0.0,-349.58941246445363,0.0,0.009076817,0.115,0.132,-359.9146166551651,-359.1898573328412,-359.18985760182034,-349.64967963745204,-349.5894122429537
20,2.5777777777777775,20,0.12,1,1,-347.4333003500498,0.0,-346.26511852863405,0.0,0.009076817,0.12,0.146,-357.0834821909612,-356.35007600156405,-356.3500763193362,-346.3266017527546,-346.26511850380274
