seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
0,0.0001,0,0.12,2,1.5,-421.1485646370587,1.0,-421.1486952687453,1.0,0.012740095,0.0,0.0,-427.6589973027652,-427.0125462772078,-427.0159484460546,-421.14536886302903,-421.14492087152854
0,0.0031622776601683794,0,0.12,2,1.5,-421.099633389518,1.0,-421.0996338766387,1.0,0.012740095,0.0,0.0,-427.59944821407606,-426.9534021494869,-426.9533949147568,-421.09961573851496,-421.0996131672938
0,0.1,0,0.12,2,1.5,-419.62431777607344,1.0,-419.62431778410564,1.0,0.012740095,0.0,0.0,-425.7163231281884,-425.0830842517443,-425.0830847019609,-419.624317584311,-419.62431755646935
0,0.105,0,0.12,2,1.5,-419.5481438361033,1.0,-419.5481438480141,0.998,0.012740095,0.0,0.0,-425.6190923016766,-424.9865147050172,-424.9865148057519,-419.54814355209265,-419.5481435108643
0,0.20473684210526316,0,0.12,2,1.5,-418.028673476843,0.975,-418.02867350997496,0.966,0.012740095,0.0,0.0,-423.6795904019203,-423.06020336916436,-423.0602035074702,-418.02867266019246,-418.0286725414381
0,0.30447368421052634,0,0.12,2,1.5,-416.5092013615389,0.89,-416.5092010733498,0.916,0.012740095,0.0,0.0,-421.74008886055583,-421.13389233398624,-421.13389249912325,-416.39793200151576,-416.3965440909167
0,0.40421052631578946,0,0.12,2,1.5,-414.98973039508905,0.81,-414.9897300350226,0.824,0.012740095,0.0,0.0,-419.80058679736044,-419.2075808672463,-419.207581105264,-414.7211216538549,-414.717771464158
0,0.5039473684210527,0,0.12,2,1.5,-413.4702612399328,0.75,-413.4702612182017,0.704,0.012740095,0.005,0.0,-417.8610853181927,-417.28126991969395,-417.2812700429406,-413.0443113449147,-413.038998932784
0,0.6036842105263158,0,0.12,2,1.5,-411.95079064921913,0.635,-411.95079062782037,0.6,0.012740095,0.005,0.004,-415.92158358732513,-415.35495874345355,-415.35495886428595,-411.367500989403,-411.3602263052187
0,0.703421052631579,0,0.12,2,1.5,-410.4313198876615,0.5,-410.43131983298554,0.504,0.012740095,0.015,0.012,-413.982081658052,-413.42864736187516,-413.42864757755075,-409.6906905027555,-409.68145346286576
0,0.8031578947368422,0,0.12,2,1.5,-408.91184926072395,0.4,-408.91184920156894,0.43,0.012740095,0.02,0.018,-412.04257986810876,-411.50233615902,-411.50233634990246,-408.01388026568856,-408.00268106528404
0,0.9028947368421053,0,0.12,2,1.5,-406.9351235731543,0.305,-406.93512337629716,0.32,0.012740095,0.025,0.028,-410.1030780269464,-409.57602489578653,-409.57602510264667,-406.3130039040345,-406.3052450147874
0,1.0026315789473685,0,0.12,2,1.5,-404.59289029774595,0.255,-404.5228944727108,0.238,0.012740095,0.025,0.044,-408.1635763743826,-407.6497138003664,-407.6497139460162,-404.52657832498323,-404.52289432487305
0,1.1023684210526317,0,0.12,2,1.5,-402.64287798387227,0.17,-402.1106644305996,0.178,0.012740095,0.035,0.068,-406.2240745663925,-405.72340253891184,-405.72340269324104,-402.13867541066486,-402.1106641537463
0,1.2021052631578948,0,0.12,2,1.5,-400.3281467518771,0.115,-399.6984347357679,0.148,0.012740095,0.07,0.086,-404.28457275537875,-403.7970913265167,-403.797091517905,-399.7315774380676,-399.69843469803067
0,1.301842105263158,0,0.12,2,1.5,-398.0134153200214,0.1,-397.2862048160012,0.106,0.012740095,0.075,0.1,-402.3450710855397,-401.87078017073867,-401.8707803256798,-397.3244789848961,-397.28620474330415
0,1.401578947368421,0,0.12,2,1.5,-395.6986838146398,0.075,-394.87397489145536,0.074,0.012740095,0.11,0.126,-400.4055691925439,-399.9444688816359,-399.9444690712491,-394.9173805421904,-394.87397480391496
0,1.5013157894736844,0,0.12,2,1.5,-393.3839517556397,0.05,-392.4617449885584,0.06,0.012740095,0.13,0.156,-398.46606742586187,-398.0181576866084,-398.0181578476266,-392.5102821349781,-392.46174493322525
0,1.6010526315789475,0,0.12,2,1.5,-391.0692199899894,0.045,-390.0495148953886,0.052,0.012740095,0.155,0.178,-396.5265656095795,-396.0918463963168,-396.09184659223,-390.1031833826639,-390.04951467976457
0,1.7007894736842106,0,0.12,2,1.5,-388.75448865367593,0.025,-387.63728497564495,0.04,0.012740095,0.18,0.196,-394.5870639764896,-394.1655353269101,-394.16553545176873,-387.69608494640244,-387.637284737703
0,1.8005263157894738,0,0.12,2,1.5,-386.4397569226032,0.02,-385.2250550404175,0.036,0.012740095,0.195,0.218,-392.6475620590397,-392.23922397013496,-392.2392241711784,-385.2889865635288,-385.2250548744942
0,1.9002631578947369,0,0.12,2,1.5,-384.1250248148241,0.01,-382.81282537297477,0.032,0.012740095,0.21,0.244,-390.7080602803854,-390.3129128080128,-390.3129129717859,-382.8818884752117,-382.81282534481335
0,2.0,0,0.12,2,1.5,-381.81029356341486,0.005,-380.40059536443755,0.028,0.012740095,0.215,0.258,-388.76855840354506,-388.38660144252367,-388.3866016737126,-380.4747899422211,-380.40059529570834
0,2.05,0,0.12,2,1.5,-380.6498736279805,0.005,-379.1912981702266,0.022,0.012740095,0.225,0.272,-387.79624887396835,-387.4209046255493,-387.4209048170339,-379.26806527522854,-379.1912981442218
0,2.1555555555555554,0,0.12,2,1.5,-378.20009937049224,0.0,-376.6383369885785,0.014,0.012740095,0.255,0.306,-385.7435952321299,-385.382211056716,-385.3822112770261,-376.7205349252373,-376.63833689935774
0,2.261111111111111,0,0.12,2,1.5,-375.7503248536062,0.0,-374.0853760826825,0.006,0.012740095,0.265,0.322,-383.6909416860009,-383.3435176320972,-383.3435178435311,-374.1730049094147,-374.085376022826
0,2.3666666666666667,0,0.12,2,1.5,-373.3005502248508,0.0,-371.5324151439554,0.006,0.012740095,0.305,0.352,-381.6343642254162,-381.3019265478114,-381.30192672682637,-371.6254748555772,-371.5324151123896
0,2.4722222222222223,0,0.12,2,1.5,-370.85077535694137,0.0,-368.97945420396263,0.004,0.012740095,0.315,0.386,-379.57109867588645,-379.2536382755456,-379.2536384768966,-369.0779447833364,-368.9794541957802
0,2.5777777777777775,0,0.12,2,1.5,-368.4010009976939,0.0,-366.4264931915452,0.002,0.012740095,0.345,0.41,-377.49925030533814,-377.1947654034823,-377.19476551360833,-366.5304146422131,-366.42649317781974
0,2.683333333333333,0,0.12,2,1.5,-365.9512265321557,0.0,-363.8735321637685,0.002,0.012740095,0.365,0.426,-375.42659994013593,-375.13487676566376,-375.13487690872796,-363.9828844737704,-363.8735321368503
0,2.7888888888888888,0,0.12,2,1.5,-363.50145185471445,0.0,-361.3205711809968,0.0,0.012740095,0.38,0.44,-373.35051186639697,-373.071397651261,-373.07139772017445,-361.4353543573732,-361.3205711628345
0,2.8944444444444444,0,0.12,2,1.5,-361.05167656398174,0.0,-358.76761023832194,0.0,0.012740095,0.39,0.46,-371.27268726602216,-371.00604327724085,-371.0060434606944,-358.88782425320704,-358.7676102359119
0,3.0,0,0.12,2,1.5,-358.60190252644185,0.0,-356.214648992453,0.0,0.012740095,0.415,0.482,-369.188016007466,-368.933283900316,-368.93328405179966,-356.34029381693455,-356.21464888739166
0,3.1,0,0.12,2,1.5,-356.2810635103887,0.0,-353.7960544820321,0.0,0.012740095,0.43,0.496,-367.2125383774969,-366.96905596519804,-366.9690560743133,-353.9268443803525,-353.7960544280603
0,3.7,0,0.12,2,1.5,-342.16937675901266,0.0,-339.1737181517585,0.0,0.012740095,0.51,0.546,-355.13982500494257,-355.00173227765526,-355.0017323704554,-339.33138432841673,-339.17371808155843
0,4.3,0,0.12,2,1.5,-328.03113187951794,0.0,-324.4677090264031,0.0,0.012740095,0.58,0.58,-341.912868915199,-341.8936121214333,-341.89361221547153,-324.65525755083473,-324.46770897642847
0,4.9,0,0.12,2,1.5,-313.38060158755343,0.0,-309.598798544064,0.0,0.012740095,0.61,0.622,-327.07033447090174,-327.07678584355523,-327.07678590698424,-309.7978407712189,-309.59879850313763
0,5.5,0,0.12,2,1.5,-294.55154432697145,0.0,-293.8608088394451,0.0,0.012740095,0.635,0.64,-310.9492100878016,-310.91881840557136,-310.9188184493865,-293.89716333108345,-293.86080883123003
