seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
50,0.0001,50,0.01,0.5,1.5,-411.2768983098829,1.0,-411.2758933973672,1.0,0.008433159,0.0,0.0,-424.1133573086208,-423.9134569895282,-423.9138223928034,-411.2745650020168,-411.27453611522367
50,0.0031622776601683794,50,0.01,0.5,1.5,-411.1444430442851,1.0,-411.1444384614903,1.0,0.008433159,0.0,0.0,-423.9648087440015,-423.7650334219551,-423.7650513996126,-411.1444322258869,-411.1444321040192
50,0.1,50,0.01,0.5,1.5,-407.04807721404245,0.995,-407.0480765417706,0.99,0.008433159,0.0,0.0,-419.2672948518538,-419.07147112749794,-419.0714721611342,-407.0480756606983,-407.0480756408201
50,0.105,50,0.01,0.5,1.5,-406.8365696793521,0.995,-406.8365695132561,0.988,0.008433159,0.0,0.0,-419.0247495384769,-418.8291297950484,-418.82913023506046,-406.83656929658315,-406.8365692916348
50,0.20473684210526316,50,0.01,0.5,1.5,-402.61758202567523,0.93,-402.6175808525063,0.934,0.008433159,0.0,0.0,-414.18660157183297,-413.99505160718206,-413.9950525769741,-402.6175793232358,-402.6175792882435
50,0.30447368421052634,50,0.01,0.5,1.5,-398.3985906143032,0.795,-398.39858977400735,0.812,0.008433159,0.0,0.0,-409.3484539887254,-409.1609738701921,-409.1609746341511,-398.39858868082166,-398.39858865555584
50,0.40421052631578946,50,0.01,0.5,1.5,-394.1795984788308,0.66,-394.1795982162198,0.67,0.008433159,0.0,0.0,-404.5103065230072,-404.32689626166456,-404.32689675284826,-394.17959787709805,-394.17959786921847
50,0.5039473684210527,50,0.01,0.5,1.5,-389.9606082399999,0.48,-389.96060787330543,0.516,0.008433159,0.0,0.0,-399.672159050543,-399.49281865398217,-399.4928190021747,-389.9606073984599,-389.9606073875463
50,0.6036842105263158,50,0.01,0.5,1.5,-385.7416175285025,0.355,-385.7416172567965,0.366,0.008433159,0.0,0.0,-394.834011405156,-394.65874083908113,-394.65874121535194,-385.7416169045404,-385.741616896464
50,0.703421052631579,50,0.01,0.5,1.5,-381.5226269724958,0.25,-381.52262672778534,0.256,0.008433159,0.0,0.004,-389.9958638492717,-389.8246630934019,-389.8246634513141,-381.52262641012067,-381.52262640286216
50,0.8031578947368422,50,0.01,0.5,1.5,-377.3036360659073,0.195,-377.30363605683664,0.18,0.008433159,0.005,0.006,-385.15771635893395,-384.9905854588633,-384.9905857249021,-377.30363604506334,-377.3036360447947
