seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
50,0.0001,50,0.12,0.5,1,-412.31727192917765,1.0,-412.31334414170124,1.0,0.008100042,0.0,0.0,-424.2709922601291,-424.0522161152347,-424.0526467956143,-412.3080534415026,-412.3079481692514
50,0.0031622776601683794,50,0.12,0.5,1,-412.22662053732455,1.0,-412.2265834485341,1.0,0.008100042,0.0,0.0,-424.1673310181751,-423.94880039283197,-423.94881121577055,-412.226533519834,-412.22653252990887
50,0.1,50,0.12,0.5,1,-409.7117650989461,0.99,-409.7117612102701,0.994,0.008100042,0.0,0.0,-420.8892755211701,-420.67850901531403,-420.67851042613785,-409.7117561248986,-409.7117560088608
50,0.105,50,0.12,0.5,1,-409.58191089584346,0.99,-409.58191073437496,0.992,0.008100042,0.0,0.0,-420.72002085540953,-420.50965521690694,-420.50965582755754,-409.5819105263383,-409.58191052134856
50,0.20473684210526316,50,0.12,0.5,1,-406.9918644526571,0.95,-406.9918641713272,0.962,0.008100042,0.0,0.0,-417.343827596907,-417.14145846262136,-417.14145900479997,-406.9918637978473,-406.99186378990925
50,0.30447368421052634,50,0.12,0.5,1,-404.4018204074699,0.865,-404.4018191346446,0.87,0.008100042,0.0,0.0,-413.9676343707391,-413.773261720055,-413.77326232768814,-404.4018174508607,-404.4018174146321
50,0.40421052631578946,50,0.12,0.5,1,-401.811770605335,0.755,-401.81177042109516,0.78,0.008100042,0.0,0.0,-410.5914410391648,-410.4050648855442,-410.4050654485194,-401.81177017669256,-401.81177017147064
50,0.5039473684210527,50,0.12,0.5,1,-399.22172342344084,0.65,-399.22172338943665,0.664,0.008100042,0.0,0.0,-407.21524782279835,-407.0368682367866,-407.03686865131266,-399.2217233448279,-399.2217233438477
50,0.6036842105263158,50,0.12,0.5,1,-396.6316776608819,0.53,-396.6316772036248,0.528,0.008100042,0.0,0.0,-403.8390544632312,-403.6686713419002,-403.66867190225133,-396.6316766045196,-396.63167659138145
50,0.703421052631579,50,0.12,0.5,1,-394.04162985546833,0.415,-394.04162981899583,0.416,0.008100042,0.0,0.0,-400.46286139098885,-400.30047478278146,-400.3004751700235,-394.0416297712925,-394.04162977024583
50,0.8031578947368422,50,0.12,0.5,1,-391.4515830393241,0.285,-391.45158301539595,0.302,0.008100042,0.0,0.0,-397.0866681727649,-396.93227808187237,-396.9322784455197,-391.4515829838291,-391.45158298315005
50,0.9028947368421053,50,0.12,0.5,1,-388.8615362576785,0.23,-388.86153623211356,0.234,0.008100042,0.0,0.0,-393.71047506223863,-393.56408152127096,-393.5640817531459,-388.8615361983629,-388.86153619763815
50,1.0026315789473685,50,0.12,0.5,1,-386.25150581420297,0.2,-386.2714893246573,0.164,0.008100042,0.0,0.0,-390.3342817955374,-390.1958847967054,-390.1958850373669,-386.25150557285644,-386.2519135152547
50,1.1023684210526317,50,0.12,0.5,1,-382.69386357994586,0.15,-382.6938635805616,0.128,0.008100042,0.0,0.0,-386.9580884693278,-386.82768796179084,-386.8276883352041,-382.69386356335673,-382.69386356553434
50,1.2021052631578948,50,0.12,0.5,1,-379.00940595645716,0.11,-379.00940595676855,0.096,0.008100042,0.0,0.002,-383.5818952024197,-383.4594912142698,-383.45949159323226,-379.00940593906614,-379.0094059413236
50,1.301842105263158,50,0.12,0.5,1,-375.3249482950447,0.06,-375.3249482947132,0.074,0.008100042,0.0,0.002,-380.20570190628973,-380.09129446255906,-380.09129485130984,-375.3249482743017,-375.3249482769403
50,1.401578947368421,50,0.12,0.5,1,-371.6404906549503,0.045,-371.6404906541602,0.054,0.008100042,0.0,0.006,-376.8295088854169,-376.7230979544997,-376.72309814625453,-371.6404906386922,-371.640490640728
50,1.5013157894736844,50,0.12,0.5,1,-367.9560329791627,0.015,-367.9401298531474,0.042,0.008100042,0.0,0.006,-373.4533155726004,-373.35490116805414,-373.35490140998235,-367.94096683356986,-367.9401298252851
50,1.6010526315789475,50,0.12,0.5,1,-364.27157534513117,0.01,-364.1480438005765,0.03,0.008100042,0.005,0.008,-370.07712236811926,-369.9867044773578,-369.9867046899772,-364.1545454401427,-364.14804377860605
50,1.7007894736842106,50,0.12,0.5,1,-360.5871177518095,0.01,-360.3559577519426,0.022,0.008100042,0.015,0.016,-366.70092908132347,-366.61850769166807,-366.6185079505556,-360.3681240445337,-360.3559577273239
50,1.8005263157894738,50,0.12,0.5,1,-356.90266014191445,0.01,-356.56387170370243,0.012,0.008100042,0.025,0.022,-363.32473581145524,-363.2503109381477,-363.25031122302914,-356.58170264436296,-356.5638716720974
50,1.9002631578947369,50,0.12,0.5,1,-353.2182025067765,0.01,-352.7717856563768,0.01,0.008100042,0.045,0.024,-359.9485425452759,-359.88211418391546,-359.8821144869639,-352.79528124151034,-352.77178561542064
50,2.0,50,0.12,0.5,1,-349.53374487148744,0.005,-348.9796996359366,0.008,0.008100042,0.045,0.028,-356.5723493880823,-356.51391754897656,-356.5139177938438,-349.00885978088087,-348.97969949723336
50,2.05,50,0.12,0.5,1,-347.6866553025655,0.005,-347.07865383530896,0.008,0.008100042,0.055,0.028,-354.8797987192656,-354.8253756880498,-354.82537590426216,-347.1106538535467,-347.07865377266137
50,2.1555555555555554,50,0.12,0.5,1,-343.7872438791376,0.005,-343.0653349559512,0.006,0.008100042,0.065,0.03,-351.3066360944428,-351.2606761141959,-351.260676339661,-343.10333012716615,-343.0653349182612
50,2.261111111111111,50,0.12,0.5,1,-339.88783266129343,0.005,-339.0520160878213,0.004,0.008100042,0.08,0.042,-347.733473612574,-347.6959766599766,-347.69597681406134,-339.0960064103142,-339.0520160627746
50,2.3666666666666667,50,0.12,0.5,1,-335.9884211296062,0.005,-335.03869722838374,0.004,0.008100042,0.095,0.046,-344.1603108679618,-344.13127698728033,-344.1312772416879,-335.08868267078356,-335.0386972006856
50,2.4722222222222223,50,0.12,0.5,1,-332.0890099741769,0.005,-331.0253783714704,0.002,0.008100042,0.105,0.05,-340.58714836332683,-340.56657751924627,-340.56657770795573,-331.08135895376904,-331.02537834135615
50,2.5777777777777775,50,0.12,0.5,1,-328.18959869719424,0.005,-327.01205951492614,0.002,0.008100042,0.12,0.06,-337.0139856329608,-337.0018778160365,-337.0018781285405,-327.0740352496579,-327.01205950252
50,2.683333333333333,50,0.12,0.5,1,-324.29018725581795,0.005,-322.99874071164453,0.002,0.008100042,0.13,0.076,-333.4408230216478,-333.4371781852914,-333.4371785795244,-323.06671149855464,-322.9987406223518
50,2.7888888888888888,50,0.12,0.5,1,-320.39077608244077,0.005,-318.98542193136706,0.002,0.008100042,0.13,0.088,-329.8676604592768,-329.8724786458161,-329.87247903900453,-319.0593877907403,-318.9854217728982
50,2.8944444444444444,50,0.12,0.5,1,-316.4913646083852,0.005,-314.97210308170634,0.0,0.008100042,0.135,0.106,-326.2944977301666,-326.3077789619379,-326.30777947299146,-315.05206405665353,-314.9721029129098
50,3.0,50,0.12,0.5,1,-312.5919534266882,0.0,-310.95878409522015,0.0,0.008100042,0.155,0.118,-322.72133528638255,-322.7430795951269,-322.74307994263296,-311.04474034366666,-310.9587840608423
50,3.1,50,0.12,0.5,1,-308.8977742750134,0.0,-307.1566926522688,0.0,0.008100042,0.16,0.136,-319.33623382779365,-319.36599575759385,-319.3659961649811,-307.24832838987874,-307.1566925049747
50,3.7,50,0.12,0.5,1,-286.7326993333143,0.0,-284.3441432103267,0.0,0.008100042,0.195,0.184,-299.02562548981876,-299.103493123642,-299.1034934656902,-284.4698566717771,-284.3441431901439
50,4.3,50,0.12,0.5,1,-264.56762447939604,0.0,-261.53159397994125,0.0,0.008100042,0.29,0.234,-278.7129726344839,-278.8387103867221,-278.8387106648086,-261.69138498949474,-261.5315939057911
50,4.9,50,0.12,0.5,1,-242.3995906259065,0.0,-238.7190445738385,0.0,0.008100042,0.34,0.292,-258.3771615995362,-258.5498611114326,-258.5498612356359,-238.91275749319203,-238.7190445412223
50,5.5,50,0.12,0.5,1,-220.20116504621637,0.0,-215.9064953145433,0.0,0.008100042,0.405,0.362,-238.00288632427274,-238.22236614144862,-238.22236635567526,-216.13253051270559,-215.90649526068054
