,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.1,-418.07152146689333,-422.4695367298236,-422.5465264609512,-414.36410780144774,-425.43814848058014,-419.147488245332,[0.48],5.255663714289455,0.0,0.48,"(0,)",-418.07152146689333,-419.91889411927406,-413.1085117438565,-419.9750173511378,[0.6],4.070937106309677,0.6
1,0.18979591836734694,-415.19653605653355,-419.48189775602907,-419.6448449523679,-411.51164360486445,-422.52058486404377,-416.25535002666317,[0.46],4.468488920044491,0.0,0.46,"(0,)",-415.19653605653355,-416.9510678246896,-410.26085507687,-417.09355553638943,[0.35],3.3277983577680583,0.35
2,0.2795918367346939,-412.350316592976,-416.53563093335885,-416.78184590034175,-408.6999933562851,-419.64037576577994,-413.4111921555935,[0.4],3.809491733317517,0.0,0.4,"(0,)",-412.350316592976,-414.0199503334082,-407.4569417782846,-414.24587964085805,[0.35],2.767373408331457,0.35
3,0.3693877551020408,-409.5351130858975,-413.61053853235325,-413.93969603356146,-405.9040312268638,-416.78359500498766,-410.5952063178641,[0.32],3.2283317463264285,0.0,0.32,"(0,)",-409.5351130858975,-411.11021363094153,-404.66718852536025,-411.4189435434067,[0.3],2.2281921429052685,0.3
4,0.4591836734693878,-406.7340906386518,-410.69754213815366,-411.1091017740983,-403.1244701951952,-413.9414320878657,-407.78503553289306,[0.3],2.7299327618866065,0.0,0.3,"(0,)",-406.7340906386518,-408.2117574150595,-401.89129115993427,-408.60321048808584,[0.3],1.750473474265154,0.3
5,0.5489795918367347,-403.9461725350678,-407.80073398709845,-408.2947972697459,-400.3676674999068,-411.1089662045449,-404.987574810701,[0.28],2.239021169496035,0.0,0.28,"(0,)",-403.9461725350678,-405.32950438384614,-399.1454310561879,-405.8030714263459,[0.25],1.269538810502205,0.25
6,0.6387755102040816,-401.16026445857,-404.9145721899084,-405.4906271250974,-397.6142502243506,-408.2937236423257,-402.207970498366,[0.24],1.8237943194612838,0.0,0.24,"(0,)",-401.16026445857,-402.45506423345824,-396.40340708357206,-403.0112698427203,[0.15],0.9305990462391115,0.15
7,0.7285714285714286,-398.375396673791,-402.0439672626902,-402.6952258682849,-394.86311346201256,-405.498015742755,-399.42095695589677,[0.2],1.4708214855851178,0.0,0.2,"(0,)",-398.375396673791,-399.59821110000786,-393.6785706424058,-400.2271329904312,[0.15],0.6755817974949648,0.15
8,0.8183673469387756,-395.6820284181198,-399.28199275298977,-399.9832524218045,-392.2052630257993,-402.7592307312609,-396.7268472494764,[0.14],1.2580865011036557,0.0,0.14,"(0,)",-395.6820284181198,-396.85187857548215,-391.0398330181034,-397.5288324226764,[0.15],0.540792950188424,0.15
9,0.9081632653061225,-393.16454261209833,-396.71363949973255,-397.44354088220774,-389.7157649080731,-400.19672344743276,-394.21460884767134,[0.14],1.1570264527057936,0.0,0.14,"(0,)",-393.16454261209833,-394.29986573005135,-388.5784855989194,-395.0106269847323,[0.15],0.5916769316214227,0.15
10,0.9979591836734695,-390.841551667062,-394.37270640106976,-395.1303055427025,-387.44859369519867,-397.8604176122817,-391.9087913363521,[0.16],1.1333406666172068,0.0,0.16,"(0,)",-390.841551667062,-391.9743085310573,-386.32905300933203,-392.7200969202039,[0.15],0.6582295429145416,0.15
