,target,test_prob,test_obj,0.25_test_obj,0.75_test_obj,mv_prob,mv_obj,0.25_mv_obj,0.75_mv_obj,pre_prob,pre_obj,0.25_pre_obj,0.75_pre_obj,nonrob_prob,nonrob_obj,scenario_prob,scenario_obj,0.25_nonrob_obj,0.75_nonrob_obj,0.25_scenario_obj,0.75_scenario_obj
0,0.01,0.0216,-405.8158196515597,-407.4201379501958,-404.98106156296865,0.039,-398.651603357059,-400.50508566544886,-396.85456640580793,0.031199999999999995,-396.2980830394328,-398.5615413604762,-394.60192320354406,1.0,-428.3620747165796,0.8054430847132336,-411.63384223911845,-428.3625323689568,-428.2916275806795,-412.46747823570087,-410.5810396446008
0,0.02,0.027200000000000002,-406.94783243425996,-408.93028466543296,-405.64926726263417,0.035199999999999995,-398.19956156355454,-401.51931396992086,-396.7177546041512,0.03599999999999999,-397.61501959332264,-399.7577187355654,-395.18029447758744,1.0,-428.3620747165796,0.8054430847132336,-411.63384223911845,-428.3625323689568,-428.2916275806795,-412.46747823570087,-410.5810396446008
0,0.03,0.027200000000000002,-406.94783243425996,-408.93028466543296,-405.64926726263417,0.035199999999999995,-398.19956156355454,-401.51931396992086,-396.7177546041512,0.03599999999999999,-397.61501959332264,-399.7577187355654,-395.18029447758744,1.0,-428.3620747165796,0.8054430847132336,-411.63384223911845,-428.3625323689568,-428.2916275806795,-412.46747823570087,-410.5810396446008
0,0.05,0.055200000000000006,-410.5383210150709,-412.9774186108087,-409.1188662717864,0.054400000000000004,-401.1392870874107,-403.313580008113,-399.03123982437654,0.04933333333333333,-400.3715467929654,-401.8221194751536,-399.5111930806961,1.0,-428.3620747165796,0.8054430847132336,-411.63384223911845,-428.3625323689568,-428.2916275806795,-412.46747823570087,-410.5810396446008
0,0.08,0.072,-412.5299504858167,-413.86688538366167,-411.3450123935695,0.0688,-402.98293053231015,-404.5097572689818,-402.16790903678026,0.06720000000000001,-401.49577402192403,-402.72662272222215,-399.6634465470699,1.0,-428.3620747165796,0.8054430847132336,-411.63384223911845,-428.3625323689568,-428.2916275806795,-412.46747823570087,-410.5810396446008
0,0.1,0.0912,-413.4223631468285,-414.3453016953658,-412.92734513559503,0.07,-403.8325584457031,-405.2697552133797,-402.517864964963,0.078,-402.7805791139433,-405.20902906082057,-400.5217929307057,1.0,-428.3620747165796,0.8054430847132336,-411.63384223911845,-428.3625323689568,-428.2916275806795,-412.46747823570087,-410.5810396446008
0,0.12,0.0968,-413.8016674248585,-414.76771245309874,-413.58876518223906,0.0912,-404.6176243911815,-405.7059345356145,-403.65820994218865,0.0864,-403.46901078570346,-405.1405167201417,-402.12074963473447,1.0,-428.3620747165796,0.8054430847132336,-411.63384223911845,-428.3625323689568,-428.2916275806795,-412.46747823570087,-410.5810396446008
0,0.15,0.1192,-414.9257156782314,-415.49252018741623,-414.2155494229928,0.12266666666666666,-406.3089830851909,-406.47641456473264,-406.0124187270403,0.13440000000000002,-405.9171542929934,-406.5907036320515,-405.1460591472251,1.0,-428.3620747165796,0.8054430847132336,-411.63384223911845,-428.3625323689568,-428.2916275806795,-412.46747823570087,-410.5810396446008
0,0.18,0.1528,-416.1217637696188,-416.8655668239418,-414.8423339426417,0.1608,-407.9090860485303,-407.8772255834581,-407.51968946141216,0.168,-407.20373046991864,-407.1787725456785,-406.53283374536034,1.0,-428.3620747165796,0.8054430847132336,-411.63384223911845,-428.3625323689568,-428.2916275806795,-412.46747823570087,-410.5810396446008
0,0.2,0.19119999999999998,-416.62165883739544,-417.131819021168,-415.4635874736748,0.184,-409.05103739385413,-409.4783524432495,-408.6746031114129,0.187,-407.850011886418,-408.01707429915814,-407.6859541913394,1.0,-428.3620747165796,0.8054430847132336,-411.63384223911845,-428.3625323689568,-428.2916275806795,-412.46747823570087,-410.5810396446008
