,target,test_prob,test_obj,0.25_test_obj,0.75_test_obj,mv_prob,mv_obj,0.25_mv_obj,0.75_mv_obj,pre_prob,pre_obj,0.25_pre_obj,0.75_pre_obj,dro_prob,dro_obj,0.25_dro_obj,0.75_dro_obj,nonrob_prob,nonrob_obj,scenario_prob,scenario_obj,0.25_nonrob_obj,0.75_nonrob_obj,0.25_scenario_obj,0.75_scenario_obj,test_avg,0.25_test_avg,0.75_test_avg,test_avg_mv,0.25_test_avg_mv,0.75_test_avg_mv,test_avg_pre,0.25_test_avg_pre,0.75_test_avg_pre,test_avg_dro,0.25_test_avg_dro,0.75_test_avg_dro,test_avg_scene,0.25_test_avg_scene,0.75_test_avg_scene,test_in,test_in_pre,test_in_mv,test_in_scene,test_in_dro,test_cvar,test_mv_cvar,0.25_mv_cvar,0.75_mv_cvar,test_pre_cvar,0.25_pre_cvar,0.75_pre_cvar,test_dro_cvar,0.25_dro_cvar,0.75_dro_cvar,test_scene_cvar
0,0.0,0.016000000000000004,-381.6576105921761,-387.6336785781315,-381.04850060086375,0.013600000000000001,-367.4039600283611,-370.6324426841981,-362.70276419235597,0.016999999999999998,-358.7724587680992,-368.9320188743743,-351.303006438444,0.011400000000000002,-349.1095256755141,-353.69504590016356,-342.69639138907627,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-386.81873762451323,-390.36934192591616,-387.67812074220495,-375.4526480726379,-378.7427078187641,-370.74334835822975,-385.56579448469364,-389.99619008678536,-383.85239628397846,-355.879471979632,-360.5368281388637,-349.5473981048218,-395.51302309136435,-397.2382950530247,-393.4378332721587,-386.81873741775905,-385.5657942995449,-375.45264785249225,-395.2539101929493,-353.88400933035484,-381.1759470585371,-367.4039599786987,-370.6324425893438,-362.70276413663794,-358.7724587090528,-368.93201880649525,-351.3030064003588,-348.43550197960565,-352.9440234202385,-342.2496365743984,-395.3180789938031
0,0.01,0.0244,-387.03340953035297,-390.8722186298627,-386.2458093883648,0.024,-372.70219080760586,-374.50025329163003,-371.69743106472407,0.025999999999999995,-363.20112189928307,-371.4218743829556,-361.47496023369183,0.017800000000000003,-355.1128759457433,-357.39567747636653,-352.9749955355127,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-391.694527891564,-394.9706641745105,-390.73988760781697,-380.8239738992889,-382.68006664378515,-379.856473586536,-388.30880730811543,-392.1840167374986,-388.63106714297857,-362.0220051545107,-364.3476307702634,-360.0096233530162,-395.51302309136435,-397.2382950530247,-393.4378332721587,-391.6945277144254,-388.30880713332033,-380.8239736846484,-395.2539101929493,-360.21160194950704,-386.4923906621183,-372.702190729061,-374.50025320103816,-371.6974309582313,-363.2011218043689,-371.4218743189302,-361.4749599509357,-354.461999497038,-356.74734712331554,-352.4983138660281,-395.3180789938031
0,0.02,0.038,-390.7409279630817,-392.5493667923382,-389.93001510428337,0.036199999999999996,-376.09200971231843,-379.2608562528194,-374.11977067098724,0.035,-366.99959799741225,-374.52529498733134,-365.35882920986194,0.0264,-358.7753341736833,-362.20923179068484,-355.5912536537951,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-394.8527095585057,-396.5500927678222,-393.98429127652366,-384.2600752079858,-387.48319006279985,-382.2131603746439,-390.7094218613263,-392.7669981271107,-389.1566094801995,-365.7686745737426,-369.24222838430364,-362.68126701944306,-395.51302309136435,-397.2382950530247,-393.4378332721587,-394.85270933227974,-390.70942168784956,-384.26007496800696,-395.2539101929493,-364.0739563930503,-390.20385380379923,-376.09200961287974,-379.26085612641424,-374.119770599731,-366.9995979154527,-374.52529493116225,-365.35882902272624,-358.1379877401557,-361.5854620079,-355.1070524028037,-395.3180789938031
0,0.03,0.043,-393.253989503633,-395.1266831462679,-391.6856433503008,0.0434,-377.90997485722477,-381.2919019841304,-377.286803895039,0.040999999999999995,-369.31229069956,-375.4254875237483,-366.1933507717964,0.0334,-361.68636938592743,-365.5159397168026,-359.4549470070744,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-397.2193922145117,-398.62453508225923,-395.06422193217134,-386.1021057218536,-389.57421609578716,-385.4842483432633,-392.2097198098917,-394.3051718660161,-391.6932310153595,-368.7148038530543,-372.7692996482929,-366.54336621320147,-395.51302309136435,-397.2382950530247,-393.4378332721587,-397.2193920461142,-392.2097196545878,-386.10210551823803,-395.2539101929493,-367.10610240207893,-392.90537468580885,-377.90997477863505,-381.29190196049467,-377.2868038088987,-369.3122906353389,-375.42548742890585,-366.19335062439734,-361.02803277632165,-364.9627389519274,-358.8892208130294,-395.3180789938031
0,0.05,0.07,-398.09575283788774,-399.8664970386673,-396.489887733156,0.06600000000000002,-381.88976471113233,-384.6481221493576,-380.53760341798926,0.0628,-373.2043891355876,-380.62466272068673,-372.00827722014117,0.0558,-367.7590462164753,-370.6943841130597,-366.2644073579497,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-401.4133088561656,-402.43245154079,-400.5230676015389,-390.13789688978676,-392.9726164661622,-388.7758603392389,-394.70448488381373,-396.80776932005716,-394.2540548465804,-374.95266666840854,-378.02281063213707,-373.5155614360073,-395.51302309136435,-397.2382950530247,-393.4378332721587,-401.41330867599873,-394.7044847185888,-390.1378966884955,-395.2539101929493,-373.53524489429475,-397.7967073163933,-381.8897646178869,-384.6481221310796,-380.53760335181005,-373.20438908823144,-380.6246626558753,-372.00827717836427,-367.1471876165854,-370.10457867792064,-365.7028204417869,-395.3180789938031
0,0.08,0.0958,-401.59175006929803,-403.17672301318623,-400.7830119565429,0.0884,-384.4650648006308,-386.0798101002571,-384.3685656239742,0.0954,-377.79117305879174,-383.32591044770487,-375.3330012149592,0.0862,-373.9203903094077,-375.73681270837903,-372.93390224028354,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-404.48437996124574,-405.8971024705088,-402.78215521385306,-392.7487726922854,-394.39289120614376,-392.67448832880365,-397.58949370089516,-398.6627759738625,-396.4191506948962,-381.2653485460296,-383.1985552086416,-380.3667341901078,-395.51302309136435,-397.2382950530247,-393.4378332721587,-404.4843797675323,-397.58949351790045,-392.74877247979146,-395.2539101929493,-380.03631931633896,-401.48643814303597,-384.4650647131401,-386.07981008177865,-384.36856539584835,-377.7911729404932,-383.3259103818341,-375.33300111241,-373.34339626649825,-375.1942357160664,-372.45566810992364,-395.3180789938031
0,0.09,0.11180000000000001,-402.588467288453,-402.9027927245571,-401.29098726390805,0.10640000000000001,-385.70895531669623,-387.997355099786,-384.3685656239742,0.0986,-378.0737598399877,-383.79295671238793,-375.3330012149592,0.09079999999999999,-374.7412171885157,-375.73681270837903,-373.0086616659817,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-405.6085949785878,-407.26329090832405,-404.1351944809153,-394.0098274858018,-396.32537521328635,-392.67448832880365,-397.7762263817116,-398.87137127756847,-396.63441517434177,-382.10081286884844,-383.1985552086416,-380.3667341901078,-395.51302309136435,-397.2382950530247,-393.4378332721587,-405.6085948050854,-397.77622620447573,-394.0098272776787,-395.2539101929493,-380.89648393846517,-402.33804894489026,-385.7089552078099,-387.9973549591027,-384.36856539584835,-378.0737597562432,-383.7929566435695,-375.33300111241,-374.16161157724383,-375.1942357160664,-372.45566810992364,-395.3180789938031
0,0.1,0.122,-403.6184794635039,-404.58240932516986,-402.3029015177102,0.11520000000000001,-386.72569223604967,-388.2320727116755,-386.3644901788173,0.11299999999999999,-379.5415982071021,-383.79295671238793,-378.6577252257753,0.1078,-376.8864098373623,-378.0433972918588,-375.4180910518789,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-406.14320366921413,-407.494685717724,-404.4636681713318,-395.0405752416176,-396.5919730894328,-394.69548129666623,-398.7087393288591,-400.28286994911565,-397.9635230854718,-384.2865893543352,-385.3987982753864,-382.7766291567667,-395.51302309136435,-397.2382950530247,-393.4378332721587,-406.1432034960106,-398.7087391623592,-395.0405750585128,-395.2539101929493,-383.1481879629056,-403.6125956527292,-386.72569213504374,-388.23207263888656,-386.3644899257679,-379.5415981352571,-383.7929566435695,-378.65772512274475,-376.3019606159602,-377.4255353277984,-374.79785194348983,-395.3180789938031
0,0.12,0.13480000000000003,-404.6841660353199,-405.98163571979825,-403.9056441856385,0.1298,-387.7481594895838,-388.8928666659525,-387.1337160671528,0.14040000000000002,-381.6227684605177,-386.27090427754354,-378.6577252257753,0.124,-378.87649545448267,-380.57519312227845,-377.6469144099895,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-407.15037991970144,-408.5555320565765,-405.56901831756886,-396.0774598483414,-397.2853486883016,-395.5004730852753,-400.0570011758783,-401.3069324611742,-398.4944369431458,-386.3098642229267,-388.064701265355,-385.18816689580444,-395.51302309136435,-397.2382950530247,-393.4378332721587,-407.1503797288069,-400.05700099379595,-396.07745964833106,-395.2539101929493,-385.23113393228306,-404.49031385609663,-387.74815938910035,-388.89286658897635,-387.13371598735796,-381.6227683640693,-386.2709042075284,-378.65772512274475,-378.2851656285664,-379.99676351323757,-377.1448831187189,-395.3180789938031
0,0.15,0.1608,-406.4777729658824,-408.00912698227745,-405.4436813254731,0.1572,-389.7919855686515,-390.90268524211695,-389.13548998470526,0.16439999999999996,-383.7334466790596,-386.99924058391105,-381.9824492481961,0.1584,-385.4673962172611,-384.96074864179207,-381.3931864024511,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-408.6440167225269,-409.97820976563145,-407.0917184342619,-398.14909477122734,-399.3212527270184,-397.52819695003325,-401.3772036362408,-402.35995442384615,-400.1468126192409,-393.04831392168563,-392.5099505931127,-389.0391984151468,-395.51302309136435,-397.2382950530247,-393.4378332721587,-408.64401651033126,-401.3772034549931,-398.1490945988891,-395.2539101929493,-392.14814134971357,-406.3621743331138,-389.7919855050767,-390.90268521512587,-389.13548995842535,-383.7334466131714,-386.99924046558294,-381.982449154816,-384.8822500780294,-384.3898940760125,-380.9638194375941,-395.3180789938031
