,test_prob,test_obj,0.25_test_obj,0.75_test_obj
0,0.021200000000000004,-0.907638468471391,-0.909373080148065,-0.9062565494360142
0,0.0356,-0.9069916100278673,-0.907978637580082,-0.9062565494360142
0,0.0468,-0.9092080112710874,-0.91118794835601,-0.9073719288830746
0,0.0754,-0.9118752702722939,-0.9124592934498308,-0.9112107379954684
0,0.0988,-0.9131701835276387,-0.9134375844615016,-0.9120969803720556
0,0.1186,-0.9116550721099648,-0.9140037323264536,-0.909963341967762
0,0.124,-0.9134288690505654,-0.9140037323264536,-0.9120331704888764
0,0.15460000000000002,-0.9139138241658115,-0.9141915949441936,-0.9126296870573491
0,0.18860000000000002,-0.9123837553199676,-0.9143992160627268,-0.9107215598390848
0,0.2052,-0.9118261250958207,-0.9130334664466278,-0.910155101660132
