,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
20,0,2.0966386554621845,0,0.33,1.0,1,-0.8876536770758215,0.1075,-0.8722738961456611,0.114
36,10,3.3739495798319323,10,0.4,1.0,1,-0.8862596577197508,0.11,-0.8821261246790759,0.1
30,20,2.8949579831932772,20,0.35,0.5,1,-0.8816908773834325,0.1025,-0.8716297774805609,0.122
19,30,2.0168067226890756,30,0.23,0.75,1,-0.8946354843386709,0.1075,-0.8836776591462461,0.115
19,40,2.0168067226890756,40,0.35,1.2,1,-0.8947905671442744,0.1075,-0.8788447456393002,0.136
25,50,2.495798319327731,50,0.33,0.5,1,-0.8817301801723849,0.0975,-0.8740106307471376,0.115
23,60,2.3361344537815123,60,0.25,0.75,1,-0.881026966798768,0.1075,-0.8802235554561348,0.131
15,70,1.6974789915966386,70,0.2,1.0,1,-0.8829075533055374,0.1,-0.879046004454758,0.1
60,80,5.2899159663865545,80,0.4,0.5,1,-0.8556935032213857,0.11,-0.8697668209219988,0.084
18,90,1.9369747899159664,90,0.35,1.2,1,-0.8953023246100738,0.11,-0.8887459726420841,0.123
