,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
30,0,0.8516666666666667,0,0.1,1.2,1,-0.9443694047875444,0.15,-0.93267772249554,0.16,0.000527549
24,10,0.6291666666666667,10,0.1,1.5,1,-0.8912127428221808,0.14,-0.7976333002746225,0.192,0.000555979
29,20,0.8145833333333333,20,0.23,0.75,1,-0.9064434938871702,0.14,-0.8252229457590483,0.152,0.000579279
29,30,0.8145833333333333,30,0.23,1.0,1,-0.9096004238613024,0.15,-0.7512419367636792,0.2,0.000549459
34,40,1.0,40,0.33,0.75,1,-0.9399123115366697,0.14,-0.8966603929810923,0.108,0.000421899
32,50,0.9258333333333334,50,0.25,0.5,1,-0.8970979659346916,0.14,-0.741096347241517,0.216,0.000557318
29,60,0.8145833333333333,60,0.2,0.75,1,-0.8604063289570766,0.15,-0.8469109681060546,0.184,0.000530789
22,70,0.555,70,0.05,1.2,1,-0.8415965148792484,0.15,-0.8225312037299637,0.28,0.000447859
29,80,0.8145833333333333,80,0.15,1.2,1,-0.8369775669456263,0.14,-0.856969068249049,0.18,0.000540379
30,90,0.8516666666666667,90,0.2,0.5,1,-1.0645699443254888,0.14,-0.8716908427078748,0.144,0.000492488
