,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
0,0,1,0,0.2,1,1,-0.8947042566378711,0.01,-0.8870772142475953,0.003,0.002199181,0.0,0.0
0,10,1,10,0.1,1,1,-0.9061586073849238,0.0875,-0.8732277602639021,0.117,0.002331612,0.0,0.0
0,20,1,20,0.4,1,1,-0.827038866751937,0.005,-0.8390231465117219,0.002,0.002274842,0.0,0.0
0,30,1,30,0.3,1,1,-0.8714327589112818,0.015,-0.8527486596919646,0.012,0.002324402,0.0,0.0
0,40,1,40,0.1,1,1,-0.883442437864258,0.0725,-0.9241169178492716,0.059,0.001868679,0.0,0.0
0,50,1,50,0.2,1,1,-0.7751677549231877,0.08,-0.8505621339141198,0.086,0.001753038,0.0,0.0
0,60,1,60,0.15,1,1,-0.8273698443794975,0.02,-0.8059831336125435,0.022,0.002777384,0.0,0.0
0,70,1,70,0.2,1,1,-0.7720825884634231,0.04,-0.7664293028312277,0.057,0.001923869,0.0,0.0
0,80,1,80,0.1,1,1,-0.8517970850544478,0.005,-0.8330207774634877,0.002,0.002391371,0.0,0.0
0,90,1,90,0.15,1,1,-0.8135431820495067,0.035,-0.811288003789311,0.028,0.003087554,0.0,0.0
