,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
36,0,1.2512820512820513,0,0.1,1.2,1,-0.9492253048751524,0.1,-0.9477722242345684,0.088
35,10,1.1,10,0.1,0.5,1,-1.0961288957615083,0.11,-0.8338519782162873,0.12
33,20,0.9629166666666668,20,0.3,0.5,1,-1.018491796748406,0.11,-0.9408302758639292,0.228
33,30,0.9629166666666668,30,0.35,0.5,1,-1.0105343832996645,0.11,-0.8384792353242833,0.204
22,40,0.555,40,0.1,0.5,1,-1.1013495192430205,0.11,-0.835649386245459,0.192
36,50,1.2512820512820513,50,0.15,0.5,1,-0.9316353987397082,0.11,-0.8615254589396732,0.076
24,60,0.6291666666666667,60,0.05,1.2,1,-0.9186172622601472,0.11,-0.8910018527954202,0.14
37,70,1.402564102564103,70,0.25,1.5,1,-0.8546709381232341,0.11,-0.8173522406085229,0.104
26,80,0.7033333333333334,80,0.1,0.75,1,-0.974812545778291,0.1,-0.9920081166107813,0.112
26,90,0.7033333333333334,90,0.1,0.75,1,-0.967835338490023,0.11,-0.8513352345878737,0.16
