,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
35,0,1.1,0,0.2,8.0,1.5,-0.9062716550249852,0.015,-0.9036680740060096,0.032,0.002775985,0.0,0.0,-0.7394007626280845,-0.7421225315498815,-0.9475114495780366,-0.9317910729274466,-0.8556329274143408,-0.7799536494910493
40,10,1.513793103448276,10,0.08,1.5,1.5,-0.9009083705092952,0.005,-0.9029741112622468,0.006,0.002802075,0.0,0.0,-0.4321497301962371,-0.4346010227530065,-0.9196353122863908,-0.9340729301325834,-0.8013325401925007,-0.8270067051040342
34,20,1.0,20,0.15,8.0,1.5,-0.9094904865377802,0.0,-0.9071862503823296,0.0,0.002437102,0.0,0.0,-0.7335542773989003,-0.7330720045759727,-0.9267877288329648,-0.9246797284709164,-0.8947014983173602,-0.8814559115844228
34,30,1.0,30,0.1,8.0,1.5,-0.9061823311800716,0.0,-0.9059033801505392,0.0,0.002286473,0.0,0.0,-0.7315731629281569,-0.7319433000586614,-0.9246202424548692,-0.9242411584360708,-0.8882144163933311,-0.889002909106547
35,40,1.1,40,0.15,8.0,1.5,-0.8999050228685613,0.005,-0.898710901291449,0.004,0.002269842,0.0,0.0,-0.7400443654414434,-0.7328405902429583,-0.92292473060356,-0.9220045697514344,-0.8518035597821305,-0.8485046611468035
34,50,1.0,50,0.15,3.0,1.5,-0.9005837153674907,0.01,-0.8979025503131315,0.014,0.002230481,0.0,0.0,-0.5783512051391035,-0.5733705923051575,-0.9356492471644786,-0.9341495053261302,-0.8640302839110419,-0.8226858013412046
36,60,1.1827586206896552,60,0.1,8.0,1.5,-0.9070950750302276,0.0,-0.8983795190435673,0.0,0.003329038,0.0,0.0,-0.6968443450156377,-0.6901664638957908,-0.9227522245148624,-0.9204385777302622,-0.8911680367171949,-0.8686798121808014
41,70,1.5965517241379312,70,0.1,8.0,1.5,-0.8943796049929851,0.0,-0.8906952575263956,0.0,0.002997457,0.0,0.0,-0.6130857360602646,-0.6154908420852359,-0.9203211216638496,-0.9193296518115358,-0.8758876553993045,-0.8740674361716284
34,80,1.0,80,0.12,8.0,1.5,-0.9010542278201016,0.0,-0.9019823962585036,0.0,0.002386053,0.0,0.0,-0.74174263321218,-0.7374732164437041,-0.9225305467493004,-0.9252424149133326,-0.8859384054140367,-0.8907973782017741
34,90,1.0,90,0.15,8.0,1.5,-0.9000498268325745,0.045,-0.8989868122083279,0.026,0.002203032,0.0,0.0,-0.6980657308741232,-0.6961439006025936,-0.8990059171633057,-0.9313549895771832,-0.5685318638598363,-0.7282448140776296
