,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,nonrob_prob,nonrob_obj,scenario_probs,scenario_obj
13,0,1.0508474576271185,0,0.4,1.0,1,-0.9168315982288868,0.1475,-0.9128910874329792,0.193,0.643206609600977,-0.8832954796568405,0.2983019741690197,-0.8397777151522593
13,10,1.0508474576271185,10,0.3,1.0,1,-0.9110395252576754,0.1525,-0.9126296870573491,0.142,0.6780562290663765,-0.855328055676423,0.3020523825985548,-0.8416055412254032
15,20,1.1355932203389831,20,0.3,1.0,1,-0.9125337543010836,0.1425,-0.9141915949441936,0.122,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
14,30,1.0932203389830508,30,0.3,1.0,1,-0.9109168487105944,0.145,-0.9100230827569068,0.139,0.6133562769097132,-0.8836488311156103,0.2945352685916004,-0.8404526436235911
16,40,1.1779661016949152,40,0.35,1.0,1,-0.9268143350492788,0.145,-0.9198336686376288,0.177,0.6293881587432578,-0.8791352912951522,0.2780046376332906,-0.8372668662912996
13,50,1.0508474576271185,50,0.4,1.0,1,-0.9168315982288868,0.1475,-0.9128910874329792,0.193,0.643206609600977,-0.8832954796568405,0.2983019741690197,-0.8397777151522593
13,60,1.0508474576271185,60,0.3,1.0,1,-0.9110395252576754,0.1525,-0.9126296870573491,0.142,0.6780562290663765,-0.855328055676423,0.3020523825985548,-0.8416055412254032
15,70,1.1355932203389831,70,0.3,1.0,1,-0.9125337543010836,0.1425,-0.9141915949441936,0.122,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
14,80,1.0932203389830508,80,0.3,1.0,1,-0.9109168487105944,0.145,-0.9100230827569068,0.139,0.6133562769097132,-0.8836488311156103,0.2945352685916004,-0.8404526436235911
16,90,1.1779661016949152,90,0.35,1.0,1,-0.9268143350492788,0.145,-0.9198336686376288,0.177,0.6293881587432578,-0.8791352912951522,0.2780046376332906,-0.8372668662912996
