,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
14,0,0.3642857142857142,0,0.15,8.0,4,-0.5451193404391107,0.14,-0.5313043261822264,0.142,0.000374611,0.0075,0.006,-0.5865510871565817,-0.5679364540863681,-0.8323618344270578
15,10,0.4278571428571428,10,0.1,8.0,4,-0.5366441408633196,0.1475,-0.5076912524460094,0.179,0.000357169,0.0225,0.024,-0.5366441408633196,-0.5076912524460094,-0.8325077331455384
15,20,0.4278571428571428,20,0.09,8.0,4,-0.5145141392448368,0.15,-0.5069676712987736,0.13,0.000344149,0.02,0.036,-0.504431872745545,-0.4971503437526186,-0.8229405637532272
16,30,0.4914285714285714,30,0.1,10.0,4,-0.5117982669368097,0.14,-0.5122984457334766,0.119,0.000316929,0.07,0.076,-0.5117982669368097,-0.5122984457334766,-0.8205160204822696
15,40,0.4278571428571428,40,0.05,8.0,4,-0.4757822699860212,0.1525,-0.4905571032352167,0.152,0.000374071,0.0575,0.039,-0.3981729509064555,-0.4188060587409679,-0.8155953925824365
15,50,0.4278571428571428,50,0.12,10.0,4,-0.4691435854426531,0.145,-0.4576193241670555,0.164,0.000380829,0.0525,0.033,-0.4928662070757516,-0.4771116088374394,-0.8203163119605617
14,60,0.3642857142857142,60,0.08,8.0,4,-0.5335059823185606,0.15,-0.5259656686112578,0.16,0.000375929,0.015,0.01,-0.5111436274029674,-0.5057693943569812,-0.8354523184223219
13,70,0.3007142857142857,70,0.12,8.0,4,-0.5213481812535867,0.1425,-0.510931692784945,0.171,0.000397259,0.0025,0.001,-0.5378211281476659,-0.5292806552847679,-0.8337732322089362
13,80,0.3007142857142857,80,0.12,8.0,4,-0.5490864268661793,0.1475,-0.5136815451773198,0.152,0.000364949,0.0025,0.002,-0.5622078503390378,-0.5334567100033449,-0.8356824072217793
15,90,0.4278571428571428,90,0.09,10.0,4,-0.5170928352794834,0.155,-0.501178375829823,0.173,0.00036664,0.02,0.017,-0.5088499425624591,-0.4918224605613437,-0.8285794042428717
