,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
49,0,2.2586206896551726,0,0.05,1.0,1,-0.6192429477917705,0.0525,-0.6239709517910632,0.038,0.000635208,0.12,0.103,-0.5546383153665624,-0.5513895040594519,-0.8139102720335767,-0.8121964508077226,-0.5329116642711069,-0.5510210615821496
46,10,2.010344827586207,10,0.05,1.0,1,-0.6430008489304523,0.0525,-0.6302710057913696,0.067,0.000698555,0.0575,0.054,-0.601486062657742,-0.5974670861382162,-0.8234098491158173,-0.8102750659296142,-0.5764300555044303,-0.5586496897874118
48,20,2.1758620689655173,20,0.05,1.0,1,-0.6434084598580974,0.0425,-0.6324253830301583,0.031,0.000644911,0.0625,0.077,-0.5569055015069331,-0.553967954417483,-0.8178371917975861,-0.8088645662275105,-0.5491501367122638,-0.5537247906822582
49,30,2.2586206896551726,30,0.05,1.0,1,-0.6088095260386178,0.0475,-0.6169763102111084,0.035,0.000646146,0.0925,0.1,-0.5346801240997663,-0.5249283043485883,-0.8053176482442104,-0.8026038532011962,-0.5301376070948661,-0.5432048250154925
48,40,2.1758620689655173,40,0.05,1.0,1,-0.6071737308253976,0.0425,-0.6133529301500151,0.028,0.00069282,0.08,0.098,-0.5403402883800155,-0.5331599201529491,-0.8010731680055132,-0.8052885239601075,-0.5100767373715923,-0.5404992274521487
45,50,1.9275862068965517,50,0.05,1.0,1,-0.6113734501741834,0.045,-0.6165118931111404,0.057,0.000723721,0.06,0.043,-0.5700028414298681,-0.5656916506916115,-0.8016879004837092,-0.7967890984081965,-0.5449696414912675,-0.5390238061188426
48,60,2.1758620689655173,60,0.05,1.0,1,-0.6242472807340591,0.0575,-0.6283814690503284,0.054,0.000616223,0.0975,0.08,-0.5771947131161338,-0.5750404831501837,-0.8145032702560309,-0.8133853543426051,-0.5406184683357113,-0.5494643925189193
45,70,1.9275862068965517,70,0.05,1.0,1,-0.6399737554262723,0.0475,-0.6132548376430622,0.059,0.000619902,0.0425,0.035,-0.5878730727307379,-0.5828959748308863,-0.8103560904662821,-0.8062299218113028,-0.5642385162397051,-0.5492132024662322
45,80,1.9275862068965517,80,0.05,1.0,1,-0.6298012440813896,0.045,-0.6214568303290632,0.076,0.000645906,0.0325,0.041,-0.586024811264195,-0.5856949208077904,-0.8121206568818764,-0.813125378669685,-0.5645024096548162,-0.5313298787467179
48,90,2.1758620689655173,90,0.05,1.0,1,-0.625615655487452,0.045,-0.6252539864461879,0.052,0.000609173,0.0825,0.089,-0.5733513485069309,-0.5713307626394581,-0.8008599158454488,-0.8155411490305858,-0.5537758635149654,-0.5501815466547252
