,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-2.6450386761825078,-7.26653884148465,0.0,[0.507],125.51374499287347,0.107,0.507,"(0,)",-2.923377869468987,[0.49],115.43482891447718,0.49
1,0.5408163265306123,-2.8183742683363215,-7.112260129847414,0.0,[0.493],118.37495906387228,0.125,0.493,"(0,)",-3.0844601303982904,[0.465],108.5610154335891,0.465
2,0.5816326530612245,-2.97940431260967,-6.957981416143383,0.0,[0.466],111.51363079872829,0.152,0.466,"(0,)",-3.2336108221006103,[0.4425],101.95671463145057,0.4425
3,0.6224489795918368,-3.1259723868221982,-6.803702700206561,0.0,[0.45],104.96577056116328,0.163,0.45,"(0,)",-3.3673205664776855,[0.425],95.6969564908102,0.425
4,0.6632653061224489,-3.2602426700100096,-6.825778381784212,0.0,[0.427],98.6728605136967,0.185,0.427,"(0,)",-3.4951986114984863,[0.4125],89.60909279504897,0.4125
5,0.7040816326530612,-3.378102629708717,-7.263496597068367,0.0,[0.405],92.7053616619938,0.209,0.405,"(0,)",-3.614154554826732,[0.395],83.71494738918388,0.395
6,0.7448979591836735,-3.4845024407469385,-7.580690277171463,0.0,[0.39],86.96430606366877,0.227,0.39,"(0,)",-3.72082112826736,[0.3825],78.07079495371306,0.3825
7,0.7857142857142857,-3.580980872886771,-7.409040211515176,0.0,[0.38],81.4216780338275,0.247,0.38,"(0,)",-3.824703887907303,[0.375],72.50778596265889,0.375
8,0.8265306122448979,-3.6669225674299613,-7.237390150844547,0.0,[0.359],76.11386221497322,0.276,0.359,"(0,)",-3.9138393141154095,[0.3425],67.2660498107508,0.3425
9,0.8673469387755102,-3.7376329947771625,-7.0657400895014995,0.0,[0.337],71.139795499229,0.291,0.337,"(0,)",-3.9812502006268278,[0.3225],62.45880444607955,0.3225
10,0.9081632653061225,-3.7976200141061636,-6.8940900276299,0.0,[0.323],66.38403128804254,0.312,0.323,"(0,)",-4.033309146790221,[0.3],57.95859784100875,0.3
11,0.9489795918367346,-3.8478437413907773,-6.7224399653722795,0.0,[0.308],61.8316314018326,0.328,0.308,"(0,)",-4.069666400674542,[0.2775],53.78825935222745,0.2775
12,0.9897959183673469,-3.8863493021901,-7.0271188053011215,0.0,[0.291],57.52589513937391,0.353,0.291,"(0,)",-4.098037660973878,[0.2625],49.810889641369194,0.2625
13,1.030612244897959,-3.9137996654147873,-6.839235743649564,-0.2138152598274914,[0.274],53.48061798647845,0.385,0.274,"(0,)",-4.116467491345433,[0.255],46.050498939926776,0.255
14,1.0714285714285714,-3.932869248499484,-6.799295050992439,-0.20268431713714108,[0.26],49.62664601126684,0.407,0.26,"(0,)",-4.124896773244062,[0.235],42.49988975183234,0.235
15,1.1122448979591835,-3.9424365208860284,-6.990535875112011,-0.19155337499578273,[0.244],45.96408062863678,0.436,0.244,"(0,)",-4.1228899647845125,[0.2225],39.15800237560612,0.2225
16,1.1530612244897958,-3.942879665056215,-6.773833639014169,-0.180422433389392,[0.23],42.48859345888422,0.454,0.23,"(0,)",-4.108405133109674,[0.2025],36.06902853411168,0.2025
17,1.193877551020408,-3.9346209456765,-6.557131402363779,-0.16929149225876827,[0.223],39.19238174551386,0.481,0.223,"(0,)",-4.080915355032914,[0.1875],33.25311698431986,0.1875
18,1.2346938775510203,-3.9156493738392073,-6.34042916463056,-0.15816055149475705,[0.21],36.11429617428919,0.503,0.21,"(0,)",-4.047303408556172,[0.185],30.559648869433467,0.185
19,1.2755102040816326,-3.8875309494205843,-6.123726925177828,-0.1470296109401561,[0.199],33.215757715504076,0.522,0.199,"(0,)",-4.007063684970816,[0.175],27.997603905432683,0.175
20,1.316326530612245,-3.85109793001646,-5.845895060724185,-0.301921086122723,[0.184],30.479678644519897,0.547,0.184,"(0,)",-3.957727527105732,[0.1625],25.611031656300085,0.1625
21,1.3571428571428572,-3.8049800484875225,-5.367080073873003,-0.7371230986494606,[0.174],27.937297418016314,0.572,0.174,"(0,)",-3.8987546889929128,[0.1525],23.41171701152004,0.1525
22,1.3979591836734693,-3.750980546586201,-4.963779488524086,-0.6713619059435194,[0.161],25.558233528676443,0.596,0.161,"(0,)",-3.8354410129990892,[0.1525],21.29356722726338,0.1525
23,1.4387755102040816,-3.6870854268887943,-4.755395455113593,-0.6056007111772601,[0.149],23.381954269909897,0.611,0.149,"(0,)",-3.7657857096238256,[0.135],19.302250043640413,0.135
24,1.4795918367346939,-3.614773426995991,-4.547011421723354,-0.5398395160351965,[0.134],21.375561301057868,0.626,0.134,"(0,)",-3.6877271515892387,[0.125],17.493368064808287,0.125
25,1.5204081632653061,-3.5325085844015183,-4.3386273883447615,-0.4740783208928674,[0.124],19.568198790458595,0.645,0.124,"(0,)",-3.6039137620627764,[0.12],15.817049712650942,0.12
26,1.5612244897959182,-3.443637367399171,-4.3216022788067825,-0.40831712590385294,[0.113],17.891115985741433,0.656,0.113,"(0,)",-3.5189367810879926,[0.115],14.185839733987763,0.115
27,1.6020408163265305,-3.349504264990637,-4.390109052161955,-0.34255593105567383,[0.108],16.325897045924734,0.681,0.108,"(0,)",-3.428797110602681,[0.1],12.657883188238339,0.1
28,1.6428571428571428,-3.2501184550971383,-4.173406819260005,-0.2767947360580254,[0.097],14.866687960570966,0.702,0.097,"(0,)",-3.3317268674581992,[0.0975],11.268538582782602,0.0975
29,1.683673469387755,-3.1462746260298946,-3.956704586705648,-0.21103354050839274,[0.094],13.496514080031933,0.715,0.094,"(0,)",-3.2287123754232385,[0.0825],9.992905048026339,0.0825
30,1.7244897959183672,-3.0385924702794767,-3.7400023546204326,-0.14527234427042846,[0.089],12.200833861494806,0.731,0.089,"(0,)",-3.1170258432183924,[0.075],8.888872582934006,0.075
31,1.7653061224489794,-2.9270892530497328,-3.52330012415728,-0.07951114805009651,[0.085],10.981042667379219,0.753,0.085,"(0,)",-3.000520166492273,[0.0675],7.877557992691876,0.0675
32,1.8061224489795917,-2.8129765893932737,-3.3065979043515346,-0.014458327304574858,[0.079],9.821880486191727,0.767,0.079,"(0,)",-2.877357875892749,[0.06],6.996026445108969,0.06
33,1.846938775510204,-2.7829273773402887,-3.1897224465088154,-7.978240290640315e-11,[0.075],8.70479961317934,0.787,0.075,"(0,)",-2.8468918773688943,[0.0525],6.212904122049842,0.0525
34,1.8877551020408163,-2.774344615202402,-3.099237715397159,0.0,[0.064],7.663992943477292,0.805,0.064,"(0,)",-2.838070905175818,[0.0425],5.541453962919224,0.0425
35,1.9285714285714284,-2.7634066619999365,-3.0087529821274237,0.0,[0.06],6.750899894038976,0.822,0.06,"(0,)",-2.827965653843408,[0.035],4.986397695910404,0.035
36,1.9693877551020407,-2.7524399086963114,-2.918268248802467,0.0,[0.054],5.917300110072912,0.838,0.054,"(0,)",-2.8176820005823515,[0.035],4.464838950452824,0.035
37,2.010204081632653,-2.740784227063761,-2.9078705242679233,0.0,[0.045],5.168813647412451,0.854,0.045,"(0,)",-2.80696682606817,[0.03],3.982265382010343,0.03
38,2.0510204081632653,-2.726975056492992,-2.9042999905037963,7.7265305264973e-11,[0.041],4.5275007867109,0.86,0.041,"(0,)",-2.7955254919953334,[0.03],3.5236732720080934,0.03
39,2.091836734693877,-2.7105477705320853,-2.916030731704913,5.78102010706516e-11,[0.034],3.983725892187201,0.875,0.034,"(0,)",-2.784084160068712,[0.0275],3.0752050507052444,0.0275
40,2.13265306122449,-2.69132598417557,-2.7623058813220815,0.0,[0.031],3.504138957206199,0.89,0.031,"(0,)",-2.7726428286485714,[0.02],2.694120480533336,0.02
41,2.1734693877551017,-2.670520129317679,-2.584914086467845,0.0,[0.025],3.0857853933733517,0.904,0.025,"(0,)",-2.7612014972151995,[0.02],2.3702317320640094,0.02
42,2.2142857142857144,-2.647256554699719,-2.504174976124042,0.0,[0.024],2.727965086438806,0.916,0.024,"(0,)",-2.7497601673879166,[0.02],2.0463429803668562,0.02
43,2.2551020408163263,-2.622913867437422,-2.423435865616601,0.0,[0.023],2.378977570641691,0.922,0.023,"(0,)",-2.7383188358824073,[0.0175],1.7405794159205912,0.0175
44,2.2959183673469385,-2.598408837693245,-2.342696755015959,0.0,[0.019],2.065513236717585,0.93,0.019,"(0,)",-2.7253032483729553,[0.015],1.4679628610409026,0.015
45,2.336734693877551,-2.572594707902602,-2.261957644055843,0.0,[0.019],1.789949575701512,0.932,0.019,"(0,)",-2.7116484943937507,[0.015],1.2215100342762775,0.015
46,2.377551020408163,-2.5456244164006314,-2.181218534174077,0.0,[0.016],1.5322804363731402,0.941,0.016,"(0,)",-2.6978097364035,[0.015],0.9750572087924537,0.015
