,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,Rho
0,0,247.75975989326352,-4.556914090547921,[0.05],21.727400616469893,0.05,34.835334350106265,[22.72740062],1,0.0,tensor(-886.3686),"[np.float64(0.565849865975846), np.float64(9.158221855617407), np.float64(0.0), np.float64(2.4632301143860813)]",1.0
1,1,922.6718324512067,-4.683943092519161,[0.06],26.10551791746352,0.06,34.882374839399645,[22.72740062],1,9.99999999988718e-05,tensor(-244.1646),"[np.float64(0.5660292933213249), np.float64(9.158081039835924), np.float64(0.00039999999998806794), np.float64(2.463387229898512)]",1.0
2,2,914.3178439372757,-4.676142023444999,[0.06],25.932871740641776,0.06,34.926215849883235,[22.72740062],1,0.0001843689448869773,tensor(-243.3014),"[np.float64(0.5661978447712369), np.float64(9.1579494389915), np.float64(0.0007775133343683658), np.float64(2.4635343932377536)]",1.0
3,3,905.7297236783124,-4.668091142866182,[0.06],25.754738197340277,0.06,34.9715719584882,[22.72740062],1,0.0002637695400451015,tensor(-242.4107),"[np.float64(0.5663714487736702), np.float64(9.157813666130462), np.float64(0.0011653985659706336), np.float64(2.463686078769646)]",1.0
4,4,897.0327197212373,-4.659907249342476,[0.06],25.573670303599226,0.06,35.017741161700265,[22.72740062],1,0.00034116161046843934,tensor(-241.5054),"[np.float64(0.5665477913928414), np.float64(9.157675689859849), np.float64(0.0015587708658211014), np.float64(2.4638401696180017)]",1.0
5,5,888.283868445081,-4.651643417037693,[0.06],25.39082956187518,0.06,35.06441007004297,[22.72740062],1,0.00041773063919167415,tensor(-240.5912),"[np.float64(0.5667257900076008), np.float64(9.157536413200516), np.float64(0.0019554714388121), np.float64(2.463995690179058)]",1.0
6,6,879.5129865415499,-4.643327376173968,[0.06],25.206822560025177,0.06,35.11141631810446,[22.72740062],1,0.0004940378260983011,tensor(-239.6711),"[np.float64(0.5669048735204717), np.float64(9.157396309166192), np.float64(0.0023543873627269716), np.float64(2.4641521295191504)]",1.0
7,7,870.7376013251558,-4.634975438148307,[0.06],25.0220057299692,0.06,35.158665042482326,[22.72740062],1,0.000570373791020618,tensor(-238.7470),"[np.float64(0.5670847041717109), np.float64(9.157255656326194), np.float64(0.002754875430175746), np.float64(2.464309187361113)]",1.0
8,8,861.96894018939,-4.626598073065822,[0.06],24.83660750632351,0.06,35.20609575862519,[22.72740062],1,0.0006468961266405198,tensor(-237.8200),"[np.float64(0.5672650642625164), np.float64(9.157114633623507), np.float64(0.0031565327184648684), np.float64(2.4644666714642414)]",1.0
9,9,853.2146747578734,-4.618202461587714,[0.06],24.650784239600974,0.06,35.253667280727626,[22.72740062],1,0.0007236912994087264,tensor(-236.8909),"[np.float64(0.5674458039258751), np.float64(9.156973363852074), np.float64(0.0035590913741128678), np.float64(2.464624450483829)]",1.0
10,10,844.4803164926509,-4.609793791043052,[0.06],24.464648601500745,0.06,35.30135008571546,[22.72740062],1,0.0008008054415029625,tensor(-235.9602),"[np.float64(0.5676268144839497), np.float64(9.156831935764039), np.float64(0.003962365033833848), np.float64(2.464782429972651)]",1.0
11,11,835.7699862151958,-4.601375968961012,[0.06],24.278285228885757,0.06,35.34912211691848,[22.72740062],1,0.000878260827698727,tensor(-235.0284),"[np.float64(0.5678080137401523), np.float64(9.156690416248544), np.float64(0.004366219195856157), np.float64(2.4649405391478614)]",1.0
12,12,827.0868662229329,-4.592952041752016,[0.06],24.091759903108915,0.06,35.39696632647773,[22.72740062],1,0.0009560651935379288,tensor(-234.0958),"[np.float64(0.5679893373321803), np.float64(9.15654885748213), np.float64(0.004770553833289661), np.float64(2.4650987231212684)]",1.0
13,13,818.4334802465497,-4.584524453547351,[0.06],23.905125225982538,0.06,35.44486915792782,[22.72740062],1,0.0010342172368472636,tensor(-233.1626),"[np.float64(0.5681707333813423), np.float64(9.156407301348176), np.float64(0.0051752926401870125), np.float64(2.465256938093886)]",1.0
14,14,809.8118742378638,-4.576095212896369,[0.06],23.71842427919089,0.06,35.492819568504665,[22.72740062],1,0.0011127099785930557,tensor(-232.2291),"[np.float64(0.5683521590418588), np.float64(9.156265782286438), np.float64(0.005580376039849487), np.float64(2.4654151482573163)]",1.0
15,15,801.2237372573541,-4.567666004192606,[0.06],23.531693066467874,0.06,35.540808377402975,[22.72740062],1,0.0011915328728475403,tensor(-231.2955),"[np.float64(0.568533578196429), np.float64(9.156124329193702), np.float64(0.005985756602753056), np.float64(2.465573323725127)]",1.0
16,16,792.6704851220422,-4.559238264247779,[0.06],23.344962200073766,0.06,35.58882781602615,[22.72740062],1,0.0012706731607685005,tensor(-230.3618),"[np.float64(0.5687149598671515), np.float64(9.15598296673571), np.float64(0.006391395751575028), np.float64(2.465731439107289)]",1.0
17,17,784.1533194023931,-4.550813236580571,[0.06],23.15825808677607,0.06,35.636871211969385,[22.72740062],1,0.001350116754723505,tensor(-229.4283),"[np.float64(0.5688962770959324), np.float64(9.155841716270247), np.float64(0.00679726160958445), np.float64(2.4658894725060057)]",1.0
18,18,775.6732705214347,-4.5423920106494915,[0.06],22.9716037921465,0.06,35.684932758864655,[22.72740062],1,0.0014298488234609197,tensor(-228.4950),"[np.float64(0.5690775061305869), np.float64(9.155700596518678), np.float64(0.007203327329776197), np.float64(2.4660474047873913)]",1.0
19,19,767.2312295963875,-4.53397555083114,[0.06],22.78501967678025,0.06,35.73300734697903,[22.72740062],1,0.0015098541832691298,tensor(-227.5621),"[np.float64(0.5692586258253243), np.float64(9.155559624060585), np.float64(0.007609569893331651), np.float64(2.466205219043708)]",1.0
20,20,758.9219401608509,-4.525551943465494,[0.055],22.600596982643655,0.055,35.78109043604816,[22.72740062],1.001,0.0015901175611049605,tensor(-203.9760),"[np.float64(0.5694396171909107), np.float64(9.155418813705298), np.float64(0.008015969228001203), np.float64(2.4663629001916276)]",1.0
21,21,761.2099049852243,-4.295304737387179,[0.07],22.63004453843464,0.07,35.82872737385408,[22.72740062],1.001,0.0016699840415803947,tensor(-272.2805),"[np.float64(0.5696199822165923), np.float64(9.15527879577751), np.float64(0.00842098428239774), np.float64(2.4665198075213026)]",1.0
22,22,753.6376690257897,-4.287964408259103,[0.07],22.461387992729872,0.07,35.87611521597308,[22.72740062],1.001,0.0017514119810322277,tensor(-271.2675),"[np.float64(0.5697984334270788), np.float64(9.155139859727715), np.float64(0.00881665895231914), np.float64(2.466675653494966)]",1.0
23,23,746.0718205546588,-4.2808450792917805,[0.07],22.29225013550827,0.07,35.92300394076177,[22.72740062],1.001,0.0018342094742444391,tensor(-270.2517),"[np.float64(0.5699749937794987), np.float64(9.155001989948888), np.float64(0.00920380636630773), np.float64(2.4668304361081934)]",1.0
24,24,738.5225862027263,-4.273925527080042,[0.07],22.122853707397166,0.07,35.96941348689839,[22.72740062],1.001,0.0019182090664042835,tensor(-269.2343),"[np.float64(0.5701497162979094), np.float64(9.154865156206473), np.float64(0.009583268626890778), np.float64(2.4669841721635812)]",1.0
25,25,730.9977437585148,-4.26718654704626,[0.07],21.953369811875547,0.07,36.0153670537019,[22.72740062],1.001,0.002003264044719806,tensor(-268.2163),"[np.float64(0.5703226721928454), np.float64(9.154729319475065), np.float64(0.009955870489845224), np.float64(2.467136890497529)]",1.0
26,26,723.5032253090106,-4.260610760632534,[0.07],21.78393055664077,0.07,36.0608894970784,[22.72740062],1.001,0.0020892454019712397,tensor(-267.1987),"[np.float64(0.570493943082922), np.float64(9.154594435813427), np.float64(0.010322393778759268), np.float64(2.4672886273810257)]",1.0
27,27,716.0435526465947,-4.2541824399529675,[0.07],21.614638174566625,0.07,36.106006263173136,[22.72740062],1.001,0.002176039329977378,tensor(-266.1819),"[np.float64(0.5706636158259146), np.float64(9.154460458960386), np.float64(0.0106835644927155), np.float64(2.4674394233737633)]",1.0
28,28,708.622158633166,-4.247887349096204,[0.07],21.445571756172622,0.07,36.150742672442874,[22.72740062],1.001,0.002263545134865685,tensor(-265.1665),"[np.float64(0.5708317790560913), np.float64(9.154327342076863), np.float64(0.01104004713652154), np.float64(2.4675893211472792)]",1.0
29,29,701.2416280785083,-4.241712601279852,[0.07],21.27679229815225,0.07,36.195123446157226,[22.72740062],1.001,0.0023516734910231977,tensor(-264.1528),"[np.float64(0.5709985208596049), np.float64(9.154195038912512), np.float64(0.011392443736304466), np.float64(2.4677383639843744)]",1.0
30,30,693.9038808799808,-4.235646530417671,[0.07],21.108346545187015,0.07,36.23917239797927,[22.72740062],1.001,0.002440344969214044,tensor(-263.1411),"[np.float64(0.5711639272288), np.float64(9.154063504574312), np.float64(0.011741295509192038), np.float64(2.46788659474735)]",1.0
31,31,686.6103130581577,-4.229678575582715,[0.07],20.940269952716555,0.07,36.28291223969682,[22.72740062],1.001,0.0025294887883485595,tensor(-262.1317),"[np.float64(0.5713280810527496), np.float64(9.153932696020217), np.float64(0.012087085972817716), np.float64(2.4680340551747695)]",1.0
32,32,679.3619061121948,-4.223799177060373,[0.07],20.77258898775474,0.07,36.32636447009455,[22.72740062],1.001,0.0026190417510205117,tensor(-261.1246),"[np.float64(0.571491061481619), np.float64(9.15380257235992), np.float64(0.012430244959601532), np.float64(2.468180785423137)]",1.0
33,33,672.1577423875854,-4.218578318221388,[0.07],20.605264694722578,0.07,36.36954931989467,[22.72740062],1.001,0.002708947331073118,tensor(-260.1196),"[np.float64(0.5716529435556065), np.float64(9.15367309502057), np.float64(0.012771152983609516), np.float64(2.468326823770153)]",1.0
34,34,665.0008525720875,-4.215276827425838,[0.07],20.438322574845294,0.07,36.41248437229056,[22.72740062],1.001,0.0027991548781855337,tensor(-259.1170),"[np.float64(0.5718137947457675), np.float64(9.15354423015998), np.float64(0.013110131807992427), np.float64(2.468472203168217)]",1.0
35,35,657.890485906728,-4.2120413421008935,[0.07],20.271820133464658,0.07,36.455187472018174,[22.72740062],1.001,0.0028896189410243726,tensor(-258.1170),"[np.float64(0.5719736818614098), np.float64(9.153415943691469), np.float64(0.01344747780675231), np.float64(2.468616958125809)]",1.0
36,36,650.8266363019361,-4.208864440963826,[0.07],20.105762059291102,0.07,36.49767520301206,[22.72740062],1.001,0.002980298685509937,tensor(-257.1196),"[np.float64(0.5721326673458371), np.float64(9.153288203917324), np.float64(0.01378345061247994), np.float64(2.4687611209379208)]",1.0
37,37,643.8091692408702,-4.2057394566066275,[0.07],19.940150102703974,0.07,36.53996293541747,[22.72740062],1.001,0.0030711573796702095,tensor(-256.1249),"[np.float64(0.5722908093822202), np.float64(9.1531609814533), np.float64(0.014118276931691294), np.float64(2.468904721711279)]",1.0
38,38,636.8378516983785,-4.202660401086477,[0.07],19.77498372354829,0.07,36.58206487899007,[22.72740062],1.001,0.0031621619429680822,tensor(-255.1330),"[np.float64(0.5724481620480575), np.float64(9.15303424912812), np.float64(0.01445215401381992), np.float64(2.4690477884199056)]",1.0
39,39,629.9123738645222,-4.199621898883839,[0.07],19.610260559964235,0.07,36.6239941470936,[22.72740062],1.001,0.0032532825507924426,tensor(-254.1436),"[np.float64(0.5726047754890944), np.float64(9.15290798187731), np.float64(0.01478525301047541), np.float64(2.4691903469919945)]",1.0
40,40,623.0323679915496,-4.196619125683912,[0.07],19.445976840245997,0.07,36.6657628156525,[42.19282343],1.001,0.0033444922863511187,tensor(-253.1569),"[np.float64(0.5727606961154501), np.float64(9.152782156625358), np.float64(0.015117721812117037), np.float64(2.4693324213923935)]",1.0
41,41,463.35491593698305,-4.677497042898578,[0.035],10.01838866955974,0.035,36.699856014280236,[42.19282343],1.001,0.0034357668334733453,tensor(-130.5531),"[np.float64(0.5729159668032124), np.float64(9.15265675216779), np.float64(0.015449687859584126), np.float64(2.4694740337291683)]",1.0
42,42,459.05021196829995,-4.673261323248015,[0.035],9.93470028102901,0.035,36.74139936374236,[42.19282343],1.001,0.00352333337407033,tensor(-130.3436),"[np.float64(0.573070084521862), np.float64(9.152532799553967), np.float64(0.01578605788175129), np.float64(2.469613373499898)]",1.0
43,43,454.32046915329954,-4.66864600833508,[0.035],9.842734764667059,0.035,36.78280802352897,[42.19282343],1.001,0.00360755597167503,tensor(-130.1135),"[np.float64(0.5732228243947616), np.float64(9.152410350160384), np.float64(0.016122741273533706), np.float64(2.469750369917238)]",1.0
44,44,450.42239031020546,-4.663709582799549,[0.03],9.766635979166868,0.03,36.823948019567815,[42.19282343],1.001,0.003688764577244145,tensor(-103.9385),"[np.float64(0.5733740313701474), np.float64(9.15228942750365), np.float64(0.016457685994141696), np.float64(2.4698850097055667)]",1.0
45,45,446.6460417633104,-4.65907776786268,[0.03],9.692711538002321,0.03,36.863959224302384,[42.19282343],1.001,0.0037663672414508425,tensor(-103.7905),"[np.float64(0.57352127954516), np.float64(9.152171707299264), np.float64(0.01678389001563441), np.float64(2.4700156020622384)]",1.0
46,46,442.79965559815224,-4.654365013033696,[0.03],9.61736724029447,0.03,36.902920643059474,[42.19282343],1.001,0.0038407141355241417,tensor(-103.6396),"[np.float64(0.5736648523715241), np.float64(9.152056938976397), np.float64(0.017102019724388417), np.float64(2.470142455297554)]",1.0
47,47,438.89209170575276,-4.649542160941044,[0.03],9.540774966903289,0.03,36.94091222448918,[42.19282343],1.001,0.003912123625479782,tensor(-103.4863),"[np.float64(0.5738050257607018), np.float64(9.151944884253682), np.float64(0.01741282525685484), np.float64(2.4702658664450583)]",1.0
48,48,434.9316342920714,-4.6446214468746385,[0.03],9.463085822385386,0.03,36.97800960171195,[42.19282343],1.001,0.003980885098853488,tensor(-103.3307),"[np.float64(0.57394205726573), np.float64(9.15183532357745), np.float64(0.017717053597793513), np.float64(2.470386111102237)]",1.0
49,49,430.92558050862334,-4.639613765093887,[0.03],9.384432899462384,0.03,37.014283946778214,[42.19282343],1.001,0.004047261540664026,tensor(-103.1733),"[np.float64(0.5740761868213738), np.float64(9.151728054785842), np.float64(0.01801542830637908), np.float64(2.4705034445162446)]",1.0
50,50,426.880366904392,-4.63452882265104,[0.03],9.304933605771607,0.03,37.04980194810649,[42.19282343],1.001,0.004111491881673772,tensor(-103.0141),"[np.float64(0.5742076375516242), np.float64(9.15162289184864), np.float64(0.01830863687109834), np.float64(2.470618102719059)]",1.0
51,51,424.84049057720614,-4.631952353461032,[0.03],9.264817999787889,0.03,37.06720963013154,[42.19282343],1.001,0.004142642510655229,tensor(-102.9338),"[np.float64(0.5742721206001693), np.float64(9.151571277758354), np.float64(0.018452844467719744), np.float64(2.470674202512153)]",1.0
