,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-5.889049873467243,-8.691987594860207,-0.5700151825058217,[0.299],27.520382815865865,0.135,0.299,"(0,)",-5.90558117057544,[0.33],26.923463601136234,0.33
1,0.5408163265306123,-5.868146284475021,-8.541863435799002,-0.5241634636189296,[0.282],25.46145492082559,0.158,0.282,"(0,)",-5.89662170084969,[0.3175],24.69750876162043,0.3175
2,0.5816326530612245,-5.841124111678774,-8.265849995728388,-0.478311744672137,[0.27],23.523074270518496,0.177,0.27,"(0,)",-5.881106281763474,[0.2925],22.61059516322615,0.2925
3,0.6224489795918368,-5.808731005493267,-7.989836555655586,-0.4324600259093101,[0.257],21.694171112133954,0.201,0.257,"(0,)",-5.856414305742082,[0.2725],20.707212926592884,0.2725
4,0.6632653061224489,-5.771427865418497,-7.713823115621651,-0.38660830709566607,[0.248],19.96179569146803,0.225,0.248,"(0,)",-5.822665296100959,[0.2525],18.984971342348473,0.2525
5,0.7040816326530612,-5.729674111245821,-7.4378096756333925,-0.34075658834699096,[0.232],18.327403926929293,0.253,0.232,"(0,)",-5.78292816132569,[0.245],17.377220708906734,0.245
6,0.7448979591836735,-5.68358157374582,-7.316886061542238,-0.2949048696479206,[0.216],16.785052588409464,0.278,0.216,"(0,)",-5.740012563362091,[0.235],15.832590180171312,0.235
7,0.7857142857142857,-5.63220075676609,-7.228739438301538,-0.35838192225930104,[0.207],15.351802870927461,0.297,0.207,"(0,)",-5.69040874606402,[0.215],14.427334913186492,0.215
8,0.8265306122448979,-5.576232434299145,-7.140592816520304,-0.7109586398109385,[0.192],14.028312736003919,0.324,0.192,"(0,)",-5.635560553942523,[0.2025],13.112191382657663,0.2025
9,0.8673469387755102,-5.516139580599535,-7.052446195527004,-0.9158049042828752,[0.176],12.799886291284439,0.357,0.176,"(0,)",-5.578911998539098,[0.1925],11.882891098387956,0.1925
10,0.9081632653061225,-5.461407675086749,-6.964299574844507,-0.790475711985986,[0.162],11.679885485129292,0.377,0.162,"(0,)",-5.531995183153897,[0.1825],10.726560473436205,0.1825
11,0.9489795918367346,-5.404841388664915,-6.876152954139332,-0.5935745067809337,[0.153],10.63040615071714,0.405,0.153,"(0,)",-5.480820787956461,[0.16],9.682953671600005,0.16
12,0.9897959183673469,-5.345727467584001,-6.788006333183713,-0.39667330149292557,[0.144],9.644091213797557,0.428,0.144,"(0,)",-5.426993438562329,[0.155],8.728686216489116,0.155
13,1.030612244897959,-5.284427299920353,-6.699859711827109,-0.1997720958387299,[0.137],8.719831346844687,0.453,0.137,"(0,)",-5.369589574552715,[0.1425],7.860142260503056,0.1425
14,1.0714285714285714,-5.2216145095763045,-6.611713089974327,-0.17559099054478722,[0.128],7.841485441421662,0.479,0.128,"(0,)",-5.308642096844295,[0.1225],7.0841795752258285,0.1225
15,1.1122448979591835,-5.1611868811366115,-6.523566467570099,-0.16785362300873796,[0.12],7.015127929134821,0.498,0.12,"(0,)",-5.2516549282202165,[0.1175],6.362487424564227,0.1175
16,1.1530612244897958,-5.0989075996169095,-6.435419844586519,-0.1601162554628095,[0.106],6.26372510916039,0.521,0.106,"(0,)",-5.1923031953236425,[0.11],5.680557961155518,0.11
17,1.193877551020408,-5.034640732414139,-6.347273221015463,-0.1523788879732635,[0.097],5.617822921212572,0.545,0.097,"(0,)",-5.129931393683612,[0.0975],5.054002040423474,0.0975
18,1.2346938775510203,-4.969730303252809,-6.2591265962110505,-0.14464152053522117,[0.095],4.993589326014228,0.566,0.095,"(0,)",-5.06427910872309,[0.085],4.51665319548648,0.085
19,1.2755102040816326,-4.903524062286927,-6.170979970696578,-0.13690415316450721,[0.083],4.404768166677019,0.589,0.083,"(0,)",-4.9972918961378685,[0.075],4.066169654432869,0.075
20,1.316326530612245,-4.835172198516033,-6.082833346565501,-0.12916678587209596,[0.073],3.8920849410227665,0.614,0.073,"(0,)",-4.928992651561284,[0.07],3.665065857250761,0.07
21,1.3571428571428572,-4.764835040625429,-5.994686721286602,-0.12142941865312373,[0.067],3.414361470670462,0.639,0.067,"(0,)",-4.8603085408440085,[0.0575],3.2870120907438505,0.0575
22,1.3979591836734693,-4.69244067777344,-5.906540096004118,-0.11369205149500239,[0.06],2.9694295855894355,0.669,0.06,"(0,)",-4.790386006609275,[0.055],2.9396581869939507,0.055
23,1.4387755102040816,-4.618227184256316,-5.818393470362146,-0.10595468437482491,[0.052],2.5894226969950567,0.689,0.052,"(0,)",-4.7203077517915,[0.055],2.593373007146471,0.055
24,1.4795918367346939,-4.5422932458273575,-5.7302468441330205,-0.09821731723538107,[0.044],2.2703251927803114,0.716,0.044,"(0,)",-4.646491473364721,[0.0425],2.321848287634863,0.0425
25,1.5204081632653061,-4.465745107412058,-5.642100217183533,-0.09047995008171394,[0.041],1.9967478891832722,0.737,0.041,"(0,)",-4.570920995362148,[0.04],2.0737866088445167,0.04
26,1.5612244897959182,-4.388433069232078,-5.553953589446426,-0.08274258289228476,[0.036],1.7470085735704433,0.757,0.036,"(0,)",-4.494104579682012,[0.0325],1.8621132717906088,0.0325
27,1.6020408163265305,-4.310324304745652,-5.465806960896899,-0.07500521562861584,[0.033],1.5230572874561636,0.773,0.033,"(0,)",-4.4162733013772115,[0.0275],1.6741732459324505,0.0275
28,1.6428571428571428,-4.232075187363787,-5.37766033153245,-0.06726784830007748,[0.031],1.3250196078445575,0.794,0.031,"(0,)",-4.337831009433219,[0.025],1.5254844601511452,0.025
29,1.683673469387755,-4.153469710718983,-5.289513701357926,-0.0447946952940006,[0.027],1.149962252834107,0.822,0.027,"(0,)",-4.258429348030608,[0.0175],1.4432982919146249,0.0175
30,1.7244897959183672,-4.075504121701113,-5.201367070372768,-4.8475001790393435e-11,[0.024],1.0082811618556986,0.841,0.024,"(0,)",-4.179871008066616,[0.0175],1.3751894473834418,0.0175
31,1.7653061224489794,-3.9988171021411625,-5.113220438563289,0.0,[0.019],0.8899220335784114,0.857,0.019,"(0,)",-4.103550947848059,[0.0175],1.307109709610088,0.0175
32,1.8061224489795917,-3.922294741961691,-5.025073805897421,0.0,[0.018],0.7863091462365605,0.869,0.018,"(0,)",-4.027884348429762,[0.0175],1.239058613375187,0.0175
33,1.846938775510204,-3.8522751544258984,-4.936927172337619,0.0,[0.012],0.6935001521095622,0.877,0.012,"(0,)",-3.95822464364779,[0.015],1.1752056432672702,0.015
34,1.8877551020408163,-3.7816961482690714,-4.848780537800984,0.0,[0.011],0.6184660354010134,0.889,0.011,"(0,)",-3.8891058044509457,[0.01],1.12315472330803,0.01
35,1.9285714285714284,-3.719015851110733,-4.760633902224356,0.0,[0.011],0.5481809267885662,0.897,0.011,"(0,)",-3.8291462715863855,[0.01],1.0802752976534198,0.01
36,1.9693877551020407,-3.65745845204492,-4.672487260502507,0.0,[0.01],0.4785865441539111,0.906,0.01,"(0,)",-3.7707401033338805,[0.01],1.0374230434909677,0.01
37,2.010204081632653,-3.603420151397696,-4.58434062091159,0.0,[0.009],0.41461588196042287,0.911,0.009,"(0,)",-3.7195532795034785,[0.01],0.9945976884695195,0.01
