seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
5,0.5,5,0.01,10,1,-5.1986200526823305,0.1825,-5.296122386283118,0.149,0.00014618,0.3175,0.309
5,0.5408163265306123,5,0.01,10,1,-5.123197377870955,0.16,-5.207599811655991,0.133,0.00014618,0.365,0.349
5,0.5816326530612245,5,0.01,10,1,-5.037532608133797,0.14,-5.112055094152624,0.119,0.00014618,0.4025,0.392
5,0.6224489795918368,5,0.01,10,1,-4.949031519428827,0.1225,-5.018791777960648,0.108,0.00014618,0.44,0.438
5,0.6632653061224489,5,0.01,10,1,-4.8593731308895585,0.105,-4.927390815184264,0.096,0.00014618,0.4825,0.475
5,0.7040816326530612,5,0.01,10,1,-4.762021513632081,0.09,-4.82695918935444,0.082,0.00014618,0.5325,0.517
5,0.7448979591836735,5,0.01,10,1,-4.6732448909745505,0.0725,-4.735191910519668,0.069,0.00014618,0.5675,0.556
5,0.7857142857142857,5,0.01,10,1,-4.593551386064811,0.0675,-4.652691296254619,0.063,0.00014618,0.595,0.595
5,0.8265306122448979,5,0.01,10,1,-4.512763901832679,0.065,-4.566351632166026,0.052,0.00014618,0.62,0.63
5,0.8673469387755102,5,0.01,10,1,-4.429364978259737,0.0575,-4.4782793125812335,0.046,0.00014618,0.6675,0.666
5,0.9081632653061225,5,0.01,10,1,-4.347931077953842,0.0525,-4.391090892714673,0.04,0.00014618,0.6975,0.695
5,0.9489795918367346,5,0.01,10,1,-4.2715024642703945,0.05,-4.307685153505074,0.032,0.00014618,0.7325,0.733
5,0.9897959183673469,5,0.01,10,1,-4.195782955800143,0.045,-4.223873662306487,0.026,0.00014618,0.76,0.764
5,1.030612244897959,5,0.01,10,1,-4.119152867675134,0.035,-4.139014847899223,0.026,0.00014618,0.7975,0.787
5,1.0714285714285714,5,0.01,10,1,-4.04149212545417,0.025,-4.05486365250768,0.022,0.00014618,0.8225,0.818
5,1.1122448979591835,5,0.01,10,1,-3.9764836446196306,0.02,-3.9823235801600942,0.019,0.00014618,0.845,0.849
5,1.1530612244897958,5,0.01,10,1,-3.9105392445828375,0.0175,-3.909314860590198,0.018,0.00014618,0.86,0.867
5,1.193877551020408,5,0.01,10,1,-3.843055621644605,0.0075,-3.835993119793891,0.016,0.00014618,0.875,0.888
5,1.2346938775510203,5,0.01,10,1,-3.772658997882221,0.005,-3.7619788380952146,0.012,0.00014618,0.89,0.906
5,1.2755102040816326,5,0.01,10,1,-3.718696861438979,0.005,-3.70335813839639,0.011,0.00014618,0.9125,0.916
5,1.316326530612245,5,0.01,10,1,-3.6655112723329006,0.0025,-3.645042476713666,0.009,0.00014618,0.9225,0.925
5,1.3571428571428572,5,0.01,10,1,-3.6122417231195043,0.0025,-3.586241574836778,0.006,0.00014618,0.93,0.935
5,1.3979591836734693,5,0.01,10,1,-3.558447243498835,0.0,-3.5273278914109416,0.005,0.00014618,0.94,0.945
5,1.4387755102040816,5,0.01,10,1,-3.503037765509711,0.0,-3.4682145563508895,0.003,0.00014618,0.95,0.95
5,1.4795918367346939,5,0.01,10,1,-3.446917467924536,0.0,-3.408970009554584,0.003,0.00014618,0.96,0.957
5,1.5204081632653061,5,0.01,10,1,-3.389427936435676,0.0,-3.3497065250186338,0.003,0.00014618,0.9725,0.964
5,1.5612244897959182,5,0.01,10,1,-3.3299989179791827,0.0,-3.2903961753573165,0.003,0.00014618,0.975,0.971
5,1.6020408163265305,5,0.01,10,1,-3.2869406280930753,0.0,-3.2441369107202185,0.001,0.00014618,0.9825,0.978
5,1.6428571428571428,5,0.01,10,1,-3.253974335758195,0.0,-3.207008923326598,0.001,0.00014618,0.9825,0.981
5,1.683673469387755,5,0.01,10,1,-3.2247009947899175,0.0,-3.1746148645879013,0.001,0.00014618,0.985,0.986
5,1.7244897959183672,5,0.01,10,1,-3.2007415378819757,0.0,-3.1483909078505086,0.001,0.00014618,0.9925,0.988
5,1.7653061224489794,5,0.01,10,1,-3.179018507927678,0.0,-3.1243478701510248,0.0,0.00014618,0.9925,0.989
5,1.8061224489795917,5,0.01,10,1,-3.1563086178002835,0.0,-3.0998581254807114,0.0,0.00014618,0.9925,0.991
5,1.846938775510204,5,0.01,10,1,-3.132966820238135,0.0,-3.074587933125258,0.0,0.00014618,0.9925,0.991
5,1.8877551020408163,5,0.01,10,1,-3.1086021904881367,0.0,-3.0485390961704626,0.0,0.00014618,0.995,0.992
5,1.9285714285714284,5,0.01,10,1,-3.0839126066762135,0.0,-3.021313573338043,0.0,0.00014618,1.0,0.993
