,Rho,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.75,-6.554781879329402,-5.664939483582326,1.4895280785965634,-8.177166844575407,-0.2564730672437321,[0.231],94.66352604533127,0.262,0.231,"(0,)",-6.565074955007398,1.5151417704276855,-5.703293699493779,[0.2625],93.61751485668232,0.2625
1,0.826923076923077,-6.321630368279342,-5.580573730536738,1.3563442212432766,-8.021698847171182,-0.1836833808299423,[0.204],80.90011342067122,0.312,0.204,"(0,)",-6.336948816036271,1.3690883833129697,-5.628717224900402,[0.2175],79.24572577549095,0.2175
2,0.9038461538461537,-6.068298839443796,-5.488356420347003,2.48206231584573,-7.866230850110272,-0.22785053107226183,[0.188],68.45321543264969,0.367,0.188,"(0,)",-6.092329393413535,2.661369124756792,-5.537313185144931,[0.1975],67.284396675982,0.1975
3,0.9807692307692308,-5.79353400553454,-5.389377859897667,0.9117214662373689,-7.710762761887025,-0.20607192684559372,[0.165],57.54043428584722,0.428,0.165,"(0,)",-5.830192362537916,0.9828877471385682,-5.440303067755766,[0.175],56.56353111917523,0.175
4,1.0576923076923075,-5.5186265976343325,-5.276424971969098,0.8266787203487453,-7.55529475010789,-0.12142313182461195,[0.145],48.3106007689567,0.473,0.145,"(0,)",-5.5679142439997165,0.8896802640796995,-5.329387841421327,[0.1575],47.41822314765478,0.1575
5,1.1346153846153846,-5.233636645089329,-5.17528465092738,0.7589637327445132,-7.399826738346217,-0.03677433537374397,[0.125],40.311147254189756,0.521,0.125,"(0,)",-5.295658607811879,0.8191589392745247,-5.238600750884525,[0.1475],38.986087407822076,0.1475
6,1.2115384615384617,-4.900650916997694,-5.068613440691124,1.2111017924174705,-7.244358726627349,0.0,[0.105],33.65899024308522,0.569,0.105,"(0,)",-4.974911761991726,1.4266599101352888,-5.142172684164686,[0.1275],31.69482151650108,0.1275
7,1.2884615384615385,-4.538806384349154,-4.959416665291739,1.1671142853369978,-7.0888907149458,0.0,[0.093],27.767280572233346,0.607,0.093,"(0,)",-4.625855122265154,1.3822150441762038,-5.041486616582214,[0.1],25.852078619032614,0.1
8,1.3653846153846154,-4.176961875143484,-4.8437527043641815,1.1107446513723092,-6.933422703308896,0.0,[0.076],22.907413725608123,0.645,0.076,"(0,)",-4.276798502222773,1.3894647421907238,-4.930707724530015,[0.0725],21.262597380080926,0.0725
9,1.442307692307692,-3.8151173373364258,-4.723963370961253,1.0891018129950176,-6.77795469172918,0.0,[0.064],18.926325034109563,0.69,0.064,"(0,)",-3.927741858571432,1.3470378961420253,-4.812099964383844,[0.0675],17.527726342123287,0.0675
