seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
9,0.5,9,0.15,1,1,0.744089986639973,0.145,0.8247545166551014,0.174,0.000242207,0.34,0.329,-5.705644773587874,-5.7008426782004475,-5.21342443561625
9,0.5512820512820513,9,0.15,1,1,0.6026863141486076,0.12,0.5743960786280008,0.151,0.000242207,0.4,0.383,-5.338925876275933,-5.326410733448308,-5.125280890552599
9,0.6025641025641025,9,0.15,1,1,0.5854988310151329,0.0975,0.5005303661529632,0.134,0.000242207,0.45,0.432,-4.970972145864081,-4.950467932650771,-5.026200487183373
9,0.6538461538461539,9,0.15,1,1,1.093593677678635,0.0875,0.8120543114379889,0.114,0.000242207,0.5175,0.48,-4.54511882649711,-4.5090806429854595,-4.916612370399716
9,0.7051282051282051,9,0.15,1,1,1.07971586632077,0.0775,0.771529284919329,0.1,0.000242207,0.565,0.526,-4.097285465656534,-4.041552841599627,-4.800048960869581
9,0.7564102564102564,9,0.15,1,1,1.0914290171158998,0.065,0.7299218788624672,0.08,0.000242207,0.615,0.591,-3.6494521040344305,-3.5740250397321907,-4.67550319402593
9,0.8076923076923077,9,0.15,1,1,1.1105125588164222,0.0525,0.6794697166298181,0.065,0.000242207,0.66,0.633,-3.2016187378237952,-3.1064972321817104,-4.5442355822691525
9,0.858974358974359,9,0.15,1,1,1.1112559403584275,0.045,0.6480927425076376,0.052,0.000242207,0.7025,0.671,-2.750239905153231,-2.635187593548981,-4.415706318644095
9,0.9102564102564102,9,0.15,1,1,1.1119333771639135,0.0325,0.6320465523583444,0.045,0.000242207,0.7275,0.717,-2.26306303610413,-2.1285705861421484,-4.310372404315882
9,0.9615384615384615,9,0.15,1,1,1.1123109932056363,0.0275,0.6243734924020982,0.035,0.000242207,0.7625,0.75,-1.739881108054049,-1.5880357915734977,-4.2084774516893635
9,1.0128205128205128,9,0.15,1,1,1.1375643619177496,0.0225,0.644453320162167,0.023,0.000242207,0.7825,0.781,-1.2082850858345098,-1.0395917539855832,-4.105413428275187
