,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.6000000000000001,0.0,-6.934565591970041,-5.550138862314994,1.8460211876033494,-8.45301330650212,-0.30535695032106247,[0.305],28.89535954328406,0.191,0.305,"(0,)",0.0,-6.932556293167621,4.1520888992719165,-5.698833828797036,[0.3],25.88143341686101,0.3
1,0.6807692307692308,0.0,-6.683632683560498,-5.503378955669584,1.6634595031321613,-8.317584070710048,-0.29061419027460644,[0.272],25.066387115696326,0.242,0.272,"(0,)",0.0,-6.687414903638612,1.5041918578957834,-5.652947465889188,[0.265],22.208820522494644,0.265
2,0.7615384615384615,0.0,-6.432699769181727,-5.438680938070267,1.4764932712361158,-8.182154760401623,-0.2758714302249423,[0.251],21.62434562486839,0.28,0.251,"(0,)",0.0,-6.442273506357245,1.3442137118363617,-5.589020931694265,[0.24],18.95389606072203,0.24
3,0.8423076923076923,0.0,-6.181766887295715,-5.358000356605269,1.3273117689253118,-8.046725506368876,-0.261128670171372,[0.226],18.526011075270894,0.325,0.226,"(0,)",0.0,-6.197132142453874,1.1687954338429836,-5.504021321755642,[0.2025],16.110296672031694,0.2025
4,0.9230769230769231,0.0,-5.930833952140579,-5.264193640665175,1.1974675522239815,-7.911296252345245,-0.3233987745641622,[0.207],15.724366582028201,0.371,0.207,"(0,)",0.0,-5.9519907257879545,1.010321272924701,-5.402933412588746,[0.19],13.588462382000152,0.19
5,1.0038461538461538,0.0,-5.679901043526553,-5.15513915423885,1.0914994310357944,-7.775866998338309,-0.23641222848880528,[0.174],13.259699164249644,0.434,0.174,"(0,)",0.0,-5.7068493353643,0.8548729043074924,-5.286861099611726,[0.1625],11.374898103996689,0.1625
6,1.0846153846153848,0.0,-5.4135977087732465,-5.043615602882862,0.7914133652355121,-7.640437744356319,-0.14942568234304376,[0.15],11.209766621454678,0.492,0.15,"(0,)",0.0,-5.447858794486422,0.6537740944394933,-5.174201891147991,[0.14],9.478242650586541,0.14
7,1.1653846153846155,0.0,-5.106440870724511,-4.93711070317867,0.7320436182517494,-7.5050084904325125,-0.06243913552352143,[0.134],9.422012596921567,0.527,0.134,"(0,)",0.0,-5.155168225949384,0.5939076642361498,-5.0571643058188105,[0.125],7.923539614731032,0.125
8,1.2461538461538462,1.956754758225543e-10,-4.786710688294347,-4.82150607843661,1.1621912602643576,-7.369579236564828,0.0,[0.116],7.919039934184156,0.578,0.116,"(0,)",1.956754758225543e-10,-4.851047344341748,1.0309859847433338,-4.931433510482187,[0.0975],6.605606970653856,0.0975
9,1.326923076923077,3.084100752559493e-10,-4.418844903656447,-4.702307535671752,1.1240397965167381,-7.2341499827693205,0.0,[0.099],6.656635646753806,0.628,0.099,"(0,)",3.084100752559493e-10,-4.499823298270437,0.9723226246205879,-4.8022119868928534,[0.085],5.49779525569853,0.085
10,1.4076923076923078,1.6709492678401716e-09,-4.037302084555055,-4.579166861167322,1.0861745977196002,-7.098720729069203,0.0,[0.086],5.598240289467251,0.67,0.086,"(0,)",1.6709492678401716e-09,-4.133334699474596,0.9135023721481127,-4.670909106011555,[0.075],4.523613002947881,0.075
