,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,1.0,2.371529141033399,-6.533768321387612,-4.17846501091503,10.314676534895991,-7.790019271353689,0.0,[0.279],52.61607513474344,0.386,0.279,"(0,)",2.371529141033399,-6.366682545083497,9.774764667537854,-4.132701702414018,[0.26],49.637547733533275,0.26
1,1.1346153846153848,0.8802653847260302,-5.894221177143047,-4.207692254039755,8.369567777056117,-7.6206168789543085,0.0,[0.227],40.712566445060965,0.467,0.227,"(0,)",0.8802653847260302,-5.738819903061015,7.959012327571623,-4.173588294838305,[0.23],37.85455706421795,0.23
2,1.2692307692307692,0.0,-5.254674049643003,-4.134636932001928,2.671007135259502,-6.612679020351077,-0.15372398171417512,[0.193],30.84344392409548,0.531,0.193,"(0,)",0.0,-5.1109572766330436,2.5395412844174636,-4.107486147011661,[0.18],28.267678972537556,0.18
3,1.4038461538461537,0.0,-4.615126891658445,-3.9803623543643267,2.1899446127312716,-5.788144478940519,-0.11847715288108951,[0.158],22.630128842730176,0.601,0.158,"(0,)",0.0,-4.483094624188471,2.1358969784577324,-3.922757345896853,[0.1375],21.045217461542872,0.1375
4,1.5384615384615385,0.0,-3.9755797123525753,-3.7304928798727173,1.754911038049885,-5.232607437852375,-0.08323031812128967,[0.117],16.346105326299497,0.663,0.117,"(0,)",0.0,-3.855231949501741,1.781844863373104,-3.6621569777071317,[0.11],15.277509422554719,0.11
5,1.6730769230769234,0.0,-3.3360325276694494,-3.4013257141155195,1.4159516939907502,-4.436604307836294,-0.28348462479787795,[0.087],11.662274577683752,0.731,0.087,"(0,)",0.0,-3.227369271701091,1.4611424629202707,-3.316697321365842,[0.075],11.173193736205295,0.075
6,1.807692307692308,0.0,-2.696485371522479,-3.0158295352863287,1.07019294894013,-3.6406011464030215,-0.07524763059134454,[0.066],8.09404918126425,0.796,0.066,"(0,)",0.0,-2.599506618294748,1.1701187924122114,-2.9258783641444586,[0.06],7.976065426042446,0.06
7,1.9423076923076923,3.687977701005707e-10,-1.551841328683787,-2.826156068200307,1.2356576714966976,-3.1789435069999996,0.0,[0.048],5.457607774805322,0.847,0.048,"(0,)",3.687977701005707e-10,-1.468667476648521,1.5349264756025496,-2.753690218432843,[0.045],5.46285869857887,0.045
8,2.076923076923077,2.6123663232624494e-09,-0.12140490688675987,-2.757245836443134,1.0710262709186467,-2.999257982887176,3.4206948384962743e-10,[0.035],3.5257695200898063,0.876,0.035,"(0,)",2.6123663232624494e-09,-0.05323571666603945,1.387449211584109,-2.70186760512175,[0.0275],3.8890766094414784,0.0275
9,2.2115384615384617,8.35020275147258e-10,1.3090315291723882,-2.67929050036791,0.939638696084608,-2.946359355163164,2.7043256523029413e-11,[0.024],2.0396361383726545,0.902,0.024,"(0,)",8.35020275147258e-10,1.3621960589290607,1.191644697177902,-2.635644938053267,[0.0225],2.725584416267918,0.0225
