seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
9,0.4,9,0.2,7,1,1.032613486599118,0.3925,0.666136577199449,0.411,0.000280451,0.13,0.104,-8.200565634923462,-8.237704528500977,-5.7465271880295274,6.020112990750082,5.179214808100887
9,0.44102564102564107,9,0.2,7,1,0.4974538226539229,0.365,0.32102426510477855,0.388,0.000280451,0.145,0.129,-8.026955172981463,-8.061327861719823,-5.780240492330173,5.485242694999393,4.688968014018527
9,0.48205128205128206,9,0.2,7,1,0.0,0.3425,0.0,0.371,0.000280451,0.1725,0.144,-7.853344713563537,-7.884951197366874,-5.8008018705159285,1.977977133583816,1.7088430233540137
9,0.5230769230769231,9,0.2,7,1,0.0,0.32,0.0,0.352,0.000280451,0.1875,0.165,-7.6797342512424756,-7.708574530136542,-5.806920955925771,1.804622581497242,1.6136602370371471
9,0.5641025641025641,9,0.2,7,1,0.0,0.29,0.0,0.33,0.000280451,0.2225,0.196,-7.506123789919971,-7.532197864001051,-5.801738135658843,1.6934597477914386,1.5124826075222504
9,0.6051282051282052,9,0.2,7,1,0.0,0.2775,0.0,0.313,0.000280451,0.245,0.223,-7.33251331715813,-7.355821186447771,-5.784273721448169,1.5575927246491912,1.3863814030345
9,0.6461538461538462,9,0.2,7,1,0.0,0.26,0.0,0.3,0.000280451,0.2725,0.246,-7.158902835538061,-7.179444496914736,-5.7589925856525115,1.4843038428830428,1.2803994812239041
9,0.6871794871794872,9,0.2,7,1,0.0,0.2375,0.0,0.284,0.000280451,0.315,0.273,-6.985292364850441,-7.0030678212589414,-5.726084144337259,1.3909768039004902,1.1803166856218787
9,0.7282051282051283,9,0.2,7,1,0.0,0.23,0.0,0.263,0.000280451,0.355,0.292,-6.811681894415824,-6.826691146007788,-5.683682667269588,1.2991272267756457,1.1025673154797084
9,0.7692307692307693,9,0.2,7,1,0.0,0.2125,0.0,0.246,0.000280451,0.375,0.318,-6.638071422814033,-6.650314469559495,-5.630384376335344,1.177839866268065,1.02371815022522
9,0.8102564102564103,9,0.2,7,1,0.0,0.2,0.0,0.233,0.000280451,0.3925,0.35,-6.464460951324558,-6.47393779313286,-5.569142234899236,1.0709698569999486,0.9359490131047118
9,0.8512820512820514,9,0.2,7,1,0.0,0.175,0.0,0.213,0.000280451,0.4175,0.382,-6.290850493530088,-6.297561130483404,-5.497829964394665,0.9536419003426051,0.8518116422797305
9,0.8923076923076924,9,0.2,7,1,0.0,0.16,0.0,0.194,0.000280451,0.4525,0.401,-6.117240006790944,-6.121184438666776,-5.41821179985636,0.8858505927840062,0.7751055759436314
9,0.9333333333333333,9,0.2,7,1,0.0,0.14,0.0,0.176,0.000280451,0.4775,0.436,-5.9436295376389,-5.9448077646396,-5.330832709061048,0.8058278143528603,0.7186396235908653
9,0.9743589743589743,9,0.2,7,1,0.0,0.13,0.0,0.159,0.000280451,0.505,0.464,-5.737607039351834,-5.734976594325235,-5.239830887891572,0.5988479208219473,0.5290912076270908
9,1.0153846153846153,9,0.2,7,1,1.7579160349612266e-11,0.1125,1.7579160349612266e-11,0.145,0.000280451,0.53,0.487,-5.4609248865313225,-5.454067367503955,-5.138697677090548,1.1225844706847876,0.9046270999654671
9,1.0564102564102564,9,0.2,7,1,8.82924844347599e-11,0.1,8.82924844347599e-11,0.127,0.000280451,0.55,0.523,-5.1680027614665445,-5.15340265507415,-5.037223053013199,1.0888171904305393,0.8750462099046035
9,1.0974358974358975,9,0.2,7,1,1.9857503419373757e-09,0.0875,1.9857503419373757e-09,0.116,0.000280451,0.5625,0.544,-4.857117532574731,-4.831182217843013,-4.930528142041027,1.084157559708265,0.8520175208456054
9,1.1384615384615384,9,0.2,7,1,1.3677178278825863e-09,0.0775,1.3677178278825863e-09,0.102,0.000280451,0.5925,0.562,-4.546232305678626,-4.508961783140949,-4.820234888587689,1.060279197017532,0.8282542654557619
9,1.1794871794871795,9,0.2,7,1,1.0927846405550667e-09,0.07,1.0927846405550667e-09,0.093,0.000280451,0.6225,0.574,-4.235347072413941,-4.186741340932871,-4.706210378040355,1.0659300741582283,0.8178952298067391
9,1.2205128205128206,9,0.2,7,1,8.712162102852972e-10,0.0675,8.712162102852972e-10,0.085,0.000280451,0.6475,0.598,-3.9244618407442164,-3.864520900587165,-4.58917726693603,1.0531920577276197,0.8028412100665756
9,1.2615384615384615,9,0.2,7,1,6.898914772790476e-10,0.06,6.898914772790476e-10,0.077,0.000280451,0.66,0.616,-3.613576615644057,-3.542300468187344,-4.469207452118211,1.0405359624835109,0.7940674471310082
9,1.3025641025641026,9,0.2,7,1,5.755087517655966e-10,0.0525,5.755087517655966e-10,0.068,0.000280451,0.6675,0.63,-3.3026913815790224,-3.2200800250903288,-4.346750538666613,1.0279496970548205,0.7822647652426937
9,1.3435897435897437,9,0.2,7,1,4.540493536708823e-10,0.0475,4.540493536708823e-10,0.061,0.000280451,0.68,0.649,-2.9918061601283465,-2.8978595933266056,-4.221308918160916,1.0395693179107206,0.7704620787802245
9,1.3846153846153846,9,0.2,7,1,3.4085245737003333e-10,0.045,3.4085245737003333e-10,0.051,0.000280451,0.69,0.666,-2.6809209235707794,-2.575639147896787,-4.0939542190352896,1.0385079270029292,0.7665636426283765
9,1.4256410256410255,9,0.2,7,1,2.4369606332896865e-10,0.045,2.4369606332896865e-10,0.044,0.000280451,0.7025,0.679,-2.3671220263398056,-2.250679861592024,-3.963855220015308,1.0374255975981972,0.7717479264513015
9,1.4666666666666668,9,0.2,7,1,1.07776609858945e-09,0.035,1.07776609858945e-09,0.038,0.000280451,0.7075,0.697,-2.0350885121559963,-1.9085800384504248,-3.8342052247171505,1.0361938918494744,0.7684381437376339
9,1.5076923076923077,9,0.2,7,1,1.1723666371032948e-08,0.025,1.1723666371032948e-08,0.032,0.000280451,0.73,0.717,-1.6853352233107868,-1.5496930609550523,-3.705853080554916,1.0604323333432468,0.7726260080771654
9,1.5487179487179485,9,0.2,7,1,9.890055663319686e-09,0.0225,9.890055663319686e-09,0.027,0.000280451,0.7475,0.732,-1.3223969254444747,-1.179709729163304,-3.5849310995013046,1.0604152259485002,0.7776540675864068
9,1.5897435897435899,9,0.2,7,1,9.370527243035554e-09,0.0175,9.370527243035554e-09,0.023,0.000280451,0.76,0.748,-0.9505103319278458,-0.8008633808441508,-3.4778981370194306,1.0605216629554064,0.7849271374989976
9,1.6307692307692307,9,0.2,7,1,8.626483860574297e-09,0.0175,8.626483860574297e-09,0.02,0.000280451,0.77,0.758,-0.5763358226542824,-0.4195765845886712,-3.374195814721774,1.06062809875014,0.7930269221082608
9,1.6717948717948716,9,0.2,7,1,8.149468877505228e-09,0.0175,8.149468877505228e-09,0.015,0.000280451,0.7775,0.77,-0.18937812947088595,-0.02564116480245208,-3.2687704571860747,1.0607345380830042,0.7850598907339845
9,1.712820512820513,9,0.2,7,1,7.745376784384916e-09,0.0175,7.745376784384916e-09,0.013,0.000280451,0.7875,0.783,0.23553299745188366,0.4023062507910873,-3.162695266296881,1.0623545873689821,0.7983016498477591
9,1.7538461538461538,9,0.2,7,1,1.6933725530385462e-08,0.0175,1.6933725530385462e-08,0.013,0.000280451,0.7925,0.79,0.6748940022658653,0.842918914682767,-3.0564112059173847,1.0401620042349662,0.8110211985003548
9,1.7948717948717947,9,0.2,7,1,1.763721280134689e-08,0.015,1.763721280134689e-08,0.011,0.000280451,0.7925,0.796,1.1142549515913809,1.2835315134229421,-2.9495243283691344,1.066349063859433,0.8107644200067585
9,1.835897435897436,9,0.2,7,1,5.145465074296909e-09,0.0125,5.145465074296909e-09,0.008,0.000280451,0.805,0.804,1.5536159435040902,1.7241441685807386,-2.8419238732589003,0.9774231838122811,0.8370858207151359
9,1.876923076923077,9,0.2,7,1,2.9905326588356927e-09,0.01,2.9905326588356927e-09,0.004,0.000280451,0.8125,0.808,2.0025996388361764,2.1743795199106675,-2.740551099614552,0.9792504355633527,0.8450479174875504
9,1.9179487179487178,9,0.2,7,1,2.1625387036650068e-09,0.0075,2.1625387036650068e-09,0.003,0.000280451,0.82,0.811,2.4583574804282464,2.631389023337286,-2.64371758630421,1.0978726421715133,0.8496912369703091
9,1.9589743589743591,9,0.2,7,1,2.4759104766403084e-09,0.0075,2.4759104766403084e-09,0.002,0.000280451,0.8225,0.823,2.914115238699645,3.088398443598815,-2.546246457629778,1.0499212134601288,0.8431308054002712
