,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.8,4.04530886264875,-3.282286295679103,-1.2461683653528066,7.641422441250958,-3.7469822383612996,0.36311821576179937,[0.408],42.99510575569101,0.24,0.408,"(0,)",4.04530886264875,-3.1818494253872402,7.952915875453663,-1.3487347368034173,[0.3575],39.68440469888241,0.3575
1,0.8820512820512821,3.260555766451702,-3.000676676156883,-1.3291988397705832,6.741266292734669,-3.711021012585994,0.0,[0.383],36.15611467926331,0.272,0.383,"(0,)",3.260555766451702,-2.905904728641664,6.980717637467064,-1.4120912258578704,[0.3425],33.35550615157678,0.3425
2,0.9641025641025641,2.4758026818277923,-2.7190670780760504,-1.3933887909328482,5.916375960734277,-3.5229435880944835,0.0,[0.361],29.716708725471396,0.309,0.361,"(0,)",2.4758026818277923,-2.62996005172835,5.67460899584239,-1.4575997285983786,[0.3125],27.383568118256104,0.3125
3,1.0461538461538462,1.6910496133091626,-2.437457469277318,-1.4311865053426505,5.070988603774292,-3.205886469532671,0.0,[0.334],23.82190223101227,0.339,0.334,"(0,)",1.6910496133091626,-2.3540153641738883,4.8958301673428055,-1.475937403180694,[0.305],21.959865875145635,0.305
4,1.1282051282051282,0.9062965358546543,-2.1558478487973476,-1.4445313950398868,4.1861427397223405,-2.8888294048364376,0.0,[0.301],18.452464295377776,0.38,0.301,"(0,)",0.9062965358546543,-2.078070664289827,4.047150610176665,-1.477620527355975,[0.275],16.89938767822981,0.275
5,1.2102564102564104,0.12154272128738741,-1.8742382526593524,-1.4359883919154697,3.299461744629036,-2.5717723193615023,0.0,[0.278],13.526289958551697,0.433,0.278,"(0,)",0.12154272128738741,-1.8021259896136674,3.127376938838795,-1.4561633728785595,[0.25],12.2873912719525,0.25
6,1.2923076923076924,4.5317752328521976e-10,-1.322154352264247,-1.4306024861779465,2.2621769849792175,-2.4274452424977815,3.7079700421216444e-11,[0.113],10.833485807203306,0.524,0.113,"(0,)",4.5317752328521976e-10,-1.2568424622381706,2.448598558295416,-1.443937803492161,[0.0925],10.001540661795332,0.0925
7,1.3743589743589744,2.661636355760777e-09,-0.7205018408695539,-1.4184158884483162,2.286146092141945,-2.2842064340412715,3.645839186106059e-11,[0.103],8.73777283821007,0.593,0.103,"(0,)",2.661636355760777e-09,-0.662198412799648,2.4336472256373307,-1.4351183635492175,[0.085],8.159076270466226,0.085
8,1.4564102564102566,1.6972434568884864e-09,-0.11884932303693625,-1.4011501993735382,2.201052830807035,-2.1728150580162446,6.020250964411389e-10,[0.085],6.939779804545065,0.639,0.085,"(0,)",1.6972434568884864e-09,-0.06755435784109604,2.25121695095709,-1.4218398546628708,[0.0775],6.563189005663255,0.0775
9,1.5384615384615385,6.428084731169292e-10,0.48280319492892115,-1.3796639852966537,1.9949195117497436,-2.188442839311162,3.39801964344133e-10,[0.074],5.386994925134108,0.691,0.074,"(0,)",6.428084731169292e-10,0.527089696984402,2.0614352363442427,-1.4063830754113908,[0.065],5.0879689231416245,0.065
