,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.4,1.8850034266023257,-3.7748721822547044,-2.305224982544364,4.015468965104397,-4.082851719073613,0.0,[0.452],29.8481139123131,0.07,0.452,"(0,)",1.8850034266023257,-3.755746792117766,4.198762184463306,-2.250866706868018,[0.445],30.628039485860622,0.445
1,0.44102564102564107,1.5756870654379376,-3.666761149185591,-2.327197309800386,3.7254209112961085,-4.0003570119736676,0.0,[0.439],27.305687535740358,0.086,0.439,"(0,)",1.5756870654379376,-3.6496483797242534,3.9167146504203934,-2.272696199672467,[0.435],28.148133267212607,0.435
2,0.48205128205128206,1.266370704241537,-3.5586501008993228,-2.343810028924068,3.2850923505506744,-3.9178623047494874,0.0,[0.42],24.870453176079092,0.096,0.42,"(0,)",1.266370704241537,-3.543549952239581,3.637239649042017,-2.2911944655308853,[0.4225],25.75097033444104,0.4225
3,0.5230769230769231,1.1673723096063195,-3.450539059799069,-2.3542903318462094,3.228817241829796,-3.835367597465675,0.0,[0.403],22.561316711336204,0.114,0.403,"(0,)",1.1673723096063195,-3.43745153180801,3.368521800821177,-2.307163754809389,[0.4125],23.40409949538949,0.4125
4,0.5641025641025641,1.0671266040426115,-3.3367797490769706,-2.3565652535507455,3.0225233328975536,-3.752872890148012,0.0,[0.361],20.427722508790307,0.134,0.361,"(0,)",1.0671266040426115,-3.326218320832939,3.1157557815361443,-2.317704106985791,[0.3825],21.189812078676226,0.3825
5,0.6051282051282052,0.8463614161578805,-3.2099941463526593,-2.3498701518648,2.803391521330319,-3.670378182817416,0.0,[0.332],18.589609221475833,0.154,0.332,"(0,)",0.8463614161578805,-3.202960240505397,2.6959493199320286,-2.320933251065774,[0.35],19.253653224450318,0.35
6,0.6461538461538462,0.764017631825471,-3.081995641907202,-2.3404350056219956,2.5928444493956335,-3.599192068478858,0.0,[0.318],16.869052944615635,0.176,0.318,"(0,)",0.764017631825471,-3.078501892887943,2.5088261943954175,-2.3195462542050063,[0.3375],17.469054170588777,0.3375
7,0.6871794871794872,0.6798623345204433,-2.9394261621524063,-2.3284974517775465,2.38862808217632,-3.664684858501816,0.0,[0.292],15.348798477321232,0.2,0.292,"(0,)",0.6798623345204433,-2.942134575222504,2.2531652883892384,-2.3152724539996594,[0.315],15.848333247927084,0.315
8,0.7282051282051283,0.5568290186647316,-2.788286699191389,-2.310216613062667,2.2148338726139887,-3.7978020182846217,0.0,[0.259],14.010971934446433,0.23,0.259,"(0,)",0.5568290186647316,-2.7966547150204506,2.1175572385264556,-2.3030621629562367,[0.295],14.404624538278107,0.295
9,0.7692307692307693,0.4346370244801667,-2.632226637757478,-2.285933245470234,2.0623116583483867,-3.8307139294998946,0.0,[0.245],12.816589054570164,0.254,0.245,"(0,)",0.4346370244801667,-2.6456831163855066,1.9707030596110011,-2.285976982037428,[0.285],13.076314375313157,0.285
