seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
5,0.4,5,0.1,1,1,0.36365900331924195,0.2825,0.24970991881604387,0.252,0.000207047,0.1825,0.139,-2.445194171285024,-2.4605967414925023,-2.3490472945121645,2.2096824179421204,2.3215287845270693
5,0.44102564102564107,5,0.1,1,1,0.01778248194362586,0.25,1.089033585532917e-09,0.217,0.000207047,0.205,0.172,-2.1837926594927657,-2.1927539296479326,-2.3258963466921925,1.9436052342783512,1.3174564600747458
5,0.48205128205128206,5,0.1,1,1,6.606147850973798e-10,0.22,6.606147850973798e-10,0.196,0.000207047,0.24,0.211,-1.8995983188671792,-1.9033987832065355,-2.2941672855127253,1.2909457624877578,1.2598299471584862
5,0.5230769230769231,5,0.1,1,1,3.1059507743513848e-09,0.195,3.1059507743513848e-09,0.173,0.000207047,0.265,0.249,-1.5966009992796,-1.5931759261795124,-2.2592700861299413,1.4093862556418657,1.2777314308781642
5,0.5641025641025641,5,0.1,1,1,4.368004624666355e-09,0.1675,4.368004624666355e-09,0.151,0.000207047,0.3025,0.288,-1.2816264430950381,-1.2694373288752367,-2.2238662688170217,1.2334127396057417,1.2694125046163711
5,0.6051282051282052,5,0.1,1,1,3.405658866029171e-09,0.1525,3.405658866029171e-09,0.134,0.000207047,0.3425,0.322,-0.9579567934801319,-0.9385914376504457,-2.1894533025559175,1.1499221923982967,1.1684171081255075
5,0.6461538461538462,5,0.1,1,1,1.6838785921180488e-09,0.1375,1.8740090146351918e-08,0.126,0.000207047,0.375,0.359,-0.6342871477794616,-0.6077455514785742,-2.1506590382392488,0.8125430177308561,1.0229843610269493
5,0.6871794871794872,5,0.1,1,1,1.3181733482525715e-09,0.13,1.7528081652784522e-08,0.118,0.000207047,0.39,0.386,-0.31061749839387076,-0.27689966035820884,-2.1094793956771816,0.744511633950786,0.9415778705081207
5,0.7282051282051283,5,0.1,1,1,1.0835099484296506e-09,0.1175,1.6014397363761645e-08,0.1,0.000207047,0.405,0.426,0.02224325512504926,0.06304058565706155,-2.063540035160925,0.7059893140034932,0.9129585902227002
5,0.7692307692307693,5,0.1,1,1,8.737324197483076e-10,0.1175,1.3997781711516666e-08,0.097,0.000207047,0.425,0.451,0.3625915468663375,0.4103895542059015,-2.0137586673586427,0.6434434298053721,0.8443775979173399
5,0.8102564102564103,5,0.1,1,1,6.831291088360558e-10,0.1075,1.1185010251324456e-08,0.092,0.000207047,0.4675,0.47,0.7029398386408086,0.7577385226933856,-1.9613515757447002,0.5951182796525842,0.7943190273655698
5,0.8512820512820514,5,0.1,1,1,5.420222048968526e-10,0.08,7.497031162539969e-09,0.076,0.000207047,0.5075,0.5,1.0485432325234214,1.1093829600617973,-1.9045042015339755,0.5475721377484691,0.7279199520184343
5,0.8923076923076924,5,0.1,1,1,4.39639435967365e-10,0.0675,4.39639435967365e-10,0.072,0.000207047,0.545,0.542,1.39689156370473,1.4632710931003987,-1.8454506832609705,0.49864192651402184,0.4596134886632436
5,0.9333333333333333,5,0.1,1,1,3.5210945270591765e-10,0.0625,1.916332315055058e-09,0.064,0.000207047,0.5825,0.573,1.7452398861551486,1.817159216713504,-1.7849378943809064,0.44576372472858294,0.5867349155786551
5,0.9743589743589743,5,0.1,1,1,1.9116336291702396e-08,0.055,1.9116336291702396e-08,0.052,0.000207047,0.61,0.598,2.1068051434862163,2.1842642765323874,-1.728834305039282,0.391173635614052,0.39231736668826617
5,1.0153846153846153,5,0.1,1,1,2.1979989162090874e-08,0.0375,3.903304834906862e-08,0.042,0.000207047,0.6275,0.623,2.4736595367541527,2.557703941130619,-1.677422478651968,0.38933632580983385,0.5127080419362541
5,1.0564102564102564,5,0.1,1,1,1.70813974076367e-08,0.0325,1.70813974076367e-08,0.038,0.000207047,0.6625,0.651,2.8454237487757963,2.937405340633247,-1.6359016026469166,0.36032792409080405,0.33116684829713994
5,1.0974358974358975,5,0.1,1,1,1.3082612326797971e-08,0.0325,1.3082612326797971e-08,0.035,0.000207047,0.695,0.685,3.2171879519270936,3.3171067305721884,-1.5939411765426739,0.32795634396632906,0.31257503342825965
5,1.1384615384615384,5,0.1,1,1,1.051965536902344e-08,0.03,1.051965536902344e-08,0.032,0.000207047,0.7175,0.71,3.5889521403643254,3.696808103756261,-1.5513977630696385,0.30354103745440364,0.29130615497262746
5,1.1794871794871795,5,0.1,1,1,7.45355177578233e-09,0.0275,7.45355177578233e-09,0.03,0.000207047,0.735,0.733,3.9607163670999426,4.076509523823448,-1.5083253087001895,0.25873260850695795,0.28152672911633836
5,1.2205128205128206,5,0.1,1,1,1.0027473518192664e-08,0.0275,1.0027473518192664e-08,0.025,0.000207047,0.7625,0.759,4.332480556149099,4.456210900759172,-1.4637663550079378,0.2359092895342908,0.26544328811464585
5,1.2615384615384615,5,0.1,1,1,1.3917107688499186e-08,0.025,1.3917107688499186e-08,0.024,0.000207047,0.79,0.784,4.709467513158151,4.8405918789196924,-1.41894813039014,0.21053805503504788,0.23959010507852915
