seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
6,0.4,6,0.05,3,1,0.9819978849830342,0.275,0.5059426117582557,0.262,0.000173041,0.145,0.151,-2.677084712653959,-2.700169083891448,-2.512646326965124,2.240563831650355,1.8844939636739093
6,0.44102564102564107,6,0.05,3,1,0.5313886353114843,0.2475,0.1594538523782929,0.237,0.000173041,0.1925,0.184,-2.4321838303999375,-2.4489819200206053,-2.473047010941438,1.8572195492338772,1.6229187679225043
6,0.48205128205128206,6,0.05,3,1,0.047845389185656506,0.2225,1.0591320043218388e-09,0.213,0.000173041,0.2125,0.214,-2.185674536141332,-2.196270997462408,-2.428244578732996,1.5351303697411067,0.9348347555042206
6,0.5230769230769231,6,0.05,3,1,9.0126655583056e-09,0.19,9.0126655583056e-09,0.191,0.000173041,0.255,0.247,-1.9038180958897957,-1.9049616932369287,-2.383799151854572,1.14503970777704,0.9567694174646196
6,0.5641025641025641,6,0.05,3,1,3.8660991075190054e-10,0.1825,3.8660991075190054e-10,0.174,0.000173041,0.295,0.286,-1.6019097728498668,-1.5942270817771862,-2.3382333889015054,1.022003891573026,0.8698341265631442
6,0.6051282051282052,6,0.05,3,1,1.9717135146812836e-08,0.1525,1.9717135146812836e-08,0.153,0.000173041,0.3325,0.328,-1.2895212247798462,-1.274926028313353,-2.2929143590902346,0.9018815379024485,0.7705509337287971
6,0.6461538461538462,6,0.05,3,1,3.58504537167903e-09,0.125,1.8502150755939084e-08,0.122,0.000173041,0.365,0.37,-0.9737270977786291,-0.9522132595745716,-2.2466974777379765,0.7204884193400423,0.8165401338164812
6,0.6871794871794872,6,0.05,3,1,2.68771360723008e-09,0.1175,2.68771360723008e-09,0.112,0.000173041,0.405,0.401,-0.6523397724881242,-0.6235344123488921,-2.202295298829281,0.6316595868021019,0.5173939452191844
6,0.7282051282051283,6,0.05,3,1,1.5508165862598844e-09,0.1125,1.5508165862598844e-09,0.103,0.000173041,0.44,0.44,-0.3309524430284577,-0.29485556119310513,-2.1544433565351637,0.5565798900736724,0.4785906057396065
6,0.7692307692307693,6,0.05,3,1,1.5276877540770784e-09,0.1025,1.5276877540770784e-09,0.084,0.000173041,0.4725,0.485,0.004092249021011582,0.04733689088715811,-2.1024990603149183,0.5575231686323364,0.46650430443471386
