seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
4,0.4,4,0.2,5,1,0.6332927937891464,0.2575,0.2991150055665117,0.25,0.000232106,0.1825,0.142,-2.325987136150458,-2.3623783061571597,-2.283591252721721,2.4779877381373296,2.0564669307287247
4,0.44102564102564107,4,0.2,5,1,0.29242204217198475,0.235,0.10441385530404546,0.224,0.000232106,0.2075,0.176,-2.06458695250634,-2.0944920667340763,-2.253274788124575,2.1609882718732627,1.921982863522059
4,0.48205128205128206,4,0.2,5,1,2.0712302983838526e-09,0.21,2.0712302983838526e-09,0.201,0.000232106,0.23,0.214,-1.788978811716096,-1.8131456578286531,-2.214265929393788,1.2819564123893172,1.0710370867104275
4,0.5230769230769231,4,0.2,5,1,1.4829154570961123e-09,0.185,1.4829154570961123e-09,0.176,0.000232106,0.245,0.254,-1.5031186942604473,-1.519255655022214,-2.1735573199775233,1.1722379666490177,1.0338089168349258
4,0.5641025641025641,4,0.2,5,1,1.0503032887854147e-09,0.1575,1.0503032887854147e-09,0.149,0.000232106,0.2725,0.285,-1.1886172741099832,-1.1954447906369967,-2.1270260288146448,1.221025654461137,1.0525035969745151
4,0.6051282051282052,4,0.2,5,1,2.594969794600388e-09,0.1475,2.594969794600388e-09,0.14,0.000232106,0.305,0.319,-0.874086276048696,-0.8716061230755938,-2.0770062507362463,1.139268475710553,1.0392640320444746
4,0.6461538461538462,4,0.2,5,1,2.0384516574711853e-08,0.13,2.0384516574711853e-08,0.121,0.000232106,0.35,0.354,-0.559544662856563,-0.5477587808639087,-2.0247451824271625,1.0756725125905915,0.8849124230242941
4,0.6871794871794872,4,0.2,5,1,1.9573917819926123e-08,0.1175,1.9573917819926123e-08,0.107,0.000232106,0.385,0.391,-0.2337819255928396,-0.21473938770596543,-1.9742472394592527,0.9633312016097219,0.8170919981525792
4,0.7282051282051283,4,0.2,5,1,1.8323613126813854e-08,0.1025,1.8323613126813854e-08,0.099,0.000232106,0.41,0.426,0.09198081672204092,0.11828001025572492,-1.9206394465919416,0.852277481357019,0.7310134123574198
4,0.7692307692307693,4,0.2,5,1,1.63330509117543e-08,0.0925,1.4317336205493802e-09,0.089,0.000232106,0.4375,0.456,0.4177435553102785,0.4512994052092511,-1.8642412545194562,0.7183133959385138,0.4404504771050012
4,0.8102564102564103,4,0.2,5,1,1.3301904577822654e-08,0.0725,1.138542593537295e-09,0.076,0.000232106,0.4825,0.488,0.743506284489333,0.7843187903205892,-1.8049245473815327,0.6163405276690541,0.3719024781572466
4,0.8512820512820514,4,0.2,5,1,2.623156247771874e-09,0.055,2.623156247771874e-09,0.06,0.000232106,0.5175,0.526,1.0723240145722643,1.120361018979495,-1.7418247885122087,0.38283017877640324,0.32904011795508925
4,0.8923076923076924,4,0.2,5,1,7.04047931066043e-10,0.045,7.04047931066043e-10,0.049,0.000232106,0.5525,0.552,1.4148000083424757,1.4699232335539103,-1.6750678590274488,0.336473779548277,0.2970961016998021
4,0.9333333333333333,4,0.2,5,1,5.45039124943969e-10,0.0425,5.45039124943969e-10,0.045,0.000232106,0.585,0.584,1.779230080176584,1.8401178543721899,-1.6118225006841063,0.30486303517513125,0.266702173618298
4,0.9743589743589743,4,0.2,5,1,2.1180648485536014e-09,0.0375,2.1180648485536014e-09,0.039,0.000232106,0.6,0.61,2.1552818429800027,2.2206368292148273,-1.5485537995965482,0.26639699313668386,0.23879532595649333
4,1.0153846153846153,4,0.2,5,1,2.99926837810105e-08,0.0225,2.99926837810105e-08,0.034,0.000232106,0.65,0.646,2.541036110609539,2.6098285983622813,-1.4962282348016456,0.31656579246748656,0.26279599384976754
4,1.0564102564102564,4,0.2,5,1,2.4833057943318693e-08,0.02,2.4833057943318693e-08,0.028,0.000232106,0.6825,0.676,2.9341127615776417,3.0086152092557246,-1.4484402816885145,0.3012497978618044,0.253112325291861
4,1.0974358974358975,4,0.2,5,1,2.048135794296968e-08,0.02,2.048135794296968e-08,0.025,0.000232106,0.71,0.696,3.327641166387264,3.4079970650903912,-1.399586576318894,0.2858631019646713,0.2450776858245553
4,1.1384615384615384,4,0.2,5,1,8.538823371102526e-09,0.0175,8.538823371102526e-09,0.023,0.000232106,0.7375,0.72,3.7211695975675196,3.807378954959984,-1.3487781293349659,0.2229105392107138,0.22925814170566652
