seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
4,0.4,4,0.1,10,1,0.0,0.2325,0.0,0.222,0.00014823,0.225,0.234,-6.236841139901405,-6.2514213347965555,-5.47954719842798,1.695580553842857,1.2554250976854133
4,0.44102564102564107,4,0.1,10,1,0.0,0.21,0.0,0.208,0.00014823,0.2625,0.28,-6.02661273845126,-6.037289774623314,-5.400175616079097,1.528050871172669,1.1358341472275881
4,0.48205128205128206,4,0.1,10,1,0.0,0.1825,0.0,0.182,0.00014823,0.325,0.314,-5.8163843337102294,-5.823158211537715,-5.31018137619213,1.4145503414491656,1.0159062032452273
4,0.5230769230769231,4,0.1,10,1,0.0,0.1625,0.0,0.163,0.00014823,0.36,0.355,-5.60615592927432,-5.609026648789719,-5.206793211070504,1.3459347911172437,0.8982078424207703
4,0.5641025641025641,4,0.1,10,1,0.0,0.14,0.0,0.139,0.00014823,0.43,0.406,-5.395927525262525,-5.394895086403006,-5.093186457028795,1.2124994706289298,0.8090927350551929
4,0.6051282051282052,4,0.1,10,1,0.0,0.1125,0.0,0.122,0.00014823,0.4625,0.454,-5.185541831240844,-5.180604578345699,-4.9696325292332055,1.1256541438359442,0.7159870947737039
4,0.6461538461538462,4,0.1,10,1,0.0,0.095,0.0,0.102,0.00014823,0.515,0.506,-4.939040759458394,-4.930147470408819,-4.862390147186454,0.8822298315060981,0.5165826756949929
4,0.6871794871794872,4,0.1,10,1,0.0,0.0825,0.0,0.087,0.00014823,0.555,0.544,-4.660343668365431,-4.64465311871219,-4.758087294145244,0.834254305958075,0.47131491379870694
4,0.7282051282051283,4,0.1,10,1,0.0,0.07,0.0,0.075,0.00014823,0.6075,0.593,-4.381646562205952,-4.359158751850605,-4.64940991513414,0.7993337226691809,0.43151914633841176
4,0.7692307692307693,4,0.1,10,1,0.0,0.0575,0.0,0.066,0.00014823,0.64,0.633,-4.092544535319782,-4.062565803970956,-4.560702698472322,0.7675784319138085,0.3940144657877056
4,0.8102564102564103,4,0.1,10,1,0.0,0.05,0.0,0.053,0.00014823,0.68,0.667,-3.8029455049209107,-3.7654427181590853,-4.4685530511334015,0.7291214191226207,0.36273595155084143
4,0.8512820512820514,4,0.1,10,1,3.8137826230411065e-11,0.0475,3.8137826230411065e-11,0.048,0.00014823,0.72,0.706,-3.50117499759758,-3.454931007612488,-4.37362769001899,1.2876304210388236,0.6161154212271203
4,0.8923076923076924,4,0.1,10,1,1.3544250165864469e-09,0.0425,1.3544250165864469e-09,0.043,0.00014823,0.75,0.735,-3.1803865406629757,-3.123499552534489,-4.277297131236196,1.2812359817983365,0.6178394659651991
4,0.9333333333333333,4,0.1,10,1,2.2109611919063354e-09,0.0375,2.2109611919063354e-09,0.035,0.00014823,0.7825,0.764,-2.832966948669697,-2.7601107351682077,-4.178741358512274,1.2507546584691993,0.5963595609991874
4,0.9743589743589743,4,0.1,10,1,2.1596182619987303e-09,0.03,2.1596182619987303e-09,0.028,0.00014823,0.825,0.799,-2.4854373564758383,-2.3965899172520073,-4.078407758006529,1.1756360737326452,0.5606950787188439
4,1.0153846153846153,4,0.1,10,1,1.26713084469543e-09,0.025,1.26713084469543e-09,0.027,0.00014823,0.8475,0.827,-2.1379077608936683,-2.0330690955300956,-3.9770606903777117,1.135077352729941,0.5456652434923569
4,1.0564102564102564,4,0.1,10,1,1.110032066264921e-09,0.02,1.110032066264921e-09,0.025,0.00014823,0.8575,0.85,-1.7799216591688762,-1.659642111244938,-3.8778079684572244,1.12938844421192,0.5336014864829765
4,1.0974358974358975,4,0.1,10,1,9.337590700653209e-10,0.0175,9.337590700653209e-10,0.02,0.00014823,0.875,0.865,-1.408172515201323,-1.2731764541686361,-3.7794874307436865,1.13481483173601,0.5337416517129682
4,1.1384615384615384,4,0.1,10,1,7.904492616006564e-10,0.0175,7.904492616006564e-10,0.016,0.00014823,0.88,0.881,-1.0191700557618044,-0.8704926862940912,-3.68250657181992,1.1253421886857669,0.5285903918946621
