seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
6,0.4,6,0.1,1,1,0.0,0.2075,0.0,0.199,0.00015032,0.2525,0.231,-6.449639556971902,-6.46845679820532,-5.771339335545654,1.6294672992366894,1.1759725058638346
6,0.44102564102564107,6,0.1,1,1,0.0,0.1875,0.0,0.173,0.00015032,0.29,0.288,-6.233828068857654,-6.248761416397336,-5.675744776169309,1.5341431438164028,1.0849491025462366
6,0.48205128205128206,6,0.1,1,1,0.0,0.165,0.0,0.156,0.00015032,0.32,0.329,-6.018016588671968,-6.029066041818662,-5.567965673842014,1.4276727181954774,0.9952418935529489
6,0.5230769230769231,6,0.1,1,1,0.0,0.15,0.0,0.136,0.00015032,0.3525,0.369,-5.776579372391077,-5.785751743281416,-5.465848641235581,1.3246531523937408,0.924196489210603
6,0.5641025641025641,6,0.1,1,1,0.0,0.1425,0.0,0.116,0.00015032,0.39,0.419,-5.516050304188417,-5.524912288344158,-5.365713959386789,1.2403522046821067,0.8667312795295271
6,0.6051282051282052,6,0.1,1,1,0.0,0.1275,0.0,0.101,0.00015032,0.42,0.458,-5.255521229659812,-5.264072827250281,-5.258393695856445,1.1499432212244753,0.8141791508789603
6,0.6461538461538462,6,0.1,1,1,0.0,0.11,0.0,0.09,0.00015032,0.4625,0.502,-4.969289371754023,-4.971785255136694,-5.158601122046497,0.930651513613312,0.6058565432404595
6,0.6871794871794872,6,0.1,1,1,7.426570469704075e-11,0.095,7.426570469704075e-11,0.081,0.00015032,0.4975,0.55,-4.678162927764239,-4.67385056459624,-5.057374657556215,1.6443023284729223,1.0165346420179624
6,0.7282051282051283,6,0.1,1,1,4.7236214939516685e-11,0.0875,4.7236214939516685e-11,0.068,0.00015032,0.5375,0.599,-4.333748696597413,-4.314985223415086,-4.953145739091238,1.6267134652454853,0.9968752601626311
6,0.7692307692307693,6,0.1,1,1,8.158707043293134e-11,0.0775,8.158707043293134e-11,0.061,0.00015032,0.5875,0.645,-3.9838961075272517,-3.9495938527815584,-4.845818808953648,1.5858041567646648,0.9657262707541223
6,0.8102564102564103,6,0.1,1,1,3.1507542130881916e-09,0.07,3.1507542130881916e-09,0.054,0.00015032,0.635,0.671,-3.6340435170086725,-3.5842024801683694,-4.735311945378205,1.5448948439003287,0.9345772733648215
6,0.8512820512820514,6,0.1,1,1,1.670720339852494e-09,0.0525,1.670720339852494e-09,0.051,0.00015032,0.6625,0.711,-3.284190925843603,-3.218811107146462,-4.623181004687427,1.579342992744053,0.9220083510610644
6,0.8923076923076924,6,0.1,1,1,9.240048726155692e-10,0.045,9.240048726155692e-10,0.045,0.00015032,0.6975,0.748,-2.934338333005265,-2.85341973156809,-4.508536411651358,1.5914298687383033,0.9088010754338787
6,0.9333333333333333,6,0.1,1,1,9.413427815019304e-10,0.035,9.413427815019304e-10,0.039,0.00015032,0.7425,0.78,-2.5823598089538184,-2.4857606960933167,-4.396628575089674,1.5743342865131742,0.8977873399991857
6,0.9743589743589743,6,0.1,1,1,8.451054300806504e-10,0.0325,8.451054300806504e-10,0.038,0.00015032,0.7625,0.806,-2.1981946355379742,-2.0864674236001295,-4.310300652955811,1.567819847135059,0.880972469507438
6,1.0153846153846153,6,0.1,1,1,7.447205074839758e-10,0.0275,7.447205074839758e-10,0.034,0.00015032,0.795,0.827,-1.8019192383733178,-1.6757647576775276,-4.225433469556256,1.5629424176292466,0.8641575988947848
6,1.0564102564102564,6,0.1,1,1,1.7275554320406172e-09,0.025,1.7275554320406172e-09,0.027,0.00015032,0.8375,0.852,-1.387688477984836,-1.248184050409292,-4.143071761701556,1.5934755580518891,0.9181385938691319
6,1.0974358974358975,6,0.1,1,1,2.15953033233518e-09,0.0225,2.15953033233518e-09,0.023,0.00015032,0.87,0.875,-0.973457734323873,-0.8206033666849982,-4.059541778718314,1.5884872990689374,0.8849061873186216
6,1.1384615384615384,6,0.1,1,1,5.325605734185501e-09,0.015,5.325605734185501e-09,0.017,0.00015032,0.885,0.894,-0.5472057044589034,-0.3831965766188309,-3.983669093180216,1.5146512325786963,0.882760697448945
6,1.1794871794871795,6,0.1,1,1,2.715345792658752e-08,0.01,2.715345792658752e-08,0.015,0.00015032,0.8925,0.902,-0.11645813828126304,0.05788481649139745,-3.9111486069574513,1.5434327477492533,0.8369128906941771
6,1.2205128205128206,6,0.1,1,1,1.9830680986210325e-08,0.01,1.9830680986210325e-08,0.012,0.00015032,0.9125,0.914,0.3147943892138494,0.4994711686611057,-3.838265941657448,1.5775065755703999,0.8384307262105817
6,1.2615384615384615,6,0.1,1,1,1.50605157234196e-08,0.01,1.50605157234196e-08,0.009,0.00015032,0.925,0.924,0.7658133803347127,0.9608239914028309,-3.780282749249074,1.5781974542247015,0.8365867441439361
