seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
70,0.5,70,0.15,0.5,1,-0.9001436089236117,0.82,-0.8996244378998225,0.804
70,0.5798319327731092,70,0.15,0.5,1,-0.8963699167304162,0.8475,-0.895753478461993,0.829
70,0.6596638655462185,70,0.15,0.5,1,-0.8944435981982131,0.84,-0.8942126513921651,0.827
70,0.7394957983193278,70,0.15,0.5,1,-0.8933262357291718,0.805,-0.8932934679790562,0.794
70,0.819327731092437,70,0.15,0.5,1,-0.8926197223980995,0.7475,-0.8926635174633827,0.718
70,0.8991596638655461,70,0.15,0.5,1,-0.8921241224891735,0.5025,-0.8921931999005875,0.473
70,0.9789915966386554,70,0.15,0.5,1,-0.8916895953711497,0.18,-0.8917550073184789,0.195
70,1.0588235294117647,70,0.15,0.5,1,-0.8913216441704619,0.1,-0.8913594879121493,0.12
70,1.138655462184874,70,0.15,0.5,1,-0.8910064521264323,0.07,-0.8909433213043244,0.069
70,1.218487394957983,70,0.15,0.5,1,-0.8906143744673622,0.0425,-0.8905005544488768,0.042
70,1.2983193277310923,70,0.15,0.5,1,-0.8902186322809255,0.0325,-0.8900766853721698,0.025
70,1.3781512605042017,70,0.15,0.5,1,-0.8898142607288143,0.0225,-0.889628960762713,0.017
70,1.4579831932773109,70,0.15,0.5,1,-0.8894265313441995,0.015,-0.8891834131812686,0.014
70,1.53781512605042,70,0.15,0.5,1,-0.8889845716273626,0.01,-0.8887206396691026,0.007
70,1.6176470588235294,70,0.15,0.5,1,-0.8883836611174324,0.01,-0.8881368564233136,0.006
70,1.6974789915966386,70,0.15,0.5,1,-0.8876586407194401,0.01,-0.8875535010530883,0.006
70,1.7773109243697478,70,0.15,0.5,1,-0.8870176593110941,0.01,-0.8870333932969163,0.004
70,1.857142857142857,70,0.15,0.5,1,-0.8864067321894926,0.01,-0.886540148021456,0.004
70,1.9369747899159662,70,0.15,0.5,1,-0.8858560923221046,0.01,-0.8860856514125053,0.004
70,2.0168067226890756,70,0.15,0.5,1,-0.8853312747674525,0.0125,-0.8856432363422204,0.003
