,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-0.9289754110719769,-0.9435333684845435,-0.9160279005085253,[0.119],0.1893189231954085,0.0,0.119,"(0,)",-0.9224078482032501,[0.135],0.27678219476395466,0.135
1,0.5798319327731092,-0.9276864744457812,-0.9430458627919486,-0.9128593877633279,[0.102],0.04139674677017932,0.0,0.102,"(0,)",-0.926750096041705,[0.1225],0.037857747861579555,0.1225
2,0.6596638655462185,-0.927562725521199,-0.9430458599491075,-0.9128593768484987,[0.066],0.027836461041380104,0.0,0.066,"(0,)",-0.926824284859014,[0.07],0.020560110190838622,0.07
3,0.7394957983193278,-0.9274487122375648,-0.9430458584317565,-0.9128593830399884,[0.054],0.022524983751349478,0.0,0.054,"(0,)",-0.9266045897291291,[0.05],0.017587019509958036,0.05
4,0.819327731092437,-0.9274156745396577,-0.943045857614138,-0.912859382933416,[0.045],0.020153405735031237,0.0,0.045,"(0,)",-0.9265468233756612,[0.0375],0.016191326948662946,0.0375
5,0.8991596638655461,-0.9267711328996533,-0.9430458518165348,-0.9128593816531674,[0.037],0.017829201746962866,0.0,0.037,"(0,)",-0.9258657362967113,[0.0275],0.01542303207952527,0.0275
6,0.9789915966386554,-0.9266577656225374,-0.9430458476898491,-0.9128593790893973,[0.028],0.016584587729087892,0.0,0.028,"(0,)",-0.9257610216413655,[0.0225],0.015129166844760952,0.0225
7,1.0588235294117647,-0.926184336806212,-0.942758671937435,-0.912859380947639,[0.022],0.01588013248427089,0.0,0.022,"(0,)",-0.9252436798655509,[0.015],0.01504893824720703,0.015
8,1.138655462184874,-0.9261607010757653,-0.9420626945509804,-0.9128593811959969,[0.009],0.01543834759204828,0.0,0.009,"(0,)",-0.9252250145950205,[0.],0.015000037203404778,0.0
9,1.218487394957983,-0.9253700018114966,-0.9386106157425441,-0.9108198885453256,[0.002],0.01507275671345108,0.0,0.002,"(0,)",-0.9245606049201706,[0.],0.015000026081738912,0.0
10,1.2983193277310923,-0.9244925105468765,-0.9386106147848885,-0.9108198827069922,[0.],0.015000025906433241,0.0,0.0,"(0,)",-0.9238216823069658,[0.],0.015000035591161785,0.0
11,1.3781512605042017,-0.92433253751092,-0.9386106151497858,-0.9108198819746303,[0.],0.015000026057033117,0.0,0.0,"(0,)",-0.923677035414612,[0.],0.015000031823166213,0.0
12,1.4579831932773109,-0.9237478496370175,-0.9386106163993052,-0.9108198839859625,[0.],0.01500002351502481,0.0,0.0,"(0,)",-0.9229677417293294,[0.],0.015000027900151456,0.0
13,1.53781512605042,-0.9236912315480102,-0.9386106170723321,-0.9108198840038733,[0.],0.01500003418260694,0.0,0.0,"(0,)",-0.92291638607361,[0.],0.015000037940586672,0.0
14,1.6176470588235294,-0.9236502968408725,-0.9386106107712439,-0.9108198838241215,[0.],0.015000021275785862,0.0,0.0,"(0,)",-0.922879096596761,[0.],0.0150000282916009,0.0
15,1.6974789915966386,-0.9236188805756064,-0.9386106167288917,-0.9108198810465349,[0.],0.01500003469034857,0.0,0.0,"(0,)",-0.9228503729567302,[0.],0.015000039683958192,0.0
16,1.7773109243697478,-0.9235937605198197,-0.9386106151591738,-0.9108198807033007,[0.],0.015000033862777465,0.0,0.0,"(0,)",-0.9228273298783418,[0.],0.015000029818479014,0.0
