seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
80,0.5,80,0.4,1,1,-0.8671384720441313,0.6025,-0.8909918077251392,0.536
80,0.5798319327731092,80,0.4,1,1,-0.8648210869481728,0.5825,-0.888930695681345,0.524
80,0.6596638655462185,80,0.4,1,1,-0.8633580961004863,0.5425,-0.8879507653462498,0.5
80,0.7394957983193278,80,0.4,1,1,-0.8626301309422857,0.525,-0.887400175980849,0.479
80,0.819327731092437,80,0.4,1,1,-0.8621833416570365,0.51,-0.8870848548372388,0.455
80,0.8991596638655461,80,0.4,1,1,-0.861722986286278,0.4925,-0.8867696326987152,0.434
80,0.9789915966386554,80,0.4,1,1,-0.8611944493513094,0.4775,-0.8863680883244568,0.42
80,1.0588235294117647,80,0.4,1,1,-0.8608116833627639,0.45,-0.8860196618567044,0.402
80,1.138655462184874,80,0.4,1,1,-0.8607199915174942,0.4425,-0.8854857635664626,0.382
80,1.218487394957983,80,0.4,1,1,-0.860523957533778,0.425,-0.8848629926915408,0.366
80,1.2983193277310923,80,0.4,1,1,-0.860286371045629,0.41,-0.88402100185722,0.35
80,1.3781512605042017,80,0.4,1,1,-0.8598387700507826,0.3975,-0.8830952589624528,0.34
80,1.4579831932773109,80,0.4,1,1,-0.8592978910293811,0.39,-0.8820864687158168,0.323
80,1.53781512605042,80,0.4,1,1,-0.8584125927618353,0.3775,-0.880809657489265,0.309
80,1.6176470588235294,80,0.4,1,1,-0.8573679702658831,0.355,-0.8794424600588291,0.298
80,1.6974789915966386,80,0.4,1,1,-0.8563491899793099,0.345,-0.8780831093226188,0.28
80,1.7773109243697478,80,0.4,1,1,-0.8554518887438352,0.3375,-0.8768790153946681,0.273
80,1.857142857142857,80,0.4,1,1,-0.854612729786479,0.3225,-0.8757515864678215,0.261
80,1.9369747899159662,80,0.4,1,1,-0.8537169258790978,0.3175,-0.8744976325971818,0.247
80,2.0168067226890756,80,0.4,1,1,-0.852937791317687,0.305,-0.8732975262030273,0.238
80,2.0966386554621845,80,0.4,1,1,-0.8522410777680147,0.3025,-0.8722281502531444,0.228
80,2.176470588235294,80,0.4,1,1,-0.8516091530744712,0.3025,-0.8712622293850382,0.217
80,2.2563025210084033,80,0.4,1,1,-0.8510445270724497,0.2875,-0.8703873527382084,0.211
80,2.3361344537815123,80,0.4,1,1,-0.8504261204335164,0.2775,-0.8694762200166142,0.204
80,2.4159663865546217,80,0.4,1,1,-0.8498535222044091,0.2675,-0.8685990360140589,0.191
80,2.495798319327731,80,0.4,1,1,-0.849330985805879,0.265,-0.8678056443363528,0.187
80,2.57563025210084,80,0.4,1,1,-0.8487360890598704,0.255,-0.8670036056176617,0.184
80,2.6554621848739495,80,0.4,1,1,-0.8482292347128823,0.245,-0.8662500326837526,0.179
80,2.735294117647059,80,0.4,1,1,-0.8477579464633294,0.2375,-0.8655001713171718,0.173
80,2.815126050420168,80,0.4,1,1,-0.847278440205542,0.235,-0.8647823513202556,0.169
80,2.8949579831932772,80,0.4,1,1,-0.8468349366597246,0.2175,-0.8641256738032482,0.162
80,2.974789915966386,80,0.4,1,1,-0.8464034039739101,0.21,-0.8635126734790812,0.158
80,3.0546218487394956,80,0.4,1,1,-0.8459893220897855,0.2075,-0.8629394643812967,0.152
80,3.134453781512605,80,0.4,1,1,-0.8456016951528391,0.1875,-0.862398218875761,0.147
80,3.214285714285714,80,0.4,1,1,-0.8452351343669878,0.1775,-0.8618913842977167,0.141
80,3.2941176470588234,80,0.4,1,1,-0.8448992391955202,0.175,-0.8614189082770273,0.137
80,3.3739495798319323,80,0.4,1,1,-0.8445795101583617,0.17,-0.8609659602638118,0.13
80,3.4537815126050417,80,0.4,1,1,-0.8442783069208966,0.1625,-0.8605402910687859,0.123
80,3.533613445378151,80,0.4,1,1,-0.8439909853713775,0.1525,-0.8601369669096453,0.118
80,3.61344537815126,80,0.4,1,1,-0.8437127560421942,0.1425,-0.8597449604010649,0.113
80,3.6932773109243695,80,0.4,1,1,-0.8434367964830132,0.14,-0.8593708411291273,0.105
80,3.773109243697479,80,0.4,1,1,-0.8431794022166058,0.135,-0.8590168922509763,0.1
80,3.852941176470588,80,0.4,1,1,-0.8429333613510345,0.125,-0.8586754013122793,0.098
80,3.9327731092436973,80,0.4,1,1,-0.842689269270569,0.1225,-0.858332942613227,0.096
80,4.012605042016807,80,0.4,1,1,-0.8424492970776142,0.12,-0.8579972306929299,0.094
80,4.092436974789916,80,0.4,1,1,-0.8422060405657267,0.12,-0.8576657522300839,0.092
80,4.172268907563025,80,0.4,1,1,-0.8419699494797989,0.1175,-0.8573466651899044,0.09
80,4.252100840336134,80,0.4,1,1,-0.8417446853239832,0.1175,-0.8570418578216125,0.082
80,4.331932773109243,80,0.4,1,1,-0.8415338497904312,0.1175,-0.8567569963766316,0.08
80,4.411764705882353,80,0.4,1,1,-0.8413330556962901,0.1075,-0.8564844778143861,0.078
80,4.491596638655462,80,0.4,1,1,-0.8411399993720755,0.1025,-0.8562216815901086,0.077
80,4.571428571428571,80,0.4,1,1,-0.840952290650775,0.1025,-0.8559652035944953,0.073
80,4.65126050420168,80,0.4,1,1,-0.8407629827206614,0.1025,-0.855706201273438,0.073
80,4.73109243697479,80,0.4,1,1,-0.840580800636702,0.095,-0.8554541996354906,0.072
80,4.810924369747899,80,0.4,1,1,-0.8404074719691517,0.0925,-0.8552136736960625,0.072
80,4.890756302521008,80,0.4,1,1,-0.840241768853877,0.09,-0.8549786691113384,0.068
80,4.970588235294118,80,0.4,1,1,-0.840081621390421,0.0875,-0.8547456836687349,0.068
80,5.050420168067227,80,0.4,1,1,-0.8399173135234805,0.0875,-0.8545164458472295,0.068
80,5.130252100840336,80,0.4,1,1,-0.8397585708436799,0.085,-0.8542963994964583,0.067
80,5.210084033613445,80,0.4,1,1,-0.8396058884043984,0.085,-0.8540849354959936,0.065
80,5.2899159663865545,80,0.4,1,1,-0.8394582066029562,0.085,-0.8538810216823721,0.063
80,5.369747899159663,80,0.4,1,1,-0.8393127703772462,0.0825,-0.8536799772251388,0.063
80,5.449579831932772,80,0.4,1,1,-0.839173430174132,0.0775,-0.8534854112761886,0.061
80,5.529411764705882,80,0.4,1,1,-0.8390390524128233,0.075,-0.8532978879608681,0.058
80,5.609243697478991,80,0.4,1,1,-0.8389055238810595,0.0725,-0.8531102113212511,0.058
80,5.6890756302521,80,0.4,1,1,-0.8387756123755097,0.0675,-0.8529278520400589,0.056
80,5.76890756302521,80,0.4,1,1,-0.838647347699484,0.0675,-0.8527511701342448,0.056
80,5.848739495798319,80,0.4,1,1,-0.8385165090544875,0.0675,-0.8525773389623974,0.055
80,5.928571428571428,80,0.4,1,1,-0.8383910173656455,0.0675,-0.8524101689330473,0.054
80,6.008403361344538,80,0.4,1,1,-0.8382705958621278,0.0675,-0.8522490851754334,0.052
80,6.088235294117647,80,0.4,1,1,-0.8381539722473557,0.0675,-0.8520932203582127,0.051
80,6.168067226890756,80,0.4,1,1,-0.8380410408554448,0.0675,-0.8519423006446811,0.049
80,6.247899159663865,80,0.4,1,1,-0.8379315917913608,0.0675,-0.8517961088688917,0.046
80,6.3277310924369745,80,0.4,1,1,-0.837825422343317,0.0625,-0.8516543370349718,0.045
80,6.4075630252100835,80,0.4,1,1,-0.8377215402924592,0.06,-0.8515148694331469,0.045
80,6.487394957983192,80,0.4,1,1,-0.8376181256042784,0.0575,-0.8513771230027729,0.044
80,6.567226890756302,80,0.4,1,1,-0.8375172727115345,0.055,-0.8512429436625794,0.042
80,6.647058823529411,80,0.4,1,1,-0.837419481861572,0.055,-0.8511126908087238,0.039
80,6.72689075630252,80,0.4,1,1,-0.8373244801992609,0.0525,-0.8509860492354708,0.039
80,6.80672268907563,80,0.4,1,1,-0.837232087636548,0.05,-0.8508629389531152,0.036
80,6.886554621848739,80,0.4,1,1,-0.8371419162511355,0.05,-0.8507429376919715,0.034
80,6.966386554621848,80,0.4,1,1,-0.837049783887326,0.0475,-0.8506274695475274,0.032
80,7.046218487394958,80,0.4,1,1,-0.8369579304113347,0.045,-0.8505165687329711,0.031
80,7.126050420168067,80,0.4,1,1,-0.8368666656098499,0.045,-0.8504071101064151,0.031
80,7.205882352941176,80,0.4,1,1,-0.8367709173570048,0.04,-0.8502951109285787,0.031
80,7.285714285714286,80,0.4,1,1,-0.836677425721343,0.04,-0.8501857036899987,0.031
80,7.3655462184873945,80,0.4,1,1,-0.8365861045983949,0.0375,-0.8500788316733969,0.031
80,7.4453781512605035,80,0.4,1,1,-0.836496481482493,0.0375,-0.8499741022309131,0.03
80,7.525210084033613,80,0.4,1,1,-0.8364095288896164,0.0375,-0.8498730312061443,0.028
80,7.605042016806722,80,0.4,1,1,-0.8363258255963276,0.0375,-0.8497777926384963,0.028
80,7.684873949579831,80,0.4,1,1,-0.8362440419357501,0.0375,-0.8496950824604628,0.026
