,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-0.8733089631463629,-0.9465553290947517,-0.7904830260871437,[0.308],0.6946666617821436,0.0,0.308,"(0,)",-0.8767102739543193,[0.2825],0.611789943531625,0.2825
1,0.5423728813559322,-0.869274024050158,-0.9407915191024846,-0.7908789375819468,[0.29],0.6280578183272374,0.0,0.29,"(0,)",-0.872666978038064,[0.2775],0.5467231556208034,0.2775
2,0.5847457627118644,-0.8662080136131985,-0.9359223401344836,-0.7896595923667726,[0.276],0.5742262715981954,0.0,0.276,"(0,)",-0.8695942861496743,[0.2725],0.49385442731244517,0.2725
3,0.6271186440677966,-0.86347931623285,-0.9339239835872284,-0.7912634965079383,[0.262],0.5281767680634019,0.0,0.262,"(0,)",-0.8669718644170024,[0.255],0.44707306043810113,0.255
4,0.6694915254237288,-0.8609158096848819,-0.9296131640688144,-0.7895369263628897,[0.249],0.48726881153480905,0.0,0.249,"(0,)",-0.8646011702041291,[0.24],0.4062104231124868,0.24
5,0.711864406779661,-0.8588025313888904,-0.9260855443592267,-0.7894783890787163,[0.236],0.45105473459406675,0.0,0.236,"(0,)",-0.8626469914602302,[0.2225],0.3716634027436504,0.2225
6,0.7542372881355932,-0.8570232268281816,-0.9243736489159984,-0.7866544704840478,[0.222],0.4187720898892316,0.0,0.222,"(0,)",-0.8610015475950579,[0.2125],0.34174622844981295,0.2125
7,0.7966101694915254,-0.8550029009442321,-0.9210229408028218,-0.787167954110505,[0.209],0.38715044791300707,0.0,0.209,"(0,)",-0.8589878809100582,[0.195],0.31510532406660047,0.195
8,0.8389830508474576,-0.8532721764113084,-0.9178544101628823,-0.7868738647793232,[0.192],0.3595415397336373,0.0,0.192,"(0,)",-0.8572625652967153,[0.1825],0.29236759851203886,0.1825
9,0.8813559322033898,-0.8517705022659159,-0.9164581653094577,-0.7860620426007574,[0.183],0.33472586537483157,0.0,0.183,"(0,)",-0.85576556571893,[0.17],0.27144545933297,0.17
