,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-0.8252974338481248,-0.9251414233957732,-0.66498124122812,[0.556],2.779467398429017,0.0,0.556,"(0,)",-0.7975729242546375,[0.54],3.567211589880768,0.54
1,0.5798319327731092,-0.8202625475386142,-0.9159128425155091,-0.6742656658605602,[0.512],2.403058572714252,0.0,0.512,"(0,)",-0.7826436095360464,[0.51],3.081198722568396,0.51
2,0.6596638655462185,-0.8163705007602873,-0.9076510186973379,-0.6824758780672914,[0.492],2.139005765004857,0.0,0.492,"(0,)",-0.7698354034333564,[0.52],2.765702489083953,0.52
3,0.7394957983193278,-0.8148158559888816,-0.9065101263559852,-0.6839721941478307,[0.48],1.8894219927017342,0.0,0.48,"(0,)",-0.7721877914970869,[0.51],2.426750491631112,0.51
4,0.819327731092437,-0.8136586612787714,-0.8958123227726946,-0.6829562862227794,[0.476],1.6948568795350956,0.0,0.476,"(0,)",-0.7700474037693918,[0.45],2.2635009501228516,0.45
5,0.8991596638655461,-0.812621345671743,-0.8954472032297764,-0.6828133806559064,[0.452],1.5208392765551184,0.0,0.452,"(0,)",-0.7676264243379097,[0.42],2.1033887049884554,0.42
6,0.9789915966386554,-0.8113790426177284,-0.8922497575902063,-0.6908715822258533,[0.44],1.3540299813180707,0.0,0.44,"(0,)",-0.76606863011274,[0.41],1.9524633852116489,0.41
7,1.0588235294117647,-0.8108639042364838,-0.8904970828138095,-0.6974574420337052,[0.424],1.2063307642840488,0.0,0.424,"(0,)",-0.7654264473168597,[0.42],1.807902407019987,0.42
8,1.138655462184874,-0.8105820269858763,-0.890099426686753,-0.6944992657929189,[0.38],1.0840690611632566,0.0,0.38,"(0,)",-0.765115455246019,[0.43],1.6852547406371041,0.43
9,1.218487394957983,-0.8097913276721351,-0.8786125312062487,-0.6935496172597698,[0.348],0.9841084286011917,0.0,0.348,"(0,)",-0.7640899402226858,[0.38],1.5835503485507136,0.38
10,1.2983193277310923,-0.8078716286968647,-0.8725220033179031,-0.6975052044642321,[0.336],0.8860062563848874,0.0,0.336,"(0,)",-0.7645121090263746,[0.37],1.4511089771619126,0.37
11,1.3781512605042017,-0.8054143878421428,-0.8738690569325173,-0.6958566112655022,[0.312],0.7864746657291632,0.0,0.312,"(0,)",-0.7665629328094715,[0.34],1.2753766630782288,0.34
12,1.4579831932773109,-0.8038199599075505,-0.8765626464174886,-0.6908543871613605,[0.292],0.7156886527680181,0.0,0.292,"(0,)",-0.7674902815790454,[0.34],1.1372957354812032,0.34
13,1.53781512605042,-0.8029854470609292,-0.8734544650174098,-0.6946162457227828,[0.28],0.6567326298637185,0.0,0.28,"(0,)",-0.7684830774499551,[0.32],1.0319547141676626,0.32
14,1.6176470588235294,-0.8009500324185161,-0.8702951146708614,-0.7003525884796215,[0.264],0.5913308871820468,0.0,0.264,"(0,)",-0.7695826569605118,[0.3],0.9034654151829193,0.3
15,1.6974789915966386,-0.799748647484663,-0.8696530144371878,-0.6974949663615218,[0.252],0.5418584773806085,0.0,0.252,"(0,)",-0.7702812622348125,[0.29],0.8067755683639789,0.29
16,1.7773109243697478,-0.7990091914417442,-0.8702237276474266,-0.6974647938881158,[0.244],0.5040767207105756,0.0,0.244,"(0,)",-0.7705816305822202,[0.28],0.7375166683271348,0.28
17,1.857142857142857,-0.7983937708789408,-0.8726019151652098,-0.6979617052102146,[0.236],0.46989490665072586,0.0,0.236,"(0,)",-0.7707157574331944,[0.26],0.681133706865286,0.26
18,1.9369747899159662,-0.7978588654508005,-0.8740828380317286,-0.6961627097424469,[0.216],0.43854044711173046,0.0,0.216,"(0,)",-0.7709010058736916,[0.25],0.6381123774230006,0.25
19,2.0168067226890756,-0.7973925803982463,-0.8735568368383907,-0.6959832048885111,[0.204],0.4090811267541155,0.0,0.204,"(0,)",-0.7710889588879926,[0.25],0.601088658338499,0.25
20,2.0966386554621845,-0.7969813881587191,-0.8754602078420357,-0.6958812122233742,[0.196],0.3824802668929409,0.0,0.196,"(0,)",-0.7712593801623704,[0.24],0.5645061663601452,0.24
21,2.176470588235294,-0.7965305789600345,-0.8720154282843007,-0.6964940361889205,[0.18],0.35736557384346407,0.004,0.18,"(0,)",-0.7714564415464688,[0.24],0.5287976918026918,0.24
22,2.2563025210084033,-0.7959934995793042,-0.872227607972203,-0.6969185612568085,[0.164],0.3344100105511208,0.004,0.164,"(0,)",-0.771701198201687,[0.22],0.4956642985776989,0.22
23,2.3361344537815123,-0.7954964701456382,-0.8746472872570378,-0.6978038367517555,[0.144],0.3154400012386319,0.008,0.144,"(0,)",-0.77192595476745,[0.19],0.46737563284196676,0.19
24,2.4159663865546217,-0.7950407425497701,-0.8694685908231387,-0.6988715514652196,[0.136],0.297651865089311,0.008,0.136,"(0,)",-0.7721210202487476,[0.18],0.4420605287769571,0.18
25,2.495798319327731,-0.7946083951305305,-0.868146716968751,-0.6997729645563683,[0.124],0.281538759547283,0.012,0.124,"(0,)",-0.772262471972388,[0.18],0.41783010381590074,0.18
26,2.57563025210084,-0.7941941132292227,-0.8685373085685855,-0.7006111188692659,[0.12],0.26656413522256606,0.016,0.12,"(0,)",-0.7723532254983644,[0.17],0.3939617245764685,0.17
27,2.6554621848739495,-0.7937884030017435,-0.8683303410160256,-0.7006772312018964,[0.116],0.25180469522691606,0.016,0.116,"(0,)",-0.7724797110983138,[0.17],0.37063532628444434,0.17
28,2.735294117647059,-0.7933800868138533,-0.8696462134599958,-0.6994486908467736,[0.112],0.23730669708152535,0.02,0.112,"(0,)",-0.7727289876438715,[0.16],0.3475205899928697,0.16
29,2.815126050420168,-0.7929766112119936,-0.8705474044345052,-0.7007903908161152,[0.1],0.22452903400248958,0.044,0.1,"(0,)",-0.7729051518240745,[0.14],0.32538123151296505,0.14
