seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
30,0.5,30,0.05,1,1,-0.827019588665016,0.45,-0.7912257500292312,0.492
30,0.5798319327731092,30,0.05,1,1,-0.8290277474369294,0.39,-0.7935461231173192,0.452
30,0.6596638655462185,30,0.05,1,1,-0.8290608485867943,0.37,-0.7950666598965074,0.416
30,0.7394957983193278,30,0.05,1,1,-0.8292557359835514,0.31,-0.7955127822243983,0.38
30,0.819327731092437,30,0.05,1,1,-0.8299627068338922,0.29,-0.795749825184915,0.344
30,0.8991596638655461,30,0.05,1,1,-0.8313642326069924,0.24,-0.796549417557103,0.3
30,0.9789915966386554,30,0.05,1,1,-0.8328403455395442,0.22,-0.7966132932416063,0.26
30,1.0588235294117647,30,0.05,1,1,-0.8336906839363875,0.2,-0.7967802011206302,0.244
30,1.138655462184874,30,0.05,1,1,-0.8342864972787305,0.19,-0.7969635811521293,0.22
30,1.218487394957983,30,0.05,1,1,-0.8349281110575894,0.18,-0.7971682348405559,0.196
30,1.2983193277310923,30,0.05,1,1,-0.8354256531264822,0.16,-0.7971852924339407,0.168
30,1.3781512605042017,30,0.05,1,1,-0.8369756300931062,0.13,-0.7975920157817746,0.156
30,1.4579831932773109,30,0.05,1,1,-0.8390334577653367,0.12,-0.7984749648895227,0.128
30,1.53781512605042,30,0.05,1,1,-0.840309821157188,0.12,-0.798995724354278,0.116
30,1.6176470588235294,30,0.05,1,1,-0.8410951157079313,0.1,-0.7993248941212698,0.108
30,1.6974789915966386,30,0.05,1,1,-0.8416546794323072,0.09,-0.7995527919006821,0.088
30,1.7773109243697478,30,0.05,1,1,-0.8420859664384843,0.09,-0.7997282059540576,0.088
30,1.857142857142857,30,0.05,1,1,-0.8424307062751788,0.07,-0.7998685745902949,0.068
30,1.9369747899159662,30,0.05,1,1,-0.8427138099566465,0.07,-0.7999840377094747,0.06
30,2.0168067226890756,30,0.05,1,1,-0.8429515150284115,0.05,-0.8000811606289753,0.06
30,2.0966386554621845,30,0.05,1,1,-0.843030084371407,0.05,-0.8001157188834152,0.056
30,2.176470588235294,30,0.05,1,1,-0.8428021762450482,0.05,-0.8000674096764334,0.044
30,2.2563025210084033,30,0.05,1,1,-0.8426002367986691,0.05,-0.8000235878684107,0.044
30,2.3361344537815123,30,0.05,1,1,-0.8424198156865175,0.03,-0.7999835585208985,0.04
30,2.4159663865546217,30,0.05,1,1,-0.8421985263998973,0.03,-0.7999503706151829,0.04
30,2.495798319327731,30,0.05,1,1,-0.8419764584502027,0.03,-0.7999422695252243,0.032
30,2.57563025210084,30,0.05,1,1,-0.8417758539560717,0.02,-0.7999637520917996,0.028
30,2.6554621848739495,30,0.05,1,1,-0.8416269480075271,0.01,-0.8000087251117506,0.028
30,2.735294117647059,30,0.05,1,1,-0.841376436512931,0.01,-0.8001133477223644,0.024
30,2.815126050420168,30,0.05,1,1,-0.841244471413124,0.01,-0.800216871673331,0.024
30,2.8949579831932772,30,0.05,1,1,-0.8412049281737629,0.01,-0.8003284784454858,0.024
30,2.974789915966386,30,0.05,1,1,-0.8416830923225325,0.01,-0.8008516264305624,0.016
30,3.0546218487394956,30,0.05,1,1,-0.8421948705757839,0.01,-0.801525923972347,0.016
30,3.134453781512605,30,0.05,1,1,-0.842666082868051,0.01,-0.8020930052404167,0.016
30,3.214285714285714,30,0.05,1,1,-0.8429645658020917,0.01,-0.8025838172837326,0.016
30,3.2941176470588234,30,0.05,1,1,-0.8432269237828979,0.01,-0.8030092194629544,0.016
30,3.3739495798319323,30,0.05,1,1,-0.8434567928377017,0.01,-0.8033854727552491,0.016
30,3.4537815126050417,30,0.05,1,1,-0.8436603131389495,0.01,-0.8037237091863442,0.016
30,3.533613445378151,30,0.05,1,1,-0.8438439104511538,0.01,-0.8040312209253918,0.016
30,3.61344537815126,30,0.05,1,1,-0.8440137599461134,0.01,-0.8043146840433955,0.016
30,3.6932773109243695,30,0.05,1,1,-0.8442174974237001,0.01,-0.8046012952475109,0.016
30,3.773109243697479,30,0.05,1,1,-0.844438645750003,0.01,-0.8048806828185753,0.016
30,3.852941176470588,30,0.05,1,1,-0.8446399591849095,0.01,-0.8051380040240911,0.016
30,3.9327731092436973,30,0.05,1,1,-0.8448594050029725,0.01,-0.8054039673246136,0.016
30,4.012605042016807,30,0.05,1,1,-0.8450617576146116,0.01,-0.8056512836137034,0.016
30,4.092436974789916,30,0.05,1,1,-0.8452475629208439,0.01,-0.8058779409066915,0.016
30,4.172268907563025,30,0.05,1,1,-0.8454206723677593,0.01,-0.8060826145952115,0.016
30,4.252100840336134,30,0.05,1,1,-0.8455802114096556,0.01,-0.8062730570706176,0.016
30,4.331932773109243,30,0.05,1,1,-0.8457240420336537,0.01,-0.8064430860711166,0.016
30,4.411764705882353,30,0.05,1,1,-0.8458528321815916,0.01,-0.8065924470848512,0.016
30,4.491596638655462,30,0.05,1,1,-0.8455876395873968,0.0,-0.8065996240317439,0.016
30,4.571428571428571,30,0.05,1,1,-0.845001562238579,0.0,-0.8064688078546367,0.012
30,4.65126050420168,30,0.05,1,1,-0.8444575035815595,0.0,-0.8063369590466816,0.012
30,4.73109243697479,30,0.05,1,1,-0.8438309826578339,0.0,-0.8060846101389868,0.012
30,4.810924369747899,30,0.05,1,1,-0.8429604592120683,0.0,-0.8055820364317339,0.012
30,4.890756302521008,30,0.05,1,1,-0.8422030641348143,0.0,-0.8051528477157669,0.012
30,4.970588235294118,30,0.05,1,1,-0.8415352023083966,0.0,-0.8047808744075188,0.012
30,5.050420168067227,30,0.05,1,1,-0.840940058583121,0.0,-0.8044544458935416,0.012
30,5.130252100840336,30,0.05,1,1,-0.8404049895488898,0.0,-0.8041650293496784,0.012
30,5.210084033613445,30,0.05,1,1,-0.8399198128023548,0.0,-0.8039060191824827,0.012
30,5.2899159663865545,30,0.05,1,1,-0.8394765176616166,0.0,-0.8036722817186406,0.012
30,5.369747899159663,30,0.05,1,1,-0.8390697895484374,0.0,-0.8034601837294485,0.012
30,5.449579831932772,30,0.05,1,1,-0.8386946189364585,0.0,-0.8032665738452145,0.012
30,5.529411764705882,30,0.05,1,1,-0.8383431945201195,0.0,-0.8030898147914564,0.012
30,5.609243697478991,30,0.05,1,1,-0.8380194240259772,0.0,-0.8029312658542479,0.012
30,5.6890756302521,30,0.05,1,1,-0.837862269788671,0.0,-0.8029017443179831,0.008
30,5.76890756302521,30,0.05,1,1,-0.8377139527074645,0.0,-0.8028742621258806,0.008
30,5.848739495798319,30,0.05,1,1,-0.8375736212792312,0.0,-0.8028485971013081,0.004
30,5.928571428571428,30,0.05,1,1,-0.8374405184446247,0.0,-0.8028245190345672,0.004
30,6.008403361344538,30,0.05,1,1,-0.8373139782395278,0.0,-0.802801821501976,0.004
30,6.088235294117647,30,0.05,1,1,-0.8371935866335144,0.0,-0.8027804674334459,0.004
30,6.168067226890756,30,0.05,1,1,-0.8370788760612559,0.0,-0.8027604173299765,0.004
30,6.247899159663865,30,0.05,1,1,-0.8369692499294594,0.0,-0.8027414125797109,0.004
30,6.3277310924369745,30,0.05,1,1,-0.8368643667736309,0.0,-0.8027232604345866,0.004
30,6.4075630252100835,30,0.05,1,1,-0.8367639688601654,0.0,-0.8027061590600921,0.004
30,6.487394957983192,30,0.05,1,1,-0.8366676315288015,0.0,-0.8026898224711024,0.004
30,6.567226890756302,30,0.05,1,1,-0.8366017900304885,0.0,-0.8026919087408828,0.0
30,6.647058823529411,30,0.05,1,1,-0.8365552688097716,0.0,-0.8027049452984291,0.0
30,6.72689075630252,30,0.05,1,1,-0.8365110192107328,0.0,-0.8027179218165588,0.0
30,6.80672268907563,30,0.05,1,1,-0.8364687257160093,0.0,-0.802730739399995,0.0
30,6.886554621848739,30,0.05,1,1,-0.8364281959877842,0.0,-0.8027433886021363,0.0
30,6.966386554621848,30,0.05,1,1,-0.8363893665932209,0.0,-0.8027558659049582,0.0
30,7.046218487394958,30,0.05,1,1,-0.8363472468523401,0.0,-0.8027656310962528,0.0
30,7.126050420168067,30,0.05,1,1,-0.8363050904856831,0.0,-0.8027742607892431,0.0
30,7.205882352941176,30,0.05,1,1,-0.8362644348390783,0.0,-0.8027828361211935,0.0
30,7.285714285714286,30,0.05,1,1,-0.8362251593529693,0.0,-0.8027912675912307,0.0
30,7.3655462184873945,30,0.05,1,1,-0.8361872494195065,0.0,-0.8027995876846737,0.0
30,7.4453781512605035,30,0.05,1,1,-0.8361507627202879,0.0,-0.8028078117007521,0.0
30,7.525210084033613,30,0.05,1,1,-0.8361153759212052,0.0,-0.8028159316827216,0.0
30,7.605042016806722,30,0.05,1,1,-0.8360811239776226,0.0,-0.8028238711258909,0.0
30,7.684873949579831,30,0.05,1,1,-0.8360479012481775,0.0,-0.8028317317390752,0.0
30,7.76470588235294,30,0.05,1,1,-0.8360167300893285,0.0,-0.802837711998951,0.0
30,7.84453781512605,30,0.05,1,1,-0.8359936808757837,0.0,-0.8028309440007863,0.0
30,7.924369747899159,30,0.05,1,1,-0.8359713379199585,0.0,-0.8028244317898255,0.0
30,8.004201680672267,30,0.05,1,1,-0.8359495557509453,0.0,-0.8028181396647912,0.0
30,8.084033613445378,30,0.05,1,1,-0.8359285093637874,0.0,-0.802812126287752,0.0
30,8.163865546218487,30,0.05,1,1,-0.8359080151853249,0.0,-0.8028062812164274,0.0
30,8.243697478991596,30,0.05,1,1,-0.8358881122320284,0.0,-0.8028007403468723,0.0
30,8.323529411764707,30,0.05,1,1,-0.8358689355828901,0.0,-0.8027953507991024,0.0
30,8.403361344537814,30,0.05,1,1,-0.8358502534126201,0.0,-0.8027902013248541,0.0
30,8.483193277310924,30,0.05,1,1,-0.8358318560726843,0.0,-0.8027851936623089,0.0
30,8.563025210084033,30,0.05,1,1,-0.8358141300622697,0.0,-0.8027803979110625,0.0
30,8.642857142857142,30,0.05,1,1,-0.8357968295790501,0.0,-0.8027757029577794,0.0
30,8.722689075630251,30,0.05,1,1,-0.8357799847115162,0.0,-0.8027712577978664,0.0
30,8.80252100840336,30,0.05,1,1,-0.8357637108214248,0.0,-0.8027669505337185,0.0
30,8.88235294117647,30,0.05,1,1,-0.8357476512659465,0.0,-0.8027627343051483,0.0
30,8.96218487394958,30,0.05,1,1,-0.8357319405819149,0.0,-0.8027585835970024,0.0
30,9.042016806722689,30,0.05,1,1,-0.8357166599480186,0.0,-0.8027545429056363,0.0
30,9.121848739495798,30,0.05,1,1,-0.835701611313018,0.0,-0.8027507509912228,0.0
30,9.201680672268907,30,0.05,1,1,-0.8356870536576112,0.0,-0.8027470230643398,0.0
30,9.281512605042016,30,0.05,1,1,-0.8356728213758623,0.0,-0.8027434020482872,0.0
30,9.361344537815125,30,0.05,1,1,-0.8356589088253668,0.0,-0.802739867444767,0.0
30,9.441176470588236,30,0.05,1,1,-0.8356454007588866,0.0,-0.8027364934030331,0.0
30,9.521008403361344,30,0.05,1,1,-0.8356321305642166,0.0,-0.8027331312329175,0.0
30,9.600840336134453,30,0.05,1,1,-0.835619094091291,0.0,-0.8027299282160671,0.0
30,9.680672268907562,30,0.05,1,1,-0.8356064046863158,0.0,-0.8027267747017929,0.0
30,9.760504201680671,30,0.05,1,1,-0.8355947549895489,0.0,-0.8027246489247803,0.0
30,9.84033613445378,30,0.05,1,1,-0.8355843684764236,0.0,-0.802723678518636,0.0
30,9.92016806722689,30,0.05,1,1,-0.8355741885085487,0.0,-0.8027227415208265,0.0
30,10.0,30,0.05,1,1,-0.8355641215515807,0.0,-0.8027218210690716,0.0
