,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-0.8867099525259721,-1.0280592875011516,-0.7413743518092296,[0.442],2.847924327661083,0.0,0.442,"(0,)",-0.875316121792686,[0.4525],2.981498549989018,0.4525
1,0.5798319327731092,-0.8860361976238078,-1.0126878093572633,-0.7554685344971769,[0.416],2.1830308348062695,0.0,0.416,"(0,)",-0.8733256875566715,[0.415],2.3421534748286286,0.415
2,0.6596638655462185,-0.8841293186766832,-1.0040479285823873,-0.7693877951972076,[0.391],1.764963167228538,0.0,0.391,"(0,)",-0.8698094048651348,[0.3925],1.9538153697577239,0.3925
3,0.7394957983193278,-0.8798023526471004,-0.9896587520735288,-0.7745971821923646,[0.372],1.4336214975900172,0.0,0.372,"(0,)",-0.8655495036830061,[0.3725],1.6194251388723644,0.3725
4,0.819327731092437,-0.8757179422592416,-0.9761623095804804,-0.7765546436474968,[0.349],1.1852728087581113,0.0,0.349,"(0,)",-0.8629881545329122,[0.335],1.350801918245919,0.335
5,0.8991596638655461,-0.8713023984696647,-0.9662295127106117,-0.7804195771797852,[0.32],0.9263580139508131,0.0,0.32,"(0,)",-0.8611896072347062,[0.315],1.0388788999388485,0.315
6,0.9789915966386554,-0.867079899540046,-0.9560434893278494,-0.7793261622302906,[0.304],0.7598075928957222,0.0,0.304,"(0,)",-0.8579576282930244,[0.295],0.851254176519854,0.295
7,1.0588235294117647,-0.863389117747577,-0.9458866848480681,-0.7777906026638993,[0.29],0.627823379772248,0.0,0.29,"(0,)",-0.8550724460578931,[0.285],0.7034244258295622,0.285
8,1.138655462184874,-0.8594637261495247,-0.93827380255377,-0.7808854997697474,[0.264],0.5236882102277265,0.0,0.264,"(0,)",-0.8520276401861131,[0.2675],0.5758171090340839,0.2675
9,1.218487394957983,-0.8558439984593297,-0.9295368409252729,-0.7802472570154118,[0.243],0.4457356077368082,0.0,0.243,"(0,)",-0.8491114904503589,[0.2475],0.4789967847289179,0.2475
10,1.2983193277310923,-0.8528177511150498,-0.9232549648016164,-0.7811241761630138,[0.219],0.3836759049896966,0.0,0.219,"(0,)",-0.8466562838287821,[0.2225],0.4046831765126322,0.2225
11,1.3781512605042017,-0.8501235001993025,-0.9196470837283692,-0.7804461803260139,[0.196],0.3338535204918281,0.0,0.196,"(0,)",-0.8441570383740821,[0.1975],0.3475751183013101,0.1975
12,1.4579831932773109,-0.8477063371689072,-0.9152726038313989,-0.78094096345953,[0.183],0.2940716499085187,0.0,0.183,"(0,)",-0.8419977166378934,[0.18],0.30093464749725096,0.18
13,1.53781512605042,-0.8454617657652777,-0.911026584228047,-0.7786828609169301,[0.169],0.26054898192104414,0.0,0.169,"(0,)",-0.840021712397492,[0.1625],0.2626052792786919,0.1625
14,1.6176470588235294,-0.8435015893030386,-0.909279838931621,-0.7785411597785544,[0.156],0.23129300689195903,0.0,0.156,"(0,)",-0.8382862703271603,[0.15],0.2313968850584313,0.15
15,1.6974789915966386,-0.8416469070267332,-0.9069742416401642,-0.7783906630174274,[0.137],0.20517443295678534,0.0,0.137,"(0,)",-0.8366273707634853,[0.13],0.20445477029376502,0.13
16,1.7773109243697478,-0.8398351825555409,-0.9053047970449929,-0.7772772060994878,[0.127],0.1828557315446288,0.0,0.127,"(0,)",-0.8350308348988561,[0.1225],0.1802016820789495,0.1225
17,1.857142857142857,-0.838081341368772,-0.9024720860828557,-0.7762468638049929,[0.118],0.16328395777241328,0.0,0.118,"(0,)",-0.8335014681480081,[0.105],0.1598439182027066,0.105
18,1.9369747899159662,-0.8361821114277334,-0.8998727073882515,-0.7744630513194728,[0.107],0.14550408371402934,0.0,0.107,"(0,)",-0.8317556799900859,[0.095],0.14213104596694404,0.095
19,2.0168067226890756,-0.8344649120693114,-0.8970427817505923,-0.7725142585255566,[0.103],0.12902810912073132,0.0,0.103,"(0,)",-0.8301442207152273,[0.09],0.1261483629287793,0.09
20,2.0966386554621845,-0.8329499465396029,-0.8959163294179232,-0.7711940479775741,[0.091],0.1144211426975814,0.0,0.091,"(0,)",-0.8287344380905074,[0.0875],0.11167136823943771,0.0875
21,2.176470588235294,-0.831553581379617,-0.893989444859995,-0.7710849403563258,[0.078],0.10175239692040233,0.0,0.078,"(0,)",-0.8274383286899203,[0.08],0.09800584766722768,0.08
22,2.2563025210084033,-0.8302051576899185,-0.8922388832529319,-0.7707544592303844,[0.07],0.09105018922645343,0.0,0.07,"(0,)",-0.8261970342167981,[0.0675],0.08644883033757329,0.0675
23,2.3361344537815123,-0.8289122797500199,-0.8906827380319895,-0.7700207205666479,[0.062],0.08178327151537508,0.0,0.062,"(0,)",-0.8249410151924802,[0.06],0.07627302370976814,0.06
24,2.4159663865546217,-0.82760278442752,-0.8886180708177793,-0.7689593974291923,[0.053],0.07388239475312128,0.0,0.053,"(0,)",-0.8236306167543637,[0.055],0.068540290691988,0.055
